Energy,Value,Error
0.01,1.7990500179905e-09,0.1117
0.02,5.07227e-11,0.3992
0.05,7.445866666666666e-08,0.01
0.1,2.2077399999999998e-08,0.013
0.2,3.8336399999999995e-08,0.008
0.3,1.4515000000000003e-07,0.0041
0.4,2.539979999999999e-07,0.0029
0.6,4.95779e-07,0.0014
0.8,3.026239999999999e-07,0.0016
1.0,2.954740000000001e-07,0.0016
1.22,2.761122727272728e-07,0.0015
1.44,2.6299136363636365e-07,0.0016
1.66,2.3221909090909093e-07,0.0018
2.0,2.1156794117647056e-07,0.0015
2.5,1.816638e-07,0.0013
3.0,1.429708e-07,0.0015
4.0,7.66601e-08,0.0014
5.0,2.87589e-08,0.0022
6.5,8.558333333333334e-09,0.0033
8.0,1.0228733333333333e-09,0.0091
10.0,1.90625e-11,0.0642
12.0,4.58815e-12,0.2067
14.0,2.428165e-12,0.1811
20.0,1.5162866666666668e-12,0.1682
