Energy,Value,Error
0.01,9.23111e-11,0.051
0.02,2.21019e-13,0.7133
0.05,1.185e-10,0.0303
0.1,2.02834e-08,0.0033
0.2,1.62555e-08,0.005
0.3,4.93938e-08,0.0022
0.4,8.77874e-08,0.0016
0.6,3.17237e-07,0.0007
0.8,1.70526e-07,0.0009
1.0,1.69527e-07,0.0009
1.22,1.92287e-07,0.0008
1.44,2.12546e-07,0.0007
1.66,1.87841e-07,0.0008
2.0,2.62565e-07,0.0007
2.5,3.31297e-07,0.0006
3.0,2.61277e-07,0.0006
4.0,2.78684e-07,0.0006
5.0,1.09829e-07,0.001
6.5,4.89278e-08,0.0015
8.0,5.03217e-10,0.017
10.0,1.65121e-11,0.1026
12.0,2.28321e-11,0.0988
14.0,2.66204e-11,0.0768
20.0,3.85757e-11,0.071
