Energy,Value,Error
0.01,1.59365e-11,0.077
0.02,3.41681e-12,0.1508
0.05,2.107e-10,0.0259
0.1,2.96789e-09,0.0099
0.2,3.78954e-09,0.0087
0.3,8.56375e-09,0.0056
0.4,1.93966e-08,0.0032
0.6,6.12287e-08,0.0017
0.8,3.81464e-08,0.0019
1.0,3.69474e-08,0.0019
1.22,3.79951e-08,0.0018
1.44,3.46962e-08,0.002
1.66,3.18106e-08,0.002
2.0,4.40265e-08,0.0017
2.5,5.30634e-08,0.0015
3.0,3.93303e-08,0.0018
4.0,4.21852e-08,0.0017
5.0,1.75678e-08,0.0027
6.5,8.09936e-09,0.004
8.0,2.64228e-10,0.0223
10.0,1.35625e-11,0.0976
12.0,2.55444e-12,0.2136
14.0,3.84811e-12,0.2145
20.0,3.57481e-12,0.1809
