Energy,Value,Error
0.01,9.956140099561401e-10,0.1147
0.02,7.1984e-12,1.0
0.05,3.816933333333333e-10,0.1746
0.1,3.8765599999999996e-08,0.0108
0.2,7.97612e-09,0.0168
0.3,3.592650000000001e-08,0.0075
0.4,6.666909999999998e-08,0.0053
0.6,1.5168000000000005e-07,0.0026
0.8,1.0324549999999997e-07,0.0026
1.0,1.1433700000000003e-07,0.0024
1.22,1.188977272727273e-07,0.0023
1.44,1.1016363636363638e-07,0.0024
1.66,9.686045454545456e-08,0.0026
2.0,8.315176470588234e-08,0.0022
2.5,6.26154e-08,0.0021
3.0,4.26952e-08,0.0026
4.0,2.33499e-08,0.0026
5.0,9.46749e-09,0.0039
6.5,2.3792466666666667e-09,0.006
8.0,5.4516e-11,0.0521
10.0,1.910435e-12,0.1616
12.0,1.08492e-12,0.3192
14.0,8.52995e-13,0.4871
20.0,4.15205e-13,0.2547
