Energy,Value,Error
0.01,2.5307100253071e-10,0.3333
0.02,0.0,0.0
0.05,1.5810933333333333e-09,0.048
0.1,5.08034e-09,0.0337
0.2,1.33326e-09,0.0368
0.3,7.402910000000002e-09,0.0166
0.4,1.4468899999999995e-08,0.0112
0.6,3.545330000000001e-08,0.0049
0.8,2.0850449999999993e-08,0.0065
1.0,2.5491050000000006e-08,0.0056
1.22,1.8977636363636366e-08,0.0062
1.44,1.842109090909091e-08,0.0062
1.66,1.8299727272727275e-08,0.0066
2.0,1.8636264705882348e-08,0.0052
2.5,1.554062e-08,0.0045
3.0,1.241134e-08,0.0052
4.0,7.60768e-09,0.0049
5.0,3.02448e-09,0.0078
6.5,8.102666666666666e-10,0.0114
8.0,1.1344400000000001e-10,0.0287
10.0,1.009965e-13,0.4585
12.0,0.0,0.0
14.0,8.4961e-14,0.5857
20.0,3.5377e-14,0.6268
