Energy,Value,Error
0.01,5.36337e-12,0.1808
0.02,0.0,0.0
0.05,2.87068e-12,0.5685
0.1,8.40032e-10,0.0396
0.2,6.4896e-10,0.0365
0.3,2.8985e-09,0.0236
0.4,6.17896e-09,0.0204
0.6,2.81262e-08,0.01
0.8,1.74145e-08,0.0131
1.0,1.89805e-08,0.0112
1.22,2.06339e-08,0.0108
1.44,1.79902e-08,0.0185
1.66,1.70041e-08,0.0107
2.0,2.44551e-08,0.0095
2.5,3.1559e-08,0.0087
3.0,2.36886e-08,0.0098
4.0,2.62402e-08,0.0087
5.0,1.2063e-08,0.0172
6.5,3.12726e-09,0.0276
8.0,5.5787e-13,0.3326
10.0,4.64937e-14,1.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
