Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,2.19117e-14,1.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,0.0,0.0
0.0001013,1.5208e-14,1.0
0.0001301,0.0,0.0
0.000167,0.0,0.0
0.0002145,0.0,0.0
0.0002754,0.0,0.0
0.0003536,0.0,0.0
0.000454,0.0,0.0
0.0005829,1.21133e-14,1.0
0.0007485,3.62618e-14,0.7075
0.0009611,1.94975e-13,0.3059
0.001234,1.34222e-13,0.4008
0.001585,1.39248e-13,0.4626
0.002035,3.32865e-13,0.2506
0.002249,1.29222e-13,0.3846
0.002485,2.53691e-13,0.2933
0.002613,5.88827e-13,0.1791
0.002747,3.90902e-13,0.2293
0.003035,1.99394e-13,0.3662
0.003355,3.46021e-13,0.2888
0.003707,2.14426e-13,0.3145
0.004307,7.47304e-13,0.199
0.005531,1.60791e-12,0.1598
0.007102,3.01538e-12,0.0975
0.009119,5.09936e-12,0.0804
0.01059,5.39937e-12,0.0936
0.01171,4.63889e-12,0.0841
0.01503,1.66955e-11,0.0557
0.0193,3.05045e-11,0.0439
0.02187,2.55219e-11,0.0396
0.02358,1.81121e-11,0.0457
0.02418,6.9386e-12,0.0807
0.02479,6.76168e-12,0.0701
0.02606,1.35492e-11,0.0528
0.027,9.95604e-12,0.0595
0.0285,1.70067e-11,0.0433
0.03183,4.40854e-11,0.0282
0.03431,3.64631e-11,0.0301
0.04087,1.18217e-10,0.0176
0.04631,1.27774e-10,0.0164
0.05248,1.83433e-10,0.0164
0.05656,1.42359e-10,0.016
0.06738,4.82047e-10,0.0093
0.07202,2.49483e-10,0.0141
0.0795,4.38039e-10,0.0106
0.0825,1.9004e-10,0.0142
0.08652,2.67192e-10,0.0122
0.09804,8.47145e-10,0.0068
0.1111,1.0596e-09,0.0097
0.1168,4.83175e-10,0.0099
0.1228,5.01196e-10,0.0086
0.1291,5.19219e-10,0.0089
0.1357,5.28409e-10,0.0085
0.1426,5.35366e-10,0.0101
0.15,5.56932e-10,0.0087
0.1576,5.41771e-10,0.0082
0.1657,5.59615e-10,0.0078
0.1742,5.74177e-10,0.0096
0.1832,5.84017e-10,0.0084
0.1925,5.94315e-10,0.0089
0.2024,6.23882e-10,0.0078
0.2128,6.42274e-10,0.0076
0.2237,6.46433e-10,0.0078
0.2352,6.74343e-10,0.008
0.2472,6.90883e-10,0.0079
0.2732,1.3729e-09,0.0054
0.2872,6.73958e-10,0.0082
0.2945,3.29619e-10,0.0116
0.2972,1.18075e-10,0.0285
0.2985,5.48117e-11,0.0284
0.302,1.52105e-10,0.023
0.3337,1.25253e-09,0.0058
0.3688,1.1778e-09,0.0062
0.3877,5.47697e-10,0.0093
0.4076,5.15981e-10,0.0093
0.4505,9.77879e-10,0.0073
0.4979,8.96848e-10,0.0076
0.5234,4.09355e-10,0.0136
0.5502,3.76064e-10,0.0112
0.5784,3.67622e-10,0.0119
0.6081,3.32785e-10,0.0124
0.6393,3.13392e-10,0.0127
0.6721,3.04045e-10,0.0167
0.7065,2.76051e-10,0.0141
0.7427,2.58946e-10,0.0153
0.7808,2.39041e-10,0.0171
0.8209,2.22576e-10,0.0206
0.8629,2.02568e-10,0.0203
0.9072,1.81214e-10,0.0201
0.9617,1.99002e-10,0.0186
1.003,1.28726e-10,0.0232
1.108,2.89398e-10,0.0187
1.165,1.28314e-10,0.0213
1.225,1.17771e-10,0.0246
1.287,1.15874e-10,0.0317
1.353,1.14836e-10,0.0258
1.423,9.88599e-11,0.0274
1.496,9.25558e-11,0.0277
1.572,8.74383e-11,0.029
1.653,8.06237e-11,0.0276
1.738,7.68853e-11,0.0283
1.827,7.96427e-11,0.041
1.921,7.02214e-11,0.0336
2.019,6.46294e-11,0.0339
2.122,6.34885e-11,0.033
2.231,5.97802e-11,0.0306
2.307,3.6748e-11,0.0413
2.346,1.88561e-11,0.053
2.365,9.31581e-12,0.0838
2.385,8.30684e-12,0.0784
2.466,3.52434e-11,0.0413
2.592,5.20279e-11,0.0338
2.725,5.23023e-11,0.0345
2.865,4.6931e-11,0.0429
3.012,4.77186e-11,0.0459
3.166,4.36167e-11,0.0391
3.329,3.87237e-11,0.0399
3.679,8.10368e-11,0.0442
4.066,7.39643e-11,0.0295
4.493,6.88791e-11,0.029
4.724,3.34674e-11,0.0443
4.966,3.22406e-11,0.0438
5.22,3.02612e-11,0.0408
5.488,3.09699e-11,0.0411
5.77,3.17667e-11,0.0393
6.065,3.48475e-11,0.0436
6.376,3.4853e-11,0.0365
6.592,2.26527e-11,0.0452
6.703,1.25166e-11,0.0631
7.047,3.73989e-11,0.0357
7.408,4.31559e-11,0.0344
7.788,4.02748e-11,0.0337
8.187,4.62138e-11,0.0328
8.607,4.82192e-11,0.0303
9.048,5.49545e-11,0.0283
9.512,6.23784e-11,0.0359
10.0,8.33835e-11,0.0252
10.51,1.40181e-10,0.0198
11.05,1.50935e-10,0.0182
11.62,1.66417e-10,0.0164
12.21,1.90714e-10,0.0157
12.52,1.02882e-10,0.0201
12.84,1.08948e-10,0.0199
13.5,2.34918e-10,0.0134
13.84,1.03895e-10,0.0206
14.19,2.50966e-11,0.0376
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
