Energy,Value,Error
0.01,8.617e-13,0.5695
0.02,0.0,0.0
0.05,2.34131e-11,0.37
0.1,2.89037e-10,0.1273
0.2,1.09661e-10,0.1157
0.3,6.99202e-10,0.0739
0.4,1.37057e-09,0.0538
0.6,5.78556e-09,0.0294
0.8,3.59991e-09,0.0314
1.0,3.17196e-09,0.0362
1.22,3.716e-09,0.0684
1.44,3.13414e-09,0.0392
1.66,2.94367e-09,0.0314
2.0,5.43437e-09,0.0342
2.5,5.13127e-09,0.0282
3.0,4.16542e-09,0.0423
4.0,5.41874e-09,0.0369
5.0,2.25363e-09,0.0642
6.5,3.6001e-10,0.2635
8.0,3.71118e-13,0.5394
10.0,0.0,0.0
12.0,0.0,0.0
14.0,2.88607e-13,0.7094
20.0,0.0,0.0
