Energy,Value,Error
0.01,1.5825800158258e-10,0.2166
0.02,0.0,0.0
0.05,1.1368099999999999e-12,1.0
0.1,6.330439999999999e-09,0.0212
0.2,8.71323e-10,0.0434
0.3,1.0667000000000002e-08,0.0115
0.4,1.8790899999999994e-08,0.0086
0.6,5.3287000000000006e-08,0.0038
0.8,2.717389999999999e-08,0.0046
1.0,2.8495650000000007e-08,0.0046
1.22,3.280627272727273e-08,0.0043
1.44,2.9548863636363642e-08,0.004
1.66,3.917372727272728e-08,0.0036
2.0,3.1917352941176464e-08,0.0031
2.5,2.32938e-08,0.003
3.0,1.581268e-08,0.0036
4.0,7.88547e-09,0.0039
5.0,2.41797e-10,0.0193
6.5,4.15384e-12,0.3431
8.0,3.49036e-14,1.0
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
