Energy,Value,Error
0.01,1.5401900154019e-10,0.2567
0.02,4.85924e-11,0.3894
0.05,2.9264566666666664e-11,0.2542
0.1,2.69456e-09,0.0291
0.2,8.86732e-10,0.0449
0.3,3.870860000000001e-09,0.0275
0.4,8.837489999999997e-09,0.0164
0.6,1.4366050000000002e-08,0.0073
0.8,6.5285999999999975e-09,0.0122
1.0,6.639100000000002e-09,0.0106
1.22,7.826727272727273e-09,0.009
1.44,6.715636363636365e-09,0.0083
1.66,7.364545454545456e-09,0.0079
2.0,6.283499999999998e-09,0.0067
2.5,5.08428e-09,0.0063
3.0,3.89636e-09,0.0073
4.0,2.55564e-09,0.0061
5.0,1.3319e-09,0.0087
6.5,5.560166666666667e-10,0.0123
8.0,4.21316e-11,0.0374
10.0,3.38377e-13,0.4974
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
