Energy,Value,Error
1e-07,1.17941e-12,0.1331
4.14e-07,6.27666e-11,0.0223
5.316e-07,5.19416e-11,0.0373
6.826e-07,8.01796e-11,0.0204
8.764e-07,1.24585e-10,0.016
1.125e-06,1.85512e-10,0.0135
1.445e-06,2.64916e-10,0.0117
1.855e-06,3.75186e-10,0.0095
2.382e-06,5.15544e-10,0.0082
3.059e-06,7.00596e-10,0.0075
3.928e-06,9.18695e-10,0.0069
5.043e-06,1.20488e-09,0.0063
6.476e-06,1.53435e-09,0.0057
8.315e-06,1.93854e-09,0.0052
1.068e-05,2.45588e-09,0.0049
1.371e-05,3.00484e-09,0.0046
1.76e-05,3.63737e-09,0.0042
2.26e-05,4.37296e-09,0.0039
2.902e-05,5.25557e-09,0.0038
3.727e-05,6.13968e-09,0.0035
4.785e-05,7.16365e-09,0.0033
6.144e-05,8.2697e-09,0.003
7.889e-05,9.43436e-09,0.0029
0.0001013,1.05829e-08,0.0028
0.0001301,1.16944e-08,0.0026
0.000167,1.2598e-08,0.0025
0.0002145,1.33575e-08,0.0025
0.0002754,1.37203e-08,0.0025
0.0003536,1.35713e-08,0.0025
0.000454,1.27515e-08,0.0029
0.0005829,1.15726e-08,0.0027
0.0007485,9.35525e-09,0.003
0.0009611,6.14597e-09,0.0034
0.001234,3.40945e-09,0.004
0.001585,2.59739e-09,0.0042
0.002035,1.40563e-08,0.0018
0.002249,9.51736e-09,0.0022
0.002485,6.43932e-08,0.0007
0.002613,3.08385e-09,0.0048
0.002747,6.81553e-09,0.0033
0.003035,1.75182e-08,0.0021
0.003355,1.88642e-08,0.0019
0.003707,1.88211e-08,0.0019
0.004307,2.8187e-08,0.0016
0.005531,4.61962e-08,0.0012
0.007102,6.88571e-08,0.0008
0.009119,3.62286e-07,0.0003
0.01059,9.34189e-08,0.0008
0.01171,7.21207e-08,0.0009
0.01503,7.61891e-07,0.0002
0.0193,2.56603e-07,0.0005
0.02187,2.4413e-07,0.0005
0.02358,5.37199e-07,0.0003
0.02418,6.36348e-07,0.0002
0.02479,1.54577e-08,0.0022
0.02606,7.15959e-08,0.001
0.027,7.10777e-08,0.001
0.0285,2.84873e-07,0.0004
0.03183,2.49234e-07,0.0005
0.03431,4.38531e-07,0.0003
0.04087,1.48744e-06,0.0002
0.04631,7.56434e-07,0.0003
0.05248,8.65793e-07,0.0002
0.05656,1.2497e-06,0.0002
0.06738,1.37171e-06,0.0002
0.07202,3.83883e-07,0.0004
0.0795,1.24103e-06,0.0002
0.0825,1.25421e-07,0.0007
0.08652,1.66902e-07,0.0006
0.09804,4.73779e-07,0.0003
0.1111,5.30052e-07,0.0003
0.1168,2.28548e-07,0.0005
0.1228,2.39226e-07,0.0005
0.1291,2.49595e-07,0.0005
0.1357,2.59902e-07,0.0005
0.1426,2.70446e-07,0.0005
0.15,2.88269e-07,0.0005
0.1576,2.94873e-07,0.0005
0.1657,3.12698e-07,0.0004
0.1742,3.26643e-07,0.0004
0.1832,3.44387e-07,0.0004
0.1925,3.55108e-07,0.0004
0.2024,3.76989e-07,0.0004
0.2128,3.93008e-07,0.0004
0.2237,4.0869e-07,0.0004
0.2352,4.28065e-07,0.0004
0.2472,4.43709e-07,0.0004
0.2732,9.50598e-07,0.0003
0.2872,5.05662e-07,0.0004
0.2945,2.62316e-07,0.0005
0.2972,9.65929e-08,0.0008
0.2985,4.65228e-08,0.0012
0.302,1.25211e-07,0.0007
0.3337,1.12092e-06,0.0002
0.3688,1.21886e-06,0.0002
0.3877,6.46565e-07,0.0003
0.4076,6.74237e-07,0.0003
0.4505,1.42224e-06,0.0002
0.4979,1.52257e-06,0.0002
0.5234,7.97512e-07,0.0003
0.5502,8.20902e-07,0.0003
0.5784,8.43799e-07,0.0003
0.6081,8.6431e-07,0.0003
0.6393,8.7629e-07,0.0003
0.6721,8.8067e-07,0.0003
0.7065,8.72738e-07,0.0003
0.7427,8.53272e-07,0.0003
0.7808,8.1448e-07,0.0003
0.8209,7.49497e-07,0.0003
0.8629,6.509e-07,0.0003
0.9072,5.24586e-07,0.0004
0.9617,4.35806e-07,0.0004
1.003,2.33328e-07,0.0005
1.108,4.44176e-07,0.0004
1.165,1.85448e-07,0.0006
1.225,1.6722e-07,0.0006
1.287,1.48766e-07,0.0007
1.353,1.28507e-07,0.0007
1.423,1.0309e-07,0.0008
1.496,8.49695e-08,0.0009
1.572,7.11201e-08,0.001
1.653,6.00759e-08,0.0011
1.738,4.85348e-08,0.0012
1.827,3.60574e-08,0.0014
1.921,2.96687e-08,0.0015
2.019,2.38782e-08,0.0017
2.122,2.01717e-08,0.0019
2.231,1.73757e-08,0.002
2.307,1.05458e-08,0.0026
2.346,4.95283e-09,0.0037
2.365,2.28185e-09,0.0058
2.385,2.27359e-09,0.0056
2.466,8.4725e-09,0.0029
2.592,1.13112e-08,0.0025
2.725,1.00965e-08,0.0026
2.865,8.93628e-09,0.0028
3.012,8.04144e-09,0.003
3.166,7.26538e-09,0.0031
3.329,6.64289e-09,0.0032
3.679,1.17807e-08,0.0024
4.066,1.01453e-08,0.0025
4.493,8.93615e-09,0.0026
4.724,4.20811e-09,0.0037
4.966,4.12544e-09,0.0041
5.22,4.18801e-09,0.0036
5.488,4.34233e-09,0.0035
