Energy,Value,Error
0.01,1.57426e-12,0.2517
0.02,3.98819e-10,0.0188
0.05,3.9353e-10,0.0261
0.1,9.91912e-09,0.0054
0.2,9.90795e-09,0.0048
0.3,8.42185e-09,0.005
0.4,1.74022e-08,0.0032
0.6,9.48228e-08,0.0013
0.8,7.57476e-08,0.0015
1.0,7.85745e-08,0.0014
1.22,8.5134e-08,0.0013
1.44,8.62143e-08,0.0013
1.66,8.83176e-08,0.0012
2.0,1.19493e-07,0.001
2.5,1.30067e-07,0.001
3.0,8.54728e-08,0.0012
4.0,7.48479e-08,0.0012
5.0,2.58299e-08,0.0022
6.5,8.2719e-09,0.0036
8.0,8.3503e-11,0.0406
10.0,4.61952e-12,0.2355
12.0,7.32792e-12,0.1446
14.0,7.14712e-12,0.1887
20.0,1.18854e-11,0.24
