Energy,Value,Error
0.01,0.0,0.0
0.02,1.8360799999999998e-11,0.4504
0.05,1.663643333333333e-10,0.108
0.1,1.3766380000000001e-08,0.0083
0.2,4.990319999999999e-07,0.001
0.3,8.338500000000002e-09,0.0076
0.4,1.5724299999999993e-09,0.0172
0.6,3.9139450000000007e-10,0.0251
0.8,3.438794999999999e-10,0.0281
1.0,3.5903200000000007e-10,0.0264
1.22,8.776545454545456e-10,0.0157
1.44,4.330527272727273e-08,0.0022
1.66,4.367877272727273e-09,0.007
2.0,5.935764705882351e-10,0.0164
2.5,3.69846e-10,0.016
3.0,4.53394e-09,0.0047
4.0,1.29401e-09,0.0061
5.0,2.07723e-09,0.0049
6.5,5.255146666666666e-10,0.0078
8.0,9.3846e-12,0.0556
10.0,2.17235e-13,0.3196
12.0,1.87487e-13,0.4389
14.0,1.56987e-13,0.3972
20.0,1.0793483333333333e-13,0.2608
