Energy,Value,Error
0.01,0.0,0.0
0.02,1.4738699999999999e-08,0.0299
0.05,3.2818233333333334e-09,0.0465
0.1,1.490194e-07,0.0099
0.2,3.97486e-08,0.007
0.3,7.145930000000002e-08,0.0057
0.4,1.2541299999999996e-07,0.0063
0.6,3.50617e-07,0.0016
0.8,2.5910599999999994e-07,0.0019
1.0,2.702365e-07,0.0015
1.22,2.607572727272728e-07,0.0014
1.44,2.5503727272727275e-07,0.0014
1.66,2.433986363636364e-07,0.0015
2.0,2.2044558823529405e-07,0.0012
2.5,1.818768e-07,0.0011
3.0,1.265712e-07,0.0014
4.0,5.81082e-08,0.0014
5.0,1.8303e-08,0.0025
6.5,1.1460733333333335e-09,0.0081
8.0,7.095866666666666e-12,0.1045
10.0,3.07084e-13,0.3664
12.0,3.2971e-13,0.3628
14.0,8.25705e-13,0.2514
20.0,1.13142e-13,0.3568
