Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,3.18781e-14,1.0
8.764e-07,6.91089e-14,0.7165
1.125e-06,1.46916e-11,0.054
1.445e-06,3.14742e-11,0.0389
1.855e-06,4.07096e-11,0.035
2.382e-06,5.24425e-11,0.0292
3.059e-06,6.73172e-11,0.0256
3.928e-06,6.55304e-11,0.0273
5.043e-06,8.32252e-11,0.023
6.476e-06,1.43298e-10,0.0187
8.315e-06,1.81536e-10,0.0158
1.068e-05,2.35446e-10,0.0152
1.371e-05,2.93141e-10,0.0125
1.76e-05,3.81809e-10,0.0115
2.26e-05,4.89728e-10,0.0097
2.902e-05,6.10502e-10,0.009
3.727e-05,6.56187e-10,0.0082
4.785e-05,9.00499e-10,0.0071
6.144e-05,1.1291e-09,0.0064
7.889e-05,1.42677e-09,0.0057
0.0001013,1.89368e-09,0.0049
0.0001301,2.33646e-09,0.0046
0.000167,3.4093e-09,0.0037
0.0002145,3.88387e-09,0.0033
0.0002754,5.46667e-09,0.0029
0.0003536,4.93788e-09,0.0026
0.000454,6.0021e-09,0.0024
0.0005829,8.24802e-09,0.0021
0.0007485,1.16081e-08,0.0019
0.0009611,1.6831e-08,0.0016
0.001234,2.32741e-08,0.0014
0.001585,3.08366e-08,0.0012
0.002035,4.0855e-08,0.0011
0.002249,1.9886e-08,0.0016
0.002485,2.20074e-08,0.0015
0.002613,1.19776e-08,0.002
0.002747,1.25574e-08,0.0019
0.003035,2.71177e-08,0.0013
0.003355,3.04564e-08,0.0013
0.003707,3.36417e-08,0.0012
0.004307,5.80079e-08,0.0009
0.005531,1.20671e-07,0.0006
0.007102,1.56872e-07,0.0006
0.009119,2.04487e-07,0.0005
0.01059,1.51025e-07,0.0006
0.01171,1.15944e-07,0.0007
0.01503,3.47116e-07,0.0004
0.0193,4.53637e-07,0.0003
0.02187,2.77344e-07,0.0004
0.02358,1.85595e-07,0.0005
0.02418,6.52259e-08,0.001
0.02479,6.64882e-08,0.0009
0.02606,1.38832e-07,0.0006
0.027,1.02978e-07,0.0007
0.0285,1.64798e-07,0.0006
0.03183,3.69149e-07,0.0004
0.03431,2.77208e-07,0.0004
0.04087,7.43231e-07,0.0003
0.04631,6.25275e-07,0.0003
0.05248,7.02893e-07,0.0003
0.05656,4.37615e-07,0.0003
0.06738,1.11716e-06,0.0002
0.07202,4.74508e-07,0.0003
0.0795,7.59659e-07,0.0003
0.0825,3.02955e-07,0.0004
0.08652,4.04227e-07,0.0004
0.09804,1.11028e-06,0.0002
0.1111,3.47941e-07,0.0004
0.1168,1.20437e-07,0.0007
0.1228,1.28257e-07,0.0007
0.1291,1.36465e-07,0.0006
0.1357,1.44894e-07,0.0006
0.1426,1.53914e-07,0.0006
0.15,1.68212e-07,0.0006
0.1576,1.75941e-07,0.0006
0.1657,1.90296e-07,0.0005
0.1742,2.0174e-07,0.0005
0.1832,2.15728e-07,0.0005
0.1925,2.24825e-07,0.0005
0.2024,2.41542e-07,0.0005
0.2128,2.55753e-07,0.0005
0.2237,2.70654e-07,0.0004
0.2352,2.87997e-07,0.0004
0.2472,3.03141e-07,0.0004
0.2732,6.665e-07,0.0003
0.2872,3.6119e-07,0.0004
0.2945,1.87255e-07,0.0005
0.2972,6.93002e-08,0.0009
0.2985,3.34536e-08,0.0013
0.302,9.00767e-08,0.0008
0.3337,8.19513e-07,0.0003
0.3688,9.13941e-07,0.0002
0.3877,4.93914e-07,0.0003
0.4076,5.20217e-07,0.0003
0.4505,1.12201e-06,0.0002
0.4979,1.23612e-06,0.0002
0.5234,6.61891e-07,0.0003
0.5502,6.93195e-07,0.0003
0.5784,7.25262e-07,0.0003
0.6081,7.58192e-07,0.0003
0.6393,7.90431e-07,0.0003
0.6721,8.23276e-07,0.0003
0.7065,8.52867e-07,0.0002
0.7427,8.85242e-07,0.0002
0.7808,9.15303e-07,0.0002
0.8209,9.41927e-07,0.0002
0.8629,9.57736e-07,0.0002
0.9072,9.78388e-07,0.0002
0.9617,1.15216e-06,0.0002
1.003,7.87175e-07,0.0003
1.108,1.37296e-06,0.0002
1.165,7.05295e-07,0.0003
1.225,7.12421e-07,0.0003
1.287,7.10273e-07,0.0003
1.353,7.28862e-07,0.0003
1.423,7.44273e-07,0.0003
1.496,7.4831e-07,0.0003
1.572,7.49775e-07,0.0003
1.653,7.69488e-07,0.0003
1.738,7.77553e-07,0.0003
1.827,7.83264e-07,0.0003
1.921,7.95214e-07,0.0003
2.019,7.89693e-07,0.0003
2.122,7.88769e-07,0.0003
2.231,7.92203e-07,0.0003
2.307,5.28955e-07,0.0003
2.346,2.64505e-07,0.0005
2.365,1.27348e-07,0.0007
2.385,1.32638e-07,0.0006
2.466,5.2535e-07,0.0003
2.592,7.80873e-07,0.0003
2.725,7.76868e-07,0.0003
2.865,7.67785e-07,0.0003
3.012,7.52881e-07,0.0003
3.166,7.33441e-07,0.0003
3.329,7.21702e-07,0.0003
3.679,1.37585e-06,0.0002
4.066,1.29739e-06,0.0002
4.493,1.20909e-06,0.0002
4.724,5.73204e-07,0.0003
4.966,5.5112e-07,0.0003
5.22,5.2679e-07,0.0003
5.488,5.07119e-07,0.0003
5.77,4.84502e-07,0.0003
6.065,4.60872e-07,0.0003
6.376,4.40676e-07,0.0003
6.592,2.82407e-07,0.0004
6.703,1.37993e-07,0.0006
7.047,4.03596e-07,0.0003
7.408,3.86751e-07,0.0003
7.788,3.75373e-07,0.0003
8.187,3.66205e-07,0.0003
8.607,3.60968e-07,0.0003
9.048,3.57982e-07,0.0003
9.512,3.58947e-07,0.0003
10.0,3.69247e-07,0.0003
10.51,7.72607e-07,0.0002
11.05,8.0734e-07,0.0002
11.62,8.43346e-07,0.0002
12.21,8.66382e-07,0.0002
12.52,4.52631e-07,0.0003
12.84,4.66155e-07,0.0003
13.5,9.57808e-07,0.0002
13.84,4.91453e-07,0.0003
14.19,2.23152e-07,0.0004
14.55,1.67844e-09,0.0055
14.92,1.37772e-09,0.006
15.68,1.97144e-09,0.0051
16.49,1.23821e-09,0.0063
16.9,4.35148e-10,0.011
17.33,3.4463e-10,0.0121
19.64,8.09678e-10,0.008
