Energy,Value,Error
0.01,9.122710091227101e-10,0.1357
0.02,5.72322e-07,0.0081
0.05,1.20681e-07,0.0095
0.1,5.512819999999999e-07,0.0036
0.2,4.21519e-06,0.001
0.3,2.5285100000000007e-06,0.0011
0.4,5.511969999999999e-06,0.0007
0.6,1.1105800000000003e-05,0.0003
0.8,1.0987049999999997e-05,0.0003
1.0,9.777700000000003e-06,0.0003
1.22,8.793590909090909e-06,0.0003
1.44,7.725681818181818e-06,0.0003
1.66,5.983318181818183e-06,0.0003
2.0,4.566999999999999e-06,0.0003
2.5,2.783e-06,0.0003
3.0,1.461474e-06,0.0005
4.0,6.50504e-07,0.0005
5.0,2.85097e-07,0.0007
6.5,6.086633333333334e-08,0.0014
8.0,1.0699933333333332e-08,0.0033
10.0,1.46869e-10,0.0225
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
