Energy,Value,Error
0.01,2.56575e-13,1.0
0.02,4.07532e-09,0.01
0.05,8.03486e-11,0.0623
0.1,5.99371e-09,0.0065
0.2,2.93613e-07,0.0011
0.3,1.68592e-07,0.0014
0.4,3.67214e-07,0.0009
0.6,1.54728e-06,0.0004
0.8,1.5344e-06,0.0004
1.0,1.59699e-06,0.0003
1.22,1.42798e-06,0.0003
1.44,1.39998e-06,0.0003
1.66,1.0172e-06,0.0004
2.0,1.21e-06,0.0003
2.5,1.08919e-06,0.0004
3.0,6.41503e-07,0.0005
4.0,5.55578e-07,0.0005
5.0,1.84378e-07,0.0009
6.5,6.91639e-08,0.0015
8.0,1.16171e-08,0.0038
10.0,1.90104e-09,0.0094
12.0,6.67002e-11,0.052
14.0,9.69207e-11,0.0525
20.0,9.05908e-11,0.0486
