Energy,Value,Error
0.01,1.24726e-13,0.5849
0.02,0.0,0.0
0.05,2.27791e-10,0.0256
0.1,2.74137e-10,0.0241
0.2,5.9006e-09,0.0054
0.3,2.12101e-08,0.0027
0.4,3.01104e-08,0.0021
0.6,6.6024e-08,0.0015
0.8,3.49244e-08,0.0018
1.0,2.63782e-08,0.0019
1.22,2.43985e-08,0.002
1.44,2.11826e-08,0.0021
1.66,1.89462e-08,0.0022
2.0,2.72294e-08,0.0019
2.5,3.3457e-08,0.0017
3.0,2.4938e-08,0.002
4.0,3.08339e-08,0.0017
5.0,1.76957e-08,0.0024
6.5,1.18767e-08,0.0027
8.0,9.47718e-10,0.0103
10.0,3.2714e-11,0.0647
12.0,1.63917e-12,0.2244
14.0,1.29931e-12,0.2645
20.0,2.06195e-12,0.2047
