Time,Value,Error
6.26952,0.0,0.0
6.30888,0.0,0.0
6.34824,0.0,0.0
6.3876,0.0,0.0
6.42696,0.0,0.0
6.46632,0.0,0.0
6.50568,0.0,0.0
6.54504,0.0,0.0
6.5844,0.0,0.0
6.62376,0.0,0.0
6.66312,1.8184273373983607e-15,0.7562
6.70248,2.9558689024390032e-12,0.0966
6.74184,3.467378048780541e-10,0.0116
6.7812,7.718343495934902e-09,0.0034
6.82056,1.6600431910568986e-08,0.0045
6.85992,9.58595020325218e-09,0.0054
6.89928,5.579369918699147e-09,0.013
6.93864,4.009933943089402e-09,0.0105
6.978,3.180665650406553e-09,0.0138
7.01736,2.6108739837398184e-09,0.0201
7.05672,2.181112804878033e-09,0.0144
7.09608,1.7420020325203518e-09,0.0229
7.13544,1.5119207317073062e-09,0.0289
7.1748,1.3431656504064944e-09,0.0339
7.21416,1.0873729674796914e-09,0.0191
7.25352,9.996874999999929e-10,0.0403
7.29288,8.4657266260162e-10,0.0331
7.33224,7.170477642276533e-10,0.0249
7.3716,6.667911585365805e-10,0.0385
7.41096,6.317708333333288e-10,0.0463
7.45032,5.512703252032605e-10,0.0442
7.48968,5.200533536585329e-10,0.0611
7.52904,4.8307164634146e-10,0.0684
7.5684,4.970223577235849e-10,0.0942
7.60776,4.274390243902408e-10,0.0747
7.80456,4.516737804878037e-10,0.0577
8.00136,4.401438008130089e-10,0.0607
8.19816,5.129319105691066e-10,0.0724
8.39496,4.985543699187002e-10,0.0531
8.59176,4.4009502032520007e-10,0.0508
8.78856,4.008516260162609e-10,0.0552
8.98536,3.7743445121951287e-10,0.051
9.18216,3.3271392276422825e-10,0.0492
9.37896,3.1998424796748026e-10,0.0546
9.57576,3.4062042682926587e-10,0.0844
9.77256,3.155711382113827e-10,0.0531
9.96936,2.7976117886178915e-10,0.0727
10.1662,2.859647429384273e-10,0.0681
10.363,2.739629065040655e-10,0.0382
10.5598,2.7348069105691105e-10,0.0336
10.7566,2.8567835365853453e-10,0.0431
10.9534,2.9669664634146394e-10,0.0396
11.1502,2.883694105691062e-10,0.0383
11.347,3.056763211382119e-10,0.0536
11.5438,3.040055894308949e-10,0.0335
11.7406,3.068988821138189e-10,0.0316
11.9374,3.220772357723583e-10,0.0304
12.1342,3.4099136178861847e-10,0.0385
12.331,3.242474593495941e-10,0.0362
12.5278,3.274532520325209e-10,0.0325
12.7246,3.5867784552845267e-10,0.0366
12.9214,3.3820376016260223e-10,0.0321
13.1182,3.5256300813008196e-10,0.0244
13.315,3.8898424796748033e-10,0.0287
13.5118,3.9245528455284627e-10,0.029
13.7086,3.967118902438996e-10,0.0276
13.9054,4.2649441056910646e-10,0.0421
14.1022,4.115767276422772e-10,0.0246
14.299,4.40939532520326e-10,0.0301
14.4958,4.3726778455284636e-10,0.0262
14.6926,4.713531504065006e-10,0.0294
14.8894,4.761875000000008e-10,0.0284
15.0862,5.413313008130091e-10,0.0558
15.283,5.173272357723586e-10,0.0494
15.4798,5.440955284552856e-10,0.0357
15.6766,5.572560975609716e-10,0.0395
15.8734,5.668495934959361e-10,0.0282
16.0702,6.085264227642287e-10,0.0381
16.267,6.074593495934971e-10,0.0183
16.4638,6.389939024390255e-10,0.0175
16.6606,6.652286585365866e-10,0.0205
16.8574,6.657215447154484e-10,0.0154
17.0542,6.846341463414523e-10,0.0181
17.251,6.610873983739851e-10,0.0151
17.4478,7.077337398373997e-10,0.0311
17.6446,7.203048780487818e-10,0.018
17.8414,7.655843495934974e-10,0.0247
18.0382,7.411941056910583e-10,0.0149
18.235,8.132266260162616e-10,0.0212
18.4318,8.337296747967495e-10,0.0214
18.6286,8.354674796747983e-10,0.0159
18.8254,8.495020325203267e-10,0.0206
19.0222,8.500609756097423e-10,0.0146
19.219,8.347560975609771e-10,0.0146
19.4158,8.51519308943091e-10,0.0188
19.6126,8.371697154471559e-10,0.0191
19.8094,7.980691056910584e-10,0.0186
20.0062,8.019918699187007e-10,0.0172
20.203,7.832774390243916e-10,0.0177
20.3998,7.886890243902454e-10,0.0281
20.5966,7.619258130081316e-10,0.0191
20.7934,7.444664634146355e-10,0.0144
20.9902,7.626981707316949e-10,0.0216
21.187,7.258739837398387e-10,0.0226
21.3838,7.231402439024404e-10,0.0189
21.5806,7.294359756097575e-10,0.019
21.7774,7.251422764227656e-10,0.0237
21.9742,7.11697154471546e-10,0.0182
22.171,7.298729674796761e-10,0.0166
22.3678,7.462195121951232e-10,0.0161
22.5646,7.575660569105704e-10,0.0173
22.7614,8.364532520325219e-10,0.095
22.9582,7.72235772357711e-10,0.0246
23.155,7.361077235772371e-10,0.0169
23.3518,6.979319105691069e-10,0.0246
23.5486,7.28556910569107e-10,0.0336
23.7454,6.511890243902451e-10,0.0162
23.9422,6.210213414634157e-10,0.0167
24.139,6.216310975609767e-10,0.022
24.3358,5.720020325203263e-10,0.0244
24.5326,5.31971544715448e-10,0.0212
24.7294,5.024095528455293e-10,0.0185
24.9262,4.689308943089355e-10,0.0193
25.123,4.5822205284552925e-10,0.0203
25.3198,4.246590447154479e-10,0.0231
25.5166,4.0150813008130155e-10,0.0246
25.7134,4.0839481707317147e-10,0.0457
25.9102,3.5030843495935024e-10,0.0246
26.107,3.057901422764233e-10,0.0214
26.3038,3.070701219512201e-10,0.0282
26.5006,2.7539430894308997e-10,0.0266
26.6974,2.782586382113826e-10,0.0605
26.8942,2.375777439024352e-10,0.0309
27.091,2.1948526422764268e-10,0.0326
27.2878,2.1280691056910608e-10,0.0453
27.4846,1.809075203252036e-10,0.0337
