Energy,Value,Error,Angle
0.011927,4.961692436487282e-07,0.0019,0 deg
0.0125385,9.929184183299966e-07,0.0091,0 deg
0.0131815,9.97412127849071e-07,0.009,0 deg
0.013857,1.0037139943647764e-06,0.009,0 deg
0.0145675,1.006341684555823e-06,0.009,0 deg
0.0153145,1.010085133847253e-06,0.009,0 deg
0.0160995,1.032371217344202e-06,0.0089,0 deg
0.016925,1.0657791958844098e-06,0.0088,0 deg
0.017793,1.0578085652422939e-06,0.0088,0 deg
0.0187055,1.041398134949992e-06,0.0089,0 deg
0.0196645,1.0596754970390926e-06,0.0088,0 deg
0.0206725,1.0768796997924315e-06,0.0088,0 deg
0.021732,1.0792690257233017e-06,0.0086,0 deg
0.0228465,1.1000077089842015e-06,0.0086,0 deg
0.024018,1.110161295649149e-06,0.0086,0 deg
0.025249,1.1088669762227414e-06,0.0087,0 deg
0.0265435,1.1153549038508035e-06,0.0085,0 deg
0.0279045,1.1191352957935249e-06,0.0084,0 deg
0.0293355,1.1449173860579485e-06,0.0085,0 deg
0.0308395,1.1732381230774353e-06,0.0085,0 deg
0.0324205,1.1888523267573095e-06,0.0083,0 deg
0.034083,1.1810960445599047e-06,0.0083,0 deg
0.0358305,1.1851079922814524e-06,0.0085,0 deg
0.0376675,1.2207847371870889e-06,0.0082,0 deg
0.039599,1.215275020963399e-06,0.0083,0 deg
0.0416295,1.2291025384010027e-06,0.0083,0 deg
0.0437635,1.2622690355977073e-06,0.0082,0 deg
0.046007,1.2731254875247796e-06,0.0081,0 deg
0.048366,1.2759939478843061e-06,0.0082,0 deg
0.050846,1.2964807099516693e-06,0.008,0 deg
0.053453,1.327497313803593e-06,0.0079,0 deg
0.0561935,1.3315105062705147e-06,0.0079,0 deg
0.0590745,1.3641732720890694e-06,0.0078,0 deg
0.0621035,1.3746598272401849e-06,0.0078,0 deg
0.0652875,1.416507699513941e-06,0.0077,0 deg
0.0686345,1.4337371158425316e-06,0.0077,0 deg
0.0721535,1.456956295062721e-06,0.0075,0 deg
0.075853,1.4614492477152608e-06,0.0078,0 deg
0.079742,1.460194344525521e-06,0.0076,0 deg
0.0838305,1.463641951079074e-06,0.0076,0 deg
0.088129,1.5114664986677812e-06,0.0084,0 deg
0.0926475,1.5249822729406878e-06,0.0075,0 deg
0.0973975,1.5382338743985406e-06,0.0076,0 deg
0.102391,1.5822825840069772e-06,0.0077,0 deg
