Energy,Value,Error,Angle
0.011927,2.9482547550635486e-07,0.0018,66.8 deg
0.0125385,5.937958186673965e-07,0.0117,66.8 deg
0.0131815,5.897450903450971e-07,0.0117,66.8 deg
0.013857,6.087078823162532e-07,0.0116,66.8 deg
0.0145675,6.196150202587834e-07,0.0115,66.8 deg
0.0153145,6.040365652407874e-07,0.0115,66.8 deg
0.0160995,6.141738836570589e-07,0.0114,66.8 deg
0.016925,6.256729116225842e-07,0.0115,66.8 deg
0.017793,6.276969983718658e-07,0.0115,66.8 deg
0.0187055,6.318783243840621e-07,0.0114,66.8 deg
0.0196645,6.437697153337585e-07,0.0112,66.8 deg
0.0206725,6.47170042182786e-07,0.0112,66.8 deg
0.021732,6.522791596712951e-07,0.0112,66.8 deg
0.0228465,6.495147647869386e-07,0.0111,66.8 deg
0.024018,6.696307804151444e-07,0.011,66.8 deg
0.025249,6.612387982037719e-07,0.0109,66.8 deg
0.0265435,6.808765282246273e-07,0.0109,66.8 deg
0.0279045,6.85381924103185e-07,0.0108,66.8 deg
0.0293355,6.92655642603232e-07,0.0109,66.8 deg
0.0308395,6.987406604656372e-07,0.0108,66.8 deg
0.0324205,6.957931051000416e-07,0.0107,66.8 deg
0.034083,7.188420405158148e-07,0.0107,66.8 deg
0.0358305,7.249829838819663e-07,0.0106,66.8 deg
0.0376675,7.50385498817299e-07,0.0105,66.8 deg
0.039599,7.389901919521805e-07,0.0105,66.8 deg
0.0416295,7.463106053643726e-07,0.0105,66.8 deg
0.0437635,7.556447153066167e-07,0.0104,66.8 deg
0.046007,7.673089442329686e-07,0.0104,66.8 deg
0.048366,7.742913550898066e-07,0.0104,66.8 deg
0.050846,7.940706119271094e-07,0.0103,66.8 deg
0.053453,8.098748387686886e-07,0.01,66.8 deg
0.0561935,8.085490260741536e-07,0.01,66.8 deg
0.0590745,8.231205232290392e-07,0.0099,66.8 deg
0.0621035,8.431555988599224e-07,0.0099,66.8 deg
0.0652875,8.468397121731815e-07,0.0099,66.8 deg
0.0686345,8.595425957599302e-07,0.0099,66.8 deg
0.0721535,8.877376494483416e-07,0.0097,66.8 deg
0.075853,8.880560213873659e-07,0.0096,66.8 deg
0.079742,8.966689493662975e-07,0.0097,66.8 deg
0.0838305,9.09775267426584e-07,0.0095,66.8 deg
0.088129,9.205985967229937e-07,0.0096,66.8 deg
0.0926475,9.285840770508916e-07,0.0094,66.8 deg
0.0973975,9.317065746751912e-07,0.0096,66.8 deg
0.102391,9.752176420858816e-07,0.0095,66.8 deg
0.10764,9.979895841390868e-07,0.0093,66.8 deg
0.11316,9.895577647886047e-07,0.0097,66.8 deg
0.11896,9.957515733513965e-07,0.0095,66.8 deg
0.12506,1.0211209305747156e-06,0.0095,66.8 deg
0.131475,1.0471742612793725e-06,0.0092,66.8 deg
0.138215,1.054842397097956e-06,0.009,66.8 deg
0.1453,1.060299371330169e-06,0.0091,66.8 deg
0.15275,1.09957941259433e-06,0.009,66.8 deg
0.16058,1.1044083318982272e-06,0.0089,66.8 deg
0.16881,1.1506183168129977e-06,0.0092,66.8 deg
0.17747,1.1697785755915698e-06,0.0088,66.8 deg
0.18657,1.178113997301332e-06,0.0088,66.8 deg
0.196135,1.240744041474407e-06,0.0085,66.8 deg
0.20619,1.2556746775758071e-06,0.0092,66.8 deg
0.21676,1.2719202880836104e-06,0.0096,66.8 deg
