Energy,Value,Error,Angle
0.011927,5.799299762146054e-10,0.044,24.9 deg
0.0125385,1.730376612516112e-08,0.1039,24.9 deg
0.0131815,1.8005467453641715e-08,0.099,24.9 deg
0.013857,2.0583802535057465e-08,0.0921,24.9 deg
0.0145675,2.3240238025973684e-08,0.088,24.9 deg
0.0153145,2.6272284055649237e-08,0.0881,24.9 deg
0.0160995,2.5392031325148198e-08,0.084,24.9 deg
0.016925,2.6942058452464065e-08,0.0806,24.9 deg
0.017793,3.3200566838886516e-08,0.0812,24.9 deg
0.0187055,3.347044795927626e-08,0.0753,24.9 deg
0.0196645,3.771477518802579e-08,0.0711,24.9 deg
0.0206725,3.975387955243589e-08,0.0681,24.9 deg
0.021732,4.459308688911299e-08,0.0652,24.9 deg
0.0228465,4.619961594868836e-08,0.0623,24.9 deg
0.024018,5.716997809983554e-08,0.061,24.9 deg
0.025249,6.19902745382839e-08,0.057,24.9 deg
0.0265435,5.483541434442322e-08,0.0574,24.9 deg
0.0279045,6.782323630178746e-08,0.0515,24.9 deg
0.0293355,7.588198532212989e-08,0.0497,24.9 deg
0.0308395,8.154854490233814e-08,0.0489,24.9 deg
0.0324205,9.923771188867016e-08,0.0437,24.9 deg
0.034083,1.0511362857627554e-07,0.0435,24.9 deg
0.0358305,1.1526504854733396e-07,0.0415,24.9 deg
0.0376675,1.2989096001706313e-07,0.0408,24.9 deg
0.039599,1.4474381782987972e-07,0.0349,24.9 deg
0.0416295,1.1575879546766254e-07,0.0396,24.9 deg
0.0437635,7.96001910132128e-08,0.0511,24.9 deg
0.046007,1.2355925498349032e-07,0.0416,24.9 deg
0.048366,1.3248924969135535e-07,0.0389,24.9 deg
0.050846,1.4445097747650688e-07,0.0372,24.9 deg
0.053453,1.6110279054286862e-07,0.0356,24.9 deg
0.0561935,1.7329099232063557e-07,0.0341,24.9 deg
0.0590745,1.8738789346924754e-07,0.0319,24.9 deg
0.0621035,2.12369305243402e-07,0.0303,24.9 deg
