Energy,Value,Error
0.19,0.6257157898030083,0.0004
0.2,0.7591489999999993,0.0016
0.21,0.7185540000000014,0.0017
0.22,0.6950359999999994,0.0017
0.23,0.6980519999999993,0.0017
0.24,0.7247640000000013,0.0017
0.25,0.7642599999999994,0.0016
0.26,0.8218279999999992,0.0016
0.27,0.8879189999999992,0.0015
0.28,0.9560239999999991,0.0014
0.29,1.024880000000005,0.0014
0.3,1.085689999999999,0.0013
0.32,1.144474999999999,0.0009
0.34,1.164454999999999,0.0009
0.36,1.113920000000002,0.0009
0.38,0.9888399999999992,0.001
0.4,0.8126249999999993,0.0011
0.42,0.6680600000000013,0.0012
0.44,0.6120699999999994,0.0013
0.46,0.6257649999999995,0.0013
0.48,0.6531150000000012,0.0012
0.5,0.6686049999999993,0.0012
0.55,0.6960879999999994,0.0007
0.6,0.8311200000000012,0.0007
0.65,0.9717239999999991,0.0006
0.7,0.8983420000000012,0.0007
0.75,0.6805019999999995,0.0008
0.8,0.5184719999999996,0.0009
0.85,0.4912960000000007,0.0009
0.9,0.5050899999999995,0.0009
0.95,0.4929780000000007,0.0009
1.0,0.4358639999999996,0.0009
1.1,0.3522139999999997,0.0007
1.2,0.33067300000000044,0.0008
1.3,0.26733299999999977,0.0009
1.4,0.21471800000000027,0.001
1.5,0.17985899999999982,0.001
1.6,0.15411099999999986,0.0011
1.7,0.14674600000000018,0.0012
1.8,0.13755299999999987,0.0012
1.9,0.11350900000000015,0.0013
2.0,0.09235029999999991,0.0015
2.25,0.0778688,0.001
2.5,0.0594136,0.0012
2.75,0.041894,0.0014
3.0,0.0351624,0.0015
3.25,0.02815796,0.0017
3.5,0.02478364,0.0018
3.75,0.0186332,0.0021
4.0,0.0134704,0.0024
4.25,0.01096072,0.0027
4.5,0.00979504,0.0028
4.75,0.00803616,0.0031
5.0,0.00648396,0.0035
5.5,0.00491756,0.0028
6.0,0.0035357,0.0033
6.5,0.00260696,0.0039
7.0,0.001908192,0.0045
7.5,0.001438622,0.0052
8.0,0.001046246,0.006
8.5,0.000766252,0.007
9.0,0.000561316,0.0082
9.5,0.000395652,0.0097
10.0,0.000288712,0.0113
10.5,0.000207798,0.0133
11.0,0.0001511278,0.0156
12.0,8.65225e-05,0.0145
13.0,4.32782e-05,0.0205
14.0,2.16251e-05,0.029
15.0,1.14562e-05,0.0399
16.0,5.49724e-06,0.0579
17.0,2.69128e-06,0.0837
