Energy,Value,Error
1e-07,2.00865e-12,0.3282
4.14e-07,3.79086e-11,0.1331
5.316e-07,2.58237e-11,0.1724
6.826e-07,3.45622e-11,0.1634
8.764e-07,5.17074e-11,0.1141
1.125e-06,7.27379e-11,0.0915
1.445e-06,1.04503e-10,0.0766
1.855e-06,1.34779e-10,0.0748
2.382e-06,1.87532e-10,0.0644
3.059e-06,2.68782e-10,0.0878
3.928e-06,3.00028e-10,0.0493
5.043e-06,4.05771e-10,0.0431
6.476e-06,5.46332e-10,0.0379
8.315e-06,6.73092e-10,0.0366
1.068e-05,8.70485e-10,0.0307
1.371e-05,1.16631e-09,0.0261
1.76e-05,1.43505e-09,0.0249
2.26e-05,1.93451e-09,0.0223
2.902e-05,2.46373e-09,0.0193
3.727e-05,3.12552e-09,0.0181
4.785e-05,3.95639e-09,0.0169
6.144e-05,5.05943e-09,0.014
7.889e-05,6.45812e-09,0.0127
0.0001013,8.25568e-09,0.0108
0.0001301,1.04872e-08,0.0098
0.000167,1.29902e-08,0.0089
0.0002145,1.65675e-08,0.0077
0.0002754,2.06125e-08,0.0069
0.0003536,2.57882e-08,0.007
0.000454,3.18495e-08,0.0055
0.0005829,3.9283e-08,0.0049
0.0007485,4.93021e-08,0.0045
0.0009611,6.00444e-08,0.004
0.001234,7.38791e-08,0.0036
0.001585,9.10265e-08,0.0033
0.002035,1.12314e-07,0.003
0.002249,5.16669e-08,0.0044
0.002485,5.55975e-08,0.0042
0.002613,2.9653e-08,0.0056
0.002747,3.12664e-08,0.0055
0.003035,6.58919e-08,0.004
0.003355,7.18993e-08,0.0036
0.003707,7.76257e-08,0.0036
0.004307,1.28591e-07,0.0027
0.005531,2.51442e-07,0.0019
0.007102,2.45678e-07,0.002
0.009119,3.96509e-07,0.0015
0.01059,3.1105e-07,0.0017
0.01171,2.57144e-07,0.0019
0.01503,9.38126e-07,0.001
0.0193,1.98901e-06,0.0007
0.02187,2.08987e-06,0.0006
0.02358,2.02663e-06,0.0006
0.02418,8.6251e-07,0.001
0.02479,9.15011e-07,0.0009
0.02606,2.2588e-06,0.0006
0.027,1.78508e-06,0.0007
0.0285,2.53323e-06,0.0005
0.03183,1.96663e-06,0.0006
0.03431,7.92929e-08,0.0038
0.04087,1.42504e-07,0.0034
0.04631,5.22138e-07,0.0015
0.05248,1.11729e-06,0.001
0.05656,1.01852e-06,0.001
0.06738,3.36787e-06,0.0005
0.07202,1.23134e-06,0.0008
0.0795,8.00406e-07,0.0011
0.0825,6.28183e-08,0.0042
0.08652,2.87457e-08,0.0072
0.09804,1.11104e-07,0.0038
0.1111,6.29753e-07,0.0013
0.1168,3.78332e-07,0.0017
0.1228,1.27696e-07,0.0035
0.1291,1.04399e-06,0.0009
0.1357,7.49494e-07,0.001
0.1426,9.68472e-08,0.0035
0.15,3.91118e-08,0.0057
0.1576,4.35024e-08,0.0058
0.1657,5.24835e-08,0.0058
0.1742,1.22273e-07,0.0034
0.1832,1.93001e-07,0.0025
0.1925,2.5367e-07,0.002
