Energy,Value,Error
1e-07,4.9246822775419243e-08,0.0014
4.14e-07,2.1736743548041155e-07,0.0018
5.316e-07,1.897631557283946e-07,0.005
6.826e-07,1.874283228523667e-07,0.0052
8.764e-07,1.8695623357525909e-07,0.0053
1.125e-06,1.852782933487614e-07,0.0051
1.445e-06,1.8778651163016145e-07,0.0054
1.855e-06,1.8584017777512581e-07,0.0052
2.382e-06,1.8667955188627743e-07,0.0054
3.059e-06,1.8700759502779847e-07,0.0059
3.928e-06,1.8692195387136754e-07,0.0059
5.043e-06,1.854962996560031e-07,0.0058
6.476e-06,1.83054592278151e-07,0.0055
8.315e-06,1.8462376005348277e-07,0.0059
1.068e-05,1.8418234606274602e-07,0.0054
1.371e-05,1.815400083920775e-07,0.0056
1.76e-05,1.8298705326556408e-07,0.0057
2.26e-05,1.7990649602781746e-07,0.0056
2.902e-05,1.798241792068385e-07,0.0056
3.727e-05,1.8000709867735082e-07,0.0057
4.785e-05,1.7946801859171177e-07,0.0063
6.144e-05,1.7819914867949309e-07,0.0057
7.889e-05,1.7656706965687387e-07,0.0056
0.0001013,1.771425724117575e-07,0.0059
0.0001301,1.761363317963048e-07,0.0057
0.000167,1.7595548434019646e-07,0.0057
0.0002145,1.7450028332793842e-07,0.0062
0.0002754,1.7541334724096065e-07,0.0058
0.0003536,1.767839945819536e-07,0.006
0.000454,1.7491997077494552e-07,0.006
0.0005829,1.7704495418140108e-07,0.0059
0.0007485,1.780164384753682e-07,0.006
0.0009611,1.8036796357924612e-07,0.0055
0.001234,1.8499526927119927e-07,0.0062
0.001585,1.9158490304754912e-07,0.0071
0.002035,1.95524484832216e-07,0.0058
0.002249,2.0197849257098072e-07,0.0096
0.002485,2.0727552470178827e-07,0.0232
0.002613,2.1259766819402824e-07,0.0123
0.002747,2.139814038161076e-07,0.0122
0.003035,2.124490612399174e-07,0.0083
0.003355,2.2098686709846645e-07,0.0087
0.003707,2.2418403677257366e-07,0.0089
0.004307,2.3259303146306492e-07,0.0067
0.005531,2.4990022575470287e-07,0.0058
0.007102,2.750606142487942e-07,0.0046
0.009119,3.0838168868553113e-07,0.0043
0.01059,3.474269227402761e-07,0.0052
0.01171,3.685455857035907e-07,0.006
0.01503,4.115061366437018e-07,0.0036
0.0193,4.898245313250824e-07,0.0035
0.02187,5.660081741117166e-07,0.0045
0.02358,6.10183748420803e-07,0.0056
0.02418,6.329936562532496e-07,0.0091
0.02479,6.451182823217955e-07,0.0094
0.02606,6.654440432100617e-07,0.0064
0.027,6.798842925036055e-07,0.0073
0.0285,7.074619168754793e-07,0.0059
0.03183,7.580008438818823e-07,0.0041
0.03431,8.151052053328414e-07,0.0047
0.04087,8.967506947155797e-07,0.0029
0.04631,1.0106862975396687e-06,0.0032
0.05248,1.109213356712016e-06,0.0031
0.05656,1.1909302329505455e-06,0.0037
0.06738,1.3166694188144072e-06,0.0023
0.07202,1.4406217653789419e-06,0.0036
0.0795,1.5270941112243817e-06,0.0028
0.0825,1.6175956516035935e-06,0.0045
0.08652,1.6649323754478053e-06,0.0048
0.09804,1.7929526085273444e-06,0.0023
0.1111,2.0063389960734413e-06,0.0021
0.1168,2.2058717532508753e-06,0.0033
0.1228,2.336569804091726e-06,0.0031
0.1291,2.4687048467062563e-06,0.003
0.1357,2.596227394159474e-06,0.003
0.1426,2.7378704589546564e-06,0.0029
0.15,2.8881565806907916e-06,0.0028
0.1576,3.0480193347489287e-06,0.0028
0.1657,3.229988969432436e-06,0.0027
0.1742,3.408706103533404e-06,0.0025
0.1832,3.623468351542598e-06,0.0025
0.1925,3.834184428910592e-06,0.0024
0.2024,4.046398310961968e-06,0.0023
0.2128,4.263072367574554e-06,0.0022
0.2237,4.455438218304329e-06,0.0022
0.2352,4.72885211629059e-06,0.0021
0.2472,5.0029631778856305e-06,0.002
0.2732,5.559904048654592e-06,0.0014
0.2872,6.338245951045063e-06,0.0018
0.2945,6.7188798892334935e-06,0.0024
0.2972,7.019365081951401e-06,0.004
0.2985,7.203880310053033e-06,0.0056
0.302,7.364826058274604e-06,0.0034
0.3337,9.296604471211621e-06,0.001
0.3688,3.947872073563318e-05,0.0004
0.3877,3.3585412180324524e-05,0.0006
0.4076,3.4969713316059682e-06,0.0028
0.4505,7.030783605863854e-06,0.0013
0.4979,1.0109037442114445e-05,0.001
0.5234,1.1877773047669121e-05,0.0013
0.5502,1.3045735488401673e-05,0.0013
0.5784,1.4322314026501294e-05,0.0012
0.6081,1.5678039574659736e-05,0.0011
0.6393,1.737931326288737e-05,0.0011
0.6721,2.0070228730634005e-05,0.001
0.7065,2.7472318798778484e-05,0.0008
0.7427,5.518622368069131e-05,0.0005
0.7808,7.799653080142929e-05,0.0004
0.8209,7.608322140894215e-06,0.0018
0.8629,7.561439414308598e-06,0.0018
0.9072,7.508390720275947e-06,0.0018
0.9617,7.461567445325359e-06,0.0016
1.003,7.365968888834979e-06,0.0019
1.108,7.204692885181207e-06,0.0013
1.165,7.030828757234792e-06,0.0018
1.225,6.877293335852669e-06,0.0018
1.287,6.732392812328657e-06,0.0019
1.353,6.524760164991058e-06,0.0019
1.423,6.295961568273393e-06,0.0019
1.496,6.016943407294822e-06,0.0019
1.572,5.667999589750944e-06,0.002
1.653,5.310935593534753e-06,0.0021
1.738,4.933130723880335e-06,0.0021
1.827,4.55714573878596e-06,0.0022
1.921,4.175373093346888e-06,0.0023
2.019,3.7286016049695153e-06,0.0024
2.122,3.20483467031267e-06,0.0026
2.231,2.8558295150857492e-06,0.0027
2.307,2.6876598210424816e-06,0.0034
2.346,2.6129383356735295e-06,0.005
2.365,2.594941101137357e-06,0.0069
2.385,2.5408668595606294e-06,0.007
2.466,2.499035848425933e-06,0.0036
2.592,2.424307551778021e-06,0.0029
2.725,2.3261019406373193e-06,0.003
2.865,2.230941594781656e-06,0.003
3.012,2.1405405330546947e-06,0.0031
3.166,2.0489063270926114e-06,0.0031
3.329,1.9462005373718558e-06,0.0032
3.679,1.7973968779529978e-06,0.0029
4.066,1.5829133765403602e-06,0.0025
4.493,1.3879804742823019e-06,0.0025
4.724,1.2304152776439366e-06,0.0036
4.966,1.1666796064786076e-06,0.0037
5.22,1.0970453434622569e-06,0.0039
5.488,1.0348758525365823e-06,0.004
5.77,9.705918315231864e-07,0.0038
6.065,9.124278723568855e-07,0.0039
6.376,8.740921320823452e-07,0.004
6.592,8.520748846662956e-07,0.0049
6.703,8.468538560693679e-07,0.0069
7.047,8.403093533218837e-07,0.004
7.408,8.491887757496504e-07,0.004
7.788,8.634965994362831e-07,0.0038
8.187,9.076296064096353e-07,0.0037
8.607,9.032808284467935e-07,0.0037
9.048,9.215814129560473e-07,0.0036
