Energy,Value,Error
1e-07,1.2386570824293566e-12,0.0767
4.14e-07,4.574969571701651e-11,0.0307
5.316e-07,1.1352928676171504e-10,0.0436
6.826e-07,1.7110747899702012e-10,0.0419
8.764e-07,2.1610230981115594e-10,0.0335
1.125e-06,3.3092431797811384e-10,0.0271
1.445e-06,4.325194999289313e-10,0.0225
1.855e-06,5.508269190994745e-10,0.0205
2.382e-06,6.946050339678092e-10,0.0175
3.059e-06,9.159072694665177e-10,0.0157
3.928e-06,1.118086706473999e-09,0.0139
5.043e-06,1.533676894989939e-09,0.0127
6.476e-06,1.9167068061141927e-09,0.0108
8.315e-06,2.3909169392739665e-09,0.0094
1.068e-05,3.101884311482255e-09,0.0084
1.371e-05,4.018415659038531e-09,0.0081
1.76e-05,5.093616681590842e-09,0.0067
2.26e-05,6.626368108678107e-09,0.0058
2.902e-05,8.398332772113055e-09,0.0052
3.727e-05,1.0737261328037918e-08,0.0046
4.785e-05,1.37688366179842e-08,0.004
6.144e-05,1.7650788083218928e-08,0.0035
7.889e-05,2.2381351918040172e-08,0.0032
0.0001013,2.8748327786624303e-08,0.0028
0.0001301,3.68281169857163e-08,0.0025
0.000167,4.7096719510155465e-08,0.0022
0.0002145,6.000377300372484e-08,0.0019
0.0002754,7.6625699348737e-08,0.0017
0.0003536,9.760314369187805e-08,0.0015
0.000454,1.242967718967779e-07,0.0013
0.0005829,1.584236796989661e-07,0.0012
0.0007485,2.010437210018771e-07,0.0011
0.0009611,2.553429869134989e-07,0.0009
0.001234,3.238806558234062e-07,0.0008
0.001585,4.098776480869723e-07,0.0007
0.002035,5.174473594064081e-07,0.0007
0.002249,6.063985246933062e-07,0.001
0.002485,6.658744018935544e-07,0.0009
0.002613,7.134883665138019e-07,0.0013
0.002747,7.44970739535762e-07,0.0012
0.003035,7.983228632376441e-07,0.0008
0.003355,8.748503329869421e-07,0.0008
0.003707,9.56662285814561e-07,0.0008
0.004307,1.0687468918255403e-06,0.0006
0.005531,1.27656737641952e-06,0.0004
0.007102,1.5848945290492025e-06,0.0004
0.009119,1.9538152759768334e-06,0.0003
0.01059,2.2941355770004413e-06,0.0004
0.01171,2.5356942930864224e-06,0.0005
0.01503,2.909392535822961e-06,0.0003
0.0193,3.4940368669783405e-06,0.0002
0.02187,3.969139010383723e-06,0.0003
0.02358,4.236716709154167e-06,0.0004
0.02418,4.3768145223013465e-06,0.0007
0.02479,4.4477310872358966e-06,0.0007
0.02606,4.555632834076054e-06,0.0005
0.027,4.680305419794121e-06,0.0006
0.0285,4.817170068682382e-06,0.0004
0.03183,5.0752655383074455e-06,0.0003
0.03431,5.374980890730591e-06,0.0004
0.04087,5.771623388404936e-06,0.0002
0.04631,6.202232188661982e-06,0.0003
0.05248,6.560592365223871e-06,0.0002
0.05656,6.823852539843824e-06,0.0003
0.06738,7.086357109460093e-06,0.0002
0.07202,7.339641829619438e-06,0.0003
0.0795,7.53523087493754e-06,0.0002
0.0825,7.71083137924568e-06,0.0004
0.08652,7.824612565329634e-06,0.0004
0.09804,8.090082745770604e-06,0.0002
0.1111,6.097022579650862e-06,0.0003
0.1168,5.92872130134826e-06,0.0004
0.1228,6.0832701049987355e-06,0.0004
0.1291,6.233064989122925e-06,0.0004
0.1357,6.377169309784316e-06,0.0004
0.1426,6.502679249788962e-06,0.0004
0.15,6.613781123133385e-06,0.0004
0.1576,6.714654191509093e-06,0.0004
0.1657,6.789136207668432e-06,0.0004
0.1742,6.863608979342749e-06,0.0004
0.1832,6.921930272079577e-06,0.0004
0.1925,6.956482018552632e-06,0.0004
0.2024,6.98990053872461e-06,0.0004
0.2128,7.007948211846571e-06,0.0004
0.2237,7.003387632849147e-06,0.0004
0.2352,6.996620157109034e-06,0.0004
0.2472,6.98447460858217e-06,0.0004
0.2732,6.928086456069464e-06,0.0003
0.2872,6.8533464942833134e-06,0.0004
0.2945,6.790990966345252e-06,0.0005
0.2972,6.759402395555648e-06,0.0009
0.2985,6.743084180024642e-06,0.0013
0.302,6.73557781241711e-06,0.0008
0.3337,6.595266948047351e-06,0.0003
0.3688,6.232975440661001e-06,0.0003
0.3877,5.771374086820123e-06,0.0004
0.4076,5.412425146815066e-06,0.0004
0.4505,4.865497754936525e-06,0.0003
0.4979,4.128999818271381e-06,0.0003
0.5234,3.581275028580779e-06,0.0005
0.5502,3.2288821136594066e-06,0.0005
0.5784,2.8797717585567626e-06,0.0006
0.6081,2.537880621645733e-06,0.0006
0.6393,2.1993830570623708e-06,0.0007
0.6721,1.876210023731608e-06,0.0008
0.7065,1.5628416000609845e-06,0.0009
0.7427,1.2885570973781491e-06,0.001
0.7808,1.0503021888861737e-06,0.0011
0.8209,8.585734019686876e-07,0.0013
0.8629,7.213646509525599e-07,0.0015
0.9072,6.277349492715162e-07,0.0016
0.9617,5.660801477702426e-07,0.0025
1.003,5.368144306763786e-07,0.002
1.108,5.413189607264693e-07,0.0013
1.165,5.821347917571095e-07,0.0018
1.225,6.36741432527335e-07,0.0017
1.287,7.078958155220048e-07,0.0016
1.353,7.979177047796736e-07,0.0015
1.423,9.076408481392056e-07,0.0014
1.496,1.0336022692390198e-06,0.0013
1.572,1.1718694239582982e-06,0.0012
1.653,1.3211280194478016e-06,0.0011
1.738,1.4780107406296179e-06,0.001
1.827,1.6418059399507267e-06,0.001
1.921,1.8100279532819187e-06,0.0009
2.019,1.9708739082655913e-06,0.0009
2.122,2.1393299426578274e-06,0.0008
2.231,2.302115892458726e-06,0.0008
2.307,2.4322032649230963e-06,0.0009
2.346,2.50860023681372e-06,0.0013
2.365,2.5531621960859608e-06,0.0019
2.385,2.5791397583841214e-06,0.0018
2.466,2.6398514815487613e-06,0.0009
2.592,2.7657321864157654e-06,0.0007
2.725,2.9137277103224405e-06,0.0007
2.865,3.063577620784311e-06,0.0006
3.012,3.214448183592125e-06,0.0006
3.166,3.360536871070815e-06,0.0006
3.329,3.5123002622555483e-06,0.0006
3.679,3.744200045665273e-06,0.0004
4.066,4.083354816730576e-06,0.0004
4.493,4.451321125245474e-06,0.0004
4.724,4.75651189946167e-06,0.0005
4.966,4.982186442535011e-06,0.0005
5.22,5.222530509811606e-06,0.0005
5.488,5.494833132554274e-06,0.0004
5.77,5.803003449944054e-06,0.0004
6.065,6.149816684995288e-06,0.0004
6.376,6.546082220365667e-06,0.0004
6.592,6.908273157307108e-06,0.0005
6.703,7.134458230899157e-06,0.0007
7.047,7.485732311185657e-06,0.0004
7.408,8.02257825876167e-06,0.0004
7.788,8.604040585073653e-06,0.0003
