Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,8.87336e-13,0.7735
1.855e-06,1.0273e-12,0.6316
2.382e-06,1.03735e-11,0.2395
3.059e-06,2.62143e-11,0.127
3.928e-06,6.87368e-11,0.098
5.043e-06,1.94425e-10,0.1137
6.476e-06,3.75807e-10,0.0387
8.315e-06,7.29842e-10,0.0281
1.068e-05,1.3768e-09,0.0221
1.371e-05,2.45914e-09,0.0168
1.76e-05,4.04046e-09,0.0147
2.26e-05,6.16244e-09,0.0114
2.902e-05,8.76052e-09,0.0088
3.727e-05,1.23471e-08,0.0075
4.785e-05,1.63897e-08,0.0069
6.144e-05,2.09964e-08,0.006
7.889e-05,2.63875e-08,0.0057
0.0001013,3.15724e-08,0.0052
0.0001301,3.70332e-08,0.0044
0.000167,4.12657e-08,0.0066
0.0002145,4.5406e-08,0.0045
0.0002754,4.78679e-08,0.0048
0.0003536,4.87126e-08,0.005
0.000454,4.76488e-08,0.0054
0.0005829,4.38851e-08,0.0055
0.0007485,3.85306e-08,0.006
0.0009611,3.12304e-08,0.0067
0.001234,2.33854e-08,0.009
0.001585,1.55046e-08,0.0096
0.002035,8.99437e-09,0.0176
0.002249,2.14373e-09,0.0408
0.002485,1.29098e-09,0.0352
0.002613,5.56109e-10,0.057
0.002747,4.34018e-10,0.0633
0.003035,6.26467e-10,0.089
0.003355,3.33349e-10,0.0761
0.003707,1.53338e-10,0.0823
0.004307,9.07097e-11,0.1048
0.005531,1.45421e-10,0.1064
0.007102,9.91536e-10,0.0366
0.009119,4.25477e-09,0.0258
0.01059,6.05267e-09,0.0182
0.01171,6.71394e-09,0.0197
0.01503,2.97134e-08,0.0086
0.0193,5.91707e-08,0.0059
0.02187,4.53609e-08,0.0076
0.02358,3.29086e-08,0.0075
0.02418,1.2333e-08,0.0118
0.02479,1.27901e-08,0.0132
0.02606,2.77343e-08,0.008
0.027,2.16991e-08,0.0098
0.0285,3.61789e-08,0.007
0.03183,8.91811e-08,0.0048
0.03431,7.55257e-08,0.0051
0.04087,2.87857e-07,0.0026
0.04631,1.84538e-06,0.0007
0.05248,1.49727e-07,0.0035
0.05656,1.22089e-07,0.004
0.06738,3.8845e-07,0.0022
0.07202,2.25878e-07,0.0029
0.0795,5.91623e-07,0.0016
0.0825,2.55569e-07,0.0027
0.08652,5.47295e-07,0.0018
0.09804,4.76681e-06,0.0005
0.1111,1.33285e-06,0.0009
0.1168,2.89867e-08,0.0092
0.1228,4.68675e-08,0.0071
0.1291,6.41225e-08,0.0055
0.1357,8.08853e-08,0.0048
0.1426,9.19124e-08,0.0046
0.15,1.51464e-07,0.0032
0.1576,1.1228e-07,0.0042
0.1657,1.39763e-07,0.0038
0.1742,1.6695e-07,0.0037
0.1832,2.04462e-07,0.0031
0.1925,2.64184e-07,0.0025
0.2024,2.97368e-07,0.0025
0.2128,4.37699e-07,0.0021
0.2237,1.26019e-06,0.001
0.2352,1.87531e-06,0.0007
0.2472,4.05687e-07,0.0018
0.2732,8.24773e-07,0.0015
0.2872,1.49771e-06,0.0008
0.2945,5.76685e-08,0.0057
0.2972,4.03524e-08,0.0068
0.2985,1.70001e-08,0.0104
0.302,5.52149e-08,0.006
0.3337,1.40814e-06,0.001
0.3688,1.47782e-06,0.0009
0.3877,8.88816e-07,0.0012
0.4076,3.26304e-07,0.0021
0.4505,7.57943e-07,0.0014
0.4979,1.10879e-06,0.001
0.5234,1.49e-07,0.0034
0.5502,1.54021e-07,0.0034
0.5784,1.94001e-07,0.0029
0.6081,2.25997e-07,0.0026
0.6393,1.85456e-07,0.003
0.6721,2.23097e-07,0.0025
0.7065,1.61658e-07,0.0038
0.7427,3.39027e-07,0.0019
0.7808,1.70186e-07,0.0028
0.8209,1.47452e-07,0.0031
0.8629,9.52317e-08,0.004
0.9072,9.30622e-08,0.0037
0.9617,7.54771e-08,0.0044
1.003,4.57999e-08,0.0057
1.108,8.90444e-08,0.0039
1.165,2.61366e-08,0.0072
1.225,1.45376e-08,0.0099
1.287,7.70063e-09,0.0146
1.353,5.00653e-09,0.0174
1.423,6.48863e-09,0.0163
1.496,4.49789e-09,0.0214
1.572,5.20848e-09,0.0159
1.653,5.28142e-09,0.0184
1.738,4.05765e-09,0.0186
1.827,3.90562e-09,0.019
1.921,4.60157e-09,0.0176
2.019,4.23086e-09,0.0184
2.122,3.10809e-09,0.0208
2.231,2.54747e-09,0.0231
2.307,1.59939e-09,0.032
2.346,7.61203e-10,0.0614
2.365,2.74303e-10,0.0689
2.385,4.12242e-10,0.058
2.466,1.21101e-09,0.0313
2.592,1.75112e-09,0.0248
2.725,1.76646e-09,0.0248
2.865,1.61322e-09,0.0284
3.012,1.4297e-09,0.0309
3.166,1.42071e-09,0.0307
3.329,1.23386e-09,0.033
3.679,1.94075e-09,0.026
4.066,1.64682e-09,0.0273
4.493,1.48574e-09,0.0279
4.724,6.70039e-10,0.042
4.966,7.05708e-10,0.0539
5.22,6.34934e-10,0.0657
5.488,6.05492e-10,0.0601
5.77,5.69051e-10,0.0444
6.065,5.18409e-10,0.0437
6.376,5.45113e-10,0.044
6.592,3.87483e-10,0.0534
6.703,1.61986e-10,0.076
7.047,5.49291e-10,0.0416
7.408,6.17122e-10,0.0424
7.788,5.98818e-10,0.0432
8.187,6.19213e-10,0.0394
8.607,6.68096e-10,0.0405
9.048,6.86439e-10,0.0374
9.512,7.4644e-10,0.0342
10.0,1.02965e-09,0.0395
10.51,1.40452e-09,0.0264
11.05,1.61797e-09,0.0233
11.62,1.76347e-09,0.0217
12.21,1.9046e-09,0.0204
12.52,1.02676e-09,0.0306
12.84,9.52795e-10,0.0271
13.5,2.00371e-09,0.0185
13.84,9.53746e-10,0.0259
14.19,1.54677e-10,0.0636
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
