Energy,Value,Error
0.01,0.0,0.0
0.02,2.2478799999999998e-08,0.2058
0.05,4.535966666666666e-12,1.0
0.1,2.0898799999999997e-08,0.0247
0.2,9.27874e-07,0.0034
0.3,1.9667900000000005e-06,0.0031
0.4,1.9655799999999993e-06,0.002
0.6,1.7633800000000004e-06,0.0015
0.8,2.1618449999999995e-06,0.0013
1.0,4.6416100000000013e-07,0.0028
1.22,5.418863636363637e-07,0.0024
1.44,3.159909090909091e-07,0.0031
1.66,2.441909090909091e-07,0.0035
2.0,3.65135294117647e-07,0.0024
2.5,1.525474e-07,0.003
3.0,1.082644e-07,0.0037
4.0,7.58393e-08,0.0032
5.0,4.34931e-08,0.0046
6.5,1.7329e-08,0.0055
8.0,5.052413333333333e-09,0.0096
10.0,8.68845e-10,0.0199
12.0,1.488395e-11,0.1675
14.0,7.39705e-12,0.1746
20.0,3.810333333333334e-12,0.1251
