Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,4.194569948887004e-11,0.0572
1.445e-06,1.0252978390544059e-10,0.0365
1.855e-06,1.3125793552020432e-10,0.0323
2.382e-06,1.7611470889741127e-10,0.028
3.059e-06,2.2258059354969085e-10,0.0249
3.928e-06,2.665696694100776e-10,0.0227
5.043e-06,3.5379170662954164e-10,0.0197
6.476e-06,4.688649043168451e-10,0.0171
8.315e-06,5.882226406322158e-10,0.0153
1.068e-05,7.513671326832748e-10,0.0135
1.371e-05,9.4470665481664e-10,0.0121
1.76e-05,1.228137141896703e-09,0.0106
2.26e-05,1.6058443805489268e-09,0.0092
2.902e-05,2.027773344406776e-09,0.0082
3.727e-05,2.631742119461923e-09,0.0072
4.785e-05,3.3721381943518323e-09,0.0064
6.144e-05,4.310252911132427e-09,0.0056
7.889e-05,5.532026305110643e-09,0.005
0.0001013,7.1537662022956725e-09,0.0044
0.0001301,8.850438730287977e-09,0.0039
0.000167,1.176520876868289e-08,0.0034
0.0002145,1.5115338688980843e-08,0.003
0.0002754,1.9424256062721077e-08,0.0027
0.0003536,2.490404319304764e-08,0.0023
0.000454,3.1823040053542725e-08,0.0021
0.0005829,4.1059794195916205e-08,0.0018
0.0007485,5.2753476318913704e-08,0.0016
0.0009611,6.745684160118935e-08,0.0014
0.001234,8.781066744271106e-08,0.0013
0.001585,1.1198669734563932e-07,0.0011
0.002035,1.4354406537624036e-07,0.001
0.002249,1.7065931495309568e-07,0.0014
0.002485,1.8960087532516044e-07,0.0013
0.002613,2.016731186025258e-07,0.0018
0.002747,2.1410337839520343e-07,0.0018
0.003035,2.3061820211860978e-07,0.0012
0.003355,2.547527122698827e-07,0.0012
0.003707,2.812496292438662e-07,0.0011
0.004307,3.1905626281150605e-07,0.0008
0.005531,3.903420672884069e-07,0.0006
0.007102,5.013363512703766e-07,0.0005
0.009119,6.439459481056273e-07,0.0005
0.01059,7.841055943833733e-07,0.0005
0.01171,8.887050421910001e-07,0.0006
0.01503,1.0616412821558034e-06,0.0004
0.0193,1.3629018463569287e-06,0.0003
0.02187,1.6421149255410613e-06,0.0004
0.02358,1.8127716811410406e-06,0.0005
0.02418,1.904361645665757e-06,0.0008
0.02479,1.9570048893652405e-06,0.0008
0.02606,2.026891828279456e-06,0.0006
0.027,2.1148349820214135e-06,0.0007
0.0285,2.2123200932051496e-06,0.0005
0.03183,2.404901403543161e-06,0.0004
0.03431,2.6357228399287724e-06,0.0004
0.04087,2.9905045300168993e-06,0.0003
0.04631,3.474178630747953e-06,0.0003
0.05248,3.935303243908759e-06,0.0003
0.05656,4.3467147703012805e-06,0.0003
0.06738,4.930035151841531e-06,0.0002
0.07202,5.560906237564396e-06,0.0003
0.0795,6.039104297728723e-06,0.0002
0.0825,6.459740423192324e-06,0.0004
0.08652,6.738821829171955e-06,0.0003
0.09804,7.347490493735114e-06,0.0002
0.1111,2.028233338393976e-06,0.0004
0.1168,1.009490380245482e-06,0.0008
0.1228,1.062403842643716e-06,0.0008
0.1291,1.1162499512639592e-06,0.0008
0.1357,1.175041295006434e-06,0.0008
0.1426,1.2357012064066133e-06,0.0008
0.15,1.2993294968712842e-06,0.0007
0.1576,1.3649460647777114e-06,0.0007
0.1657,1.4349341173166387e-06,0.0007
0.1742,1.5069383118422069e-06,0.0007
0.1832,1.5833046007907443e-06,0.0007
0.1925,1.6668564476951885e-06,0.0006
0.2024,1.7546416660914188e-06,0.0006
0.2128,1.8408492077578473e-06,0.0006
0.2237,1.934756374726618e-06,0.0006
0.2352,2.0372888885752407e-06,0.0006
0.2472,2.1389222502116244e-06,0.0006
0.2732,2.3083622160401874e-06,0.0004
0.2872,2.4880184657430458e-06,0.0005
0.2945,2.5790666170329995e-06,0.0007
0.2972,2.630077287792886e-06,0.0012
0.2985,2.6397716247688464e-06,0.0017
0.302,2.666790301419443e-06,0.0011
0.3337,2.819716087422282e-06,0.0003
0.3688,3.1165427136730477e-06,0.0003
0.3877,3.3594416258632753e-06,0.0005
0.4076,3.530175168197408e-06,0.0004
0.4505,3.807217343108204e-06,0.0003
0.4979,4.206467919541391e-06,0.0003
0.5234,4.530846579656287e-06,0.0004
0.5502,4.7615682927066246e-06,0.0004
0.5784,4.998357233069888e-06,0.0004
0.6081,5.255416534580683e-06,0.0004
0.6393,5.525808778224011e-06,0.0004
0.6721,5.8115681934154355e-06,0.0003
0.7065,6.107232437223401e-06,0.0003
0.7427,6.419981344925215e-06,0.0003
0.7808,6.750276394438804e-06,0.0003
0.8209,7.092231257538332e-06,0.0003
0.8629,7.454239676629431e-06,0.0003
0.9072,7.837628482990886e-06,0.0003
0.9617,8.270006050421385e-06,0.0003
1.003,8.113277285268799e-06,0.0003
1.108,9.471512424343506e-07,0.0006
1.165,1.0198367637146485e-06,0.0008
1.225,1.071570298965694e-06,0.0008
1.287,1.1278351440187171e-06,0.0008
1.353,1.1820296514353042e-06,0.0008
1.423,1.243239644704156e-06,0.0007
1.496,1.3054524230171276e-06,0.0007
1.572,1.3708894208751812e-06,0.0007
1.653,1.440545353064637e-06,0.0007
1.738,1.5150147552080308e-06,0.0007
1.827,1.5907669489205995e-06,0.0007
1.921,1.6733981516279537e-06,0.0006
2.019,1.7541985064093352e-06,0.0006
2.122,1.844816847006438e-06,0.0006
2.231,1.9375285318722673e-06,0.0006
2.307,2.0179673823002825e-06,0.0007
2.346,2.066832093925326e-06,0.001
2.365,2.094400065098751e-06,0.0014
2.385,2.11122002359017e-06,0.0014
2.466,2.155116944165091e-06,0.0007
2.592,2.245307449452367e-06,0.0006
2.725,2.359656003598186e-06,0.0005
2.865,2.479464935540593e-06,0.0005
3.012,2.6068251832703638e-06,0.0005
3.166,2.7360062857768084e-06,0.0005
3.329,2.8759239137542313e-06,0.0005
3.679,3.097219595139661e-06,0.0003
4.066,3.423688432165317e-06,0.0003
4.493,3.7796669542483054e-06,0.0003
4.724,4.073360074458998e-06,0.0004
4.966,4.279727458290789e-06,0.0004
5.22,4.500135986211871e-06,0.0004
5.488,4.729291127790527e-06,0.0004
5.77,4.974136952868875e-06,0.0004
6.065,5.2227866455450385e-06,0.0004
6.376,5.494096855386237e-06,0.0004
6.592,5.721150551361132e-06,0.0004
6.703,5.868216757215926e-06,0.0006
7.047,6.0712764390306876e-06,0.0003
7.408,6.37669227211276e-06,0.0003
7.788,6.704096984774933e-06,0.0003
8.187,7.049173949344958e-06,0.0003
8.607,7.409546896950992e-06,0.0003
9.048,7.788578219368757e-06,0.0003
9.512,8.190213065465168e-06,0.0003
10.0,8.614350541562976e-06,0.0003
10.51,2.0360623396009406e-05,0.0002
11.05,2.140081029080358e-05,0.0002
11.62,2.2495829244269067e-05,0.0002
12.21,2.3656133094688054e-05,0.0002
12.52,2.4548025539121175e-05,0.0002
12.84,2.5179003776848413e-05,0.0002
13.5,2.6140169958140847e-05,0.0002
13.84,2.7137249851043125e-05,0.0002
14.19,1.2716550034831771e-05,0.0003
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
