Energy,Value,Error
0.01,5.61581e-12,0.7598
0.02,1.93226e-09,0.0649
0.05,3.66976e-11,0.322
0.1,3.34643e-09,0.0378
0.2,3.36864e-07,0.0038
0.3,9.94958e-07,0.0021
0.4,1.0506e-06,0.0019
0.6,2.21028e-06,0.0012
0.8,2.24641e-06,0.0012
1.0,9.4454e-07,0.0017
1.22,7.08021e-07,0.0019
1.44,5.56831e-07,0.0021
1.66,5.22643e-07,0.0022
2.0,6.27383e-07,0.0019
2.5,7.661e-07,0.0018
3.0,5.85685e-07,0.002
4.0,8.20659e-07,0.0017
5.0,4.42584e-07,0.0024
6.5,2.91022e-07,0.0029
8.0,8.00674e-08,0.0053
10.0,1.01498e-08,0.0167
12.0,1.05168e-09,0.0478
14.0,2.3208e-10,0.1074
20.0,3.09376e-10,0.1001
