Energy,Value,Error
0.01,1.53767e-12,0.7071
0.02,1.56819e-09,0.0365
0.05,0.0,0.0
0.1,1.71359e-09,0.043
0.2,2.2172e-07,0.0041
0.3,7.04292e-07,0.0021
0.4,7.01546e-07,0.0019
0.6,1.43224e-06,0.0013
0.8,6.83433e-07,0.0017
1.0,6.00933e-07,0.0018
1.22,5.27256e-07,0.0018
1.44,4.9189e-07,0.0018
1.66,5.06742e-07,0.0018
2.0,6.75362e-07,0.0016
2.5,7.03042e-07,0.0015
3.0,5.40363e-07,0.0017
4.0,7.14256e-07,0.0015
5.0,3.99595e-07,0.0021
6.5,3.01269e-07,0.0023
8.0,1.34733e-07,0.0034
10.0,4.10322e-08,0.0063
12.0,1.60276e-10,0.1016
14.0,2.79179e-11,0.2434
20.0,1.15267e-10,0.1208
