Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,2.47732e-13,1.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,5.77902e-13,0.5986
1.125e-06,2.04195e-12,0.3516
1.445e-06,5.15803e-12,0.2333
1.855e-06,1.37969e-11,0.1662
2.382e-06,1.7078e-11,0.1388
3.059e-06,3.9048e-11,0.1134
3.928e-06,5.98211e-11,0.0757
5.043e-06,8.84446e-11,0.067
6.476e-06,1.4417e-10,0.0547
8.315e-06,2.10181e-10,0.0382
1.068e-05,3.00569e-10,0.042
1.371e-05,4.1784e-10,0.0289
1.76e-05,5.99665e-10,0.0266
2.26e-05,7.43104e-10,0.0264
2.902e-05,9.48045e-10,0.0238
3.727e-05,1.26084e-09,0.0248
4.785e-05,1.54587e-09,0.0216
6.144e-05,2.00586e-09,0.0204
7.889e-05,2.47237e-09,0.018
0.0001013,3.1452e-09,0.0169
0.0001301,3.96265e-09,0.0155
0.000167,4.83315e-09,0.013
0.0002145,6.12319e-09,0.0123
0.0002754,7.44906e-09,0.0159
0.0003536,8.54985e-09,0.0096
0.000454,1.04079e-08,0.0121
0.0005829,1.52583e-08,0.0071
0.0007485,2.14071e-08,0.0055
0.0009611,2.65276e-07,0.0011
0.001234,3.68262e-07,0.0012
0.001585,1.08107e-06,0.0007
0.002035,1.51073e-07,0.0019
0.002249,2.54995e-08,0.0054
0.002485,1.02246e-07,0.0026
0.002613,9.29639e-08,0.0026
0.002747,1.66862e-07,0.002
0.003035,3.21209e-07,0.0012
0.003355,2.01603e-07,0.0018
0.003707,2.10382e-07,0.0017
0.004307,2.90404e-07,0.0014
0.005531,3.85543e-07,0.0012
0.007102,8.79492e-08,0.0028
0.009119,9.93038e-09,0.0102
0.01059,5.79424e-09,0.0117
0.01171,1.83789e-08,0.0089
0.01503,1.34125e-07,0.0024
0.0193,7.34773e-07,0.0009
0.02187,8.01833e-07,0.0009
0.02358,5.41283e-07,0.0011
0.02418,1.91173e-07,0.0018
0.02479,1.93644e-07,0.0018
0.02606,4.04651e-07,0.0013
0.027,2.99459e-07,0.0015
0.0285,4.76441e-07,0.0012
0.03183,1.04742e-06,0.0008
0.03431,7.66825e-07,0.0009
0.04087,1.95874e-06,0.0006
0.04631,1.5334e-06,0.0007
0.05248,1.62944e-06,0.0007
0.05656,1.01026e-06,0.0009
0.06738,2.43127e-06,0.0006
0.07202,9.47e-07,0.0009
0.0795,1.42472e-06,0.0008
0.0825,5.40618e-07,0.0012
0.08652,6.98073e-07,0.0011
0.09804,1.84826e-06,0.0007
0.1111,1.86362e-06,0.0007
0.1168,7.46312e-07,0.0011
0.1228,7.41905e-07,0.0011
0.1291,7.34874e-07,0.0011
0.1357,7.21614e-07,0.0011
0.1426,7.04378e-07,0.0012
0.15,6.97364e-07,0.0011
0.1576,6.58758e-07,0.0012
0.1657,6.39316e-07,0.0012
0.1742,6.06487e-07,0.0014
0.1832,5.72618e-07,0.0013
0.1925,5.18693e-07,0.0014
0.2024,4.55827e-07,0.0015
0.2128,3.3662e-07,0.0017
0.2237,3.12296e-07,0.0018
0.2352,2.93117e-07,0.0019
0.2472,2.73174e-07,0.002
0.2732,5.06018e-07,0.0015
0.2872,2.3619e-07,0.0021
0.2945,1.15414e-07,0.003
0.2972,4.13897e-08,0.005
0.2985,1.9807e-08,0.0072
0.302,5.26134e-08,0.0047
