Energy,Value,Error
0.01,0.0,0.0
0.02,2.05471e-10,0.1046
0.05,7.16561e-12,0.4144
0.1,1.0491e-10,0.1082
0.2,1.8161e-08,0.0111
0.3,6.00812e-08,0.0064
0.4,6.83605e-08,0.0052
0.6,1.4002e-07,0.0036
0.8,8.35175e-08,0.0041
1.0,1.17343e-07,0.0037
1.22,5.73511e-08,0.0051
1.44,5.3943e-08,0.0051
1.66,4.67144e-08,0.0052
2.0,5.9204e-08,0.0049
2.5,7.1862e-08,0.0044
3.0,5.371e-08,0.005
4.0,6.49871e-08,0.0054
5.0,3.05931e-08,0.0064
6.5,5.96767e-09,0.0155
8.0,3.6195e-10,0.0527
10.0,2.0143e-11,0.2046
12.0,1.98854e-12,0.7081
14.0,1.89603e-12,0.7126
20.0,1.18992e-11,0.2644
