Energy,Value,Error
1e-07,2.87489e-12,0.3277
4.14e-07,9.10075e-11,0.078
5.316e-07,5.44118e-11,0.1368
6.826e-07,7.27329e-11,0.0825
8.764e-07,9.55763e-11,0.0683
1.125e-06,1.23208e-10,0.0758
1.445e-06,1.70782e-10,0.0583
1.855e-06,2.03474e-10,0.0545
2.382e-06,2.3836e-10,0.0521
3.059e-06,2.92625e-10,0.0501
3.928e-06,3.65849e-10,0.0501
5.043e-06,4.28111e-10,0.0488
6.476e-06,4.85501e-10,0.0467
8.315e-06,5.27244e-10,0.0419
1.068e-05,5.64493e-10,0.0499
1.371e-05,6.31833e-10,0.0478
1.76e-05,5.54743e-10,0.0419
2.26e-05,5.72049e-10,0.0409
2.902e-05,4.61125e-10,0.0451
3.727e-05,4.67482e-10,0.0533
4.785e-05,3.10756e-10,0.0632
6.144e-05,2.23096e-10,0.0698
7.889e-05,1.18725e-10,0.1013
0.0001013,5.19664e-11,0.1097
0.0001301,7.38116e-10,0.0303
0.000167,5.49613e-09,0.0135
0.0002145,1.53033e-08,0.0084
0.0002754,1.91712e-08,0.0078
0.0003536,2.13958e-08,0.0077
0.000454,2.46945e-08,0.0067
0.0005829,3.16937e-08,0.0059
0.0007485,3.26248e-08,0.0054
0.0009611,3.50198e-08,0.0054
0.001234,3.99335e-08,0.0047
0.001585,4.80227e-08,0.0042
0.002035,6.73447e-08,0.0035
0.002249,4.67534e-08,0.0041
0.002485,2.04509e-07,0.0016
0.002613,1.79654e-08,0.007
0.002747,2.53686e-08,0.0058
0.003035,8.31429e-08,0.0032
0.003355,7.51348e-07,0.0008
0.003707,4.31476e-07,0.0011
0.004307,8.04242e-08,0.0052
0.005531,4.2059e-07,0.0013
0.007102,2.76842e-07,0.0018
0.009119,4.56442e-07,0.0013
0.01059,9.44845e-07,0.0008
0.01171,1.44885e-07,0.0025
0.01503,4.33919e-07,0.0015
0.0193,5.81873e-07,0.0013
0.02187,7.93463e-07,0.001
0.02358,5.08538e-07,0.0012
0.02418,1.75763e-07,0.0022
0.02479,1.78852e-07,0.0021
0.02606,3.63911e-07,0.0015
0.027,2.57373e-07,0.0017
0.0285,3.96814e-07,0.0014
0.03183,8.51109e-07,0.001
0.03431,6.05831e-07,0.0012
0.04087,1.47966e-06,0.0007
0.04631,1.06606e-06,0.0009
0.05248,1.09909e-06,0.0009
0.05656,6.70971e-07,0.0011
0.06738,1.56798e-06,0.0007
0.07202,5.90594e-07,0.0012
0.0795,8.63808e-07,0.001
0.0825,3.21896e-07,0.0017
0.08652,4.02568e-07,0.0015
0.09804,1.04429e-06,0.001
0.1111,1.03581e-06,0.001
0.1168,4.01223e-07,0.0016
0.1228,3.98889e-07,0.0016
0.1291,3.93567e-07,0.0016
0.1357,3.83179e-07,0.0016
0.1426,3.74383e-07,0.0017
0.15,3.78298e-07,0.0016
0.1576,3.62753e-07,0.0017
0.1657,3.59158e-07,0.0017
0.1742,3.50825e-07,0.0019
0.1832,3.38195e-07,0.0018
0.1925,3.2342e-07,0.0019
0.2024,3.21371e-07,0.0019
0.2128,3.10539e-07,0.0019
0.2237,2.97792e-07,0.0021
0.2352,2.88204e-07,0.002
0.2472,2.76907e-07,0.0021
0.2732,5.24246e-07,0.0015
0.2872,2.4488e-07,0.0023
0.2945,1.18541e-07,0.0032
0.2972,4.24015e-08,0.0054
0.2985,2.04647e-08,0.0081
0.302,5.41517e-08,0.0051
0.3337,4.33879e-07,0.0018
0.3688,3.93509e-07,0.0018
0.3877,1.81646e-07,0.0026
0.4076,1.70971e-07,0.0027
0.4505,3.07003e-07,0.0021
0.4979,2.61078e-07,0.0022
0.5234,1.13451e-07,0.0037
0.5502,9.85972e-08,0.0036
0.5784,8.51996e-08,0.0043
0.6081,7.35385e-08,0.0045
