Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,1.02695e-12,0.5821
1.371e-05,1.42986e-10,0.0617
1.76e-05,2.74284e-10,0.0575
2.26e-05,3.34505e-10,0.0513
2.902e-05,3.78969e-10,0.0453
3.727e-05,5.09679e-10,0.0569
4.785e-05,5.15358e-10,0.0386
6.144e-05,5.439e-10,0.0388
7.889e-05,5.97793e-10,0.0348
0.0001013,5.76395e-10,0.0394
0.0001301,5.56016e-10,0.0468
0.000167,6.04746e-10,0.0392
0.0002145,5.69667e-10,0.0382
0.0002754,1.59184e-09,0.0427
0.0003536,2.10033e-09,0.0197
0.000454,3.01322e-09,0.016
0.0005829,3.30133e-09,0.0173
0.0007485,4.66152e-09,0.0139
0.0009611,3.19202e-08,0.0044
0.001234,1.13356e-08,0.0087
0.001585,1.95821e-08,0.0073
0.002035,3.688e-08,0.0048
0.002249,1.40964e-08,0.0087
0.002485,1.9308e-08,0.0073
0.002613,4.90497e-08,0.0037
0.002747,6.07981e-09,0.0134
0.003035,3.69805e-08,0.0051
0.003355,2.41874e-07,0.0015
0.003707,1.99345e-08,0.0112
0.004307,1.77393e-07,0.002
0.005531,4.24141e-07,0.0012
0.007102,2.17854e-07,0.002
0.009119,4.96108e-07,0.0012
0.01059,3.64233e-07,0.0014
0.01171,4.38308e-07,0.0011
0.01503,5.6874e-07,0.0011
0.0193,6.53813e-07,0.001
0.02187,4.28443e-07,0.0012
0.02358,2.82819e-07,0.0015
0.02418,1.00725e-07,0.0025
0.02479,1.01696e-07,0.0024
0.02606,2.10217e-07,0.0017
0.027,1.54802e-07,0.002
0.0285,2.4524e-07,0.0016
0.03183,5.11432e-07,0.0011
0.03431,3.67634e-07,0.0014
0.04087,8.96527e-07,0.0009
0.04631,6.74919e-07,0.001
0.05248,6.78139e-07,0.001
0.05656,4.21481e-07,0.0013
0.06738,9.73769e-07,0.0009
0.07202,3.55454e-07,0.0014
0.0795,5.32462e-07,0.0012
0.0825,1.94895e-07,0.002
0.08652,2.50495e-07,0.0017
0.09804,6.0538e-07,0.0011
0.1111,5.72511e-07,0.0012
0.1168,2.21736e-07,0.0019
0.1228,2.17251e-07,0.002
0.1291,2.14374e-07,0.002
0.1357,2.0786e-07,0.0022
0.1426,1.91889e-07,0.0022
0.15,1.84016e-07,0.0022
0.1576,1.67589e-07,0.0023
0.1657,1.6421e-07,0.0025
0.1742,1.51778e-07,0.0025
0.1832,1.45669e-07,0.0026
0.1925,1.38136e-07,0.0028
0.2024,1.37917e-07,0.0026
0.2128,1.26063e-07,0.003
0.2237,1.14185e-07,0.0031
0.2352,1.02333e-07,0.0032
0.2472,9.28952e-08,0.0035
0.2732,1.64187e-07,0.0027
0.2872,7.01559e-08,0.0042
0.2945,3.25938e-08,0.0069
0.2972,1.17907e-08,0.0221
0.2985,5.44339e-09,0.0143
0.302,1.42152e-08,0.0089
0.3337,1.03057e-07,0.0036
0.3688,7.99967e-08,0.004
0.3877,3.1352e-08,0.0063
0.4076,2.63248e-08,0.0073
0.4505,4.02963e-08,0.006
0.4979,2.5392e-08,0.0073
0.5234,8.16835e-09,0.0142
0.5502,4.54098e-09,0.018
0.5784,3.1003e-09,0.032
0.6081,2.53227e-09,0.0282
0.6393,2.09231e-09,0.0279
0.6721,1.77687e-09,0.0304
0.7065,1.65149e-09,0.0347
0.7427,1.52381e-09,0.0328
0.7808,1.41838e-09,0.0362
0.8209,1.34228e-09,0.034
0.8629,1.22201e-09,0.0334
0.9072,1.2348e-09,0.038
0.9617,1.41109e-09,0.0357
1.003,9.9024e-10,0.0504
1.108,2.2666e-09,0.0381
1.165,1.01328e-09,0.0481
1.225,9.68118e-10,0.0401
1.287,9.79913e-10,0.0435
1.353,8.32194e-10,0.0432
1.423,7.93678e-10,0.0502
1.496,6.89518e-10,0.0458
1.572,5.80421e-10,0.0505
1.653,5.71805e-10,0.0583
1.738,5.75391e-10,0.0527
1.827,5.43624e-10,0.0605
1.921,5.17348e-10,0.0502
2.019,4.31195e-10,0.0535
2.122,4.52178e-10,0.0589
2.231,4.62514e-10,0.0846
2.307,3.06092e-10,0.0757
2.346,1.47883e-10,0.1033
2.365,5.38238e-11,0.1635
2.385,6.72481e-11,0.1851
2.466,2.39848e-10,0.0851
2.592,3.2925e-10,0.0608
2.725,3.14217e-10,0.0651
2.865,3.13805e-10,0.0615
3.012,2.75949e-10,0.0762
3.166,2.50362e-10,0.0687
3.329,2.60814e-10,0.0873
3.679,5.35198e-10,0.056
4.066,4.7293e-10,0.0598
4.493,3.90838e-10,0.0572
4.724,1.997e-10,0.0733
4.966,1.9388e-10,0.089
5.22,2.41581e-10,0.1038
5.488,2.05337e-10,0.0769
5.77,2.10887e-10,0.0773
6.065,2.43287e-10,0.0678
6.376,2.4156e-10,0.0866
6.592,1.35001e-10,0.0864
6.703,7.50143e-11,0.1161
7.047,2.20528e-10,0.0683
7.408,2.68628e-10,0.0625
7.788,2.46215e-10,0.0698
8.187,2.6641e-10,0.0649
8.607,3.10723e-10,0.0611
9.048,3.62996e-10,0.0679
9.512,3.6834e-10,0.0516
10.0,5.40314e-10,0.0439
10.51,7.98987e-10,0.0344
11.05,9.58615e-10,0.0326
11.62,9.98313e-10,0.0311
12.21,1.10698e-09,0.0284
12.52,6.22707e-10,0.0371
12.84,6.20501e-10,0.0378
13.5,1.25131e-09,0.0261
13.84,5.68694e-10,0.0374
14.19,1.09565e-10,0.0834
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
