Energy,Value,Error
0.01,2.7196200271962e-11,1.0
0.02,0.0,0.0
0.05,2.7303333333333333e-09,0.0809
0.1,1.912086e-10,0.1964
0.2,2.6430199999999997e-08,0.0228
0.3,1.1285900000000003e-07,0.0088
0.4,1.5865099999999993e-07,0.0063
0.6,2.1280650000000007e-07,0.0049
0.8,1.0242849999999996e-07,0.0052
1.0,7.913400000000001e-08,0.0062
1.22,6.606545454545455e-08,0.0056
1.44,5.790863636363637e-08,0.0074
1.66,5.550000000000001e-08,0.0064
2.0,4.828441176470588e-08,0.0057
2.5,3.89702e-08,0.0052
3.0,2.88328e-08,0.0059
4.0,1.7948e-08,0.0057
5.0,8.45929e-09,0.0077
6.5,3.0700866666666664e-09,0.0108
8.0,5.754506666666667e-10,0.0254
10.0,8.347e-12,0.2717
12.0,1.049145e-13,1.0
14.0,2.16325e-13,0.7153
20.0,3.729233333333334e-13,0.5831
