Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,0.0,0.0
0.0001013,0.0,0.0
0.0001301,0.0,0.0
0.000167,0.0,0.0
0.0002145,0.0,0.0
0.0002754,0.0,0.0
0.0003536,0.0,0.0
0.000454,0.0,0.0
0.0005829,0.0,0.0
0.0007485,3.71255e-11,0.0964
0.0009611,5.08571e-11,0.0989
0.001234,6.90111e-11,0.0743
0.001585,7.52871e-11,0.0731
0.002035,1.09234e-10,0.0581
0.002249,6.07824e-11,0.1074
0.002485,6.06436e-11,0.0853
0.002613,2.77346e-11,0.1062
0.002747,2.3517e-11,0.1164
0.003035,5.839e-11,0.0768
0.003355,7.65946e-11,0.0727
0.003707,9.02482e-11,0.0816
0.004307,1.47973e-10,0.053
0.005531,3.2855e-10,0.0345
0.007102,5.45543e-10,0.0302
0.009119,8.17018e-10,0.0226
0.01059,7.49861e-10,0.0254
0.01171,6.5061e-10,0.0289
0.01503,2.2752e-09,0.0131
0.0193,4.21753e-09,0.0109
0.02187,3.33732e-09,0.0117
0.02358,2.53502e-09,0.0141
0.02418,9.6471e-10,0.0214
0.02479,9.87212e-10,0.0255
0.02606,2.26055e-09,0.014
0.027,1.81145e-09,0.0166
0.0285,3.08831e-09,0.0137
0.03183,7.60997e-09,0.0077
0.03431,6.56939e-09,0.0083
0.04087,2.06694e-08,0.0048
0.04631,2.12706e-08,0.0049
0.05248,2.83937e-08,0.0041
0.05656,2.11725e-08,0.005
0.06738,5.72685e-08,0.003
0.07202,2.63239e-08,0.0044
0.0795,4.53365e-08,0.0035
0.0825,1.90629e-08,0.0053
0.08652,2.63077e-08,0.0048
0.09804,7.79751e-08,0.0026
0.1111,9.1363e-08,0.0024
0.1168,4.01276e-08,0.0036
0.1228,4.21243e-08,0.0034
0.1291,4.41856e-08,0.0034
0.1357,4.54227e-08,0.0034
0.1426,4.72495e-08,0.0035
0.15,4.9307e-08,0.0034
0.1576,4.99221e-08,0.0034
0.1657,5.15251e-08,0.0033
0.1742,5.22354e-08,0.0035
0.1832,5.31976e-08,0.0032
0.1925,5.19592e-08,0.0034
0.2024,5.15765e-08,0.0034
0.2128,4.93754e-08,0.0036
0.2237,4.69671e-08,0.0036
0.2352,4.46861e-08,0.0041
0.2472,4.21085e-08,0.0041
0.2732,7.85486e-08,0.0029
0.2872,3.67566e-08,0.0044
0.2945,1.84254e-08,0.0063
0.2972,6.50695e-09,0.0106
0.2985,3.15887e-09,0.0157
0.302,8.40095e-09,0.0094
0.3337,7.06699e-08,0.0035
0.3688,6.65922e-08,0.0038
0.3877,3.12344e-08,0.0224
0.4076,2.93446e-08,0.0053
0.4505,5.50759e-08,0.004
0.4979,4.95258e-08,0.0042
0.5234,2.33016e-08,0.0062
0.5502,2.25704e-08,0.0061
0.5784,2.27803e-08,0.0067
0.6081,2.23885e-08,0.0066
0.6393,2.19142e-08,0.0064
0.6721,2.10553e-08,0.0065
0.7065,2.00053e-08,0.0074
0.7427,1.88789e-08,0.0071
0.7808,1.78337e-08,0.0072
0.8209,1.75048e-08,0.0076
0.8629,1.6231e-08,0.0077
0.9072,1.57444e-08,0.0081
0.9617,1.72757e-08,0.0077
1.003,1.20169e-08,0.01
1.108,2.75126e-08,0.0063
1.165,1.29884e-08,0.0088
1.225,1.22054e-08,0.0096
1.287,1.13142e-08,0.0109
1.353,1.09189e-08,0.0092
1.423,1.06791e-08,0.0103
1.496,1.04229e-08,0.0096
1.572,9.49633e-09,0.0098
1.653,9.06435e-09,0.0099
1.738,8.73872e-09,0.0104
1.827,8.0736e-09,0.0106
1.921,8.00921e-09,0.0111
2.019,7.50654e-09,0.0113
2.122,7.11293e-09,0.0111
2.231,6.95782e-09,0.0116
2.307,4.3849e-09,0.0153
2.346,2.18419e-09,0.0201
2.365,1.0531e-09,0.031
2.385,1.07674e-09,0.0281
2.466,4.08773e-09,0.0147
2.592,5.8677e-09,0.0117
2.725,5.4856e-09,0.0121
2.865,5.31259e-09,0.0127
3.012,5.04128e-09,0.013
3.166,4.63231e-09,0.015
3.329,4.27333e-09,0.0132
3.679,7.95698e-09,0.0099
4.066,6.91757e-09,0.0102
4.493,6.08149e-09,0.0111
4.724,2.77919e-09,0.0161
4.966,2.62046e-09,0.0164
5.22,2.53071e-09,0.0168
5.488,2.56315e-09,0.0163
5.77,2.45567e-09,0.0165
6.065,2.67464e-09,0.0167
6.376,2.65141e-09,0.0164
6.592,1.88339e-09,0.0186
6.703,9.50183e-10,0.0266
7.047,3.00586e-09,0.0144
7.408,3.22904e-09,0.0139
7.788,3.59262e-09,0.0141
8.187,3.7981e-09,0.0132
8.607,4.0138e-09,0.0125
9.048,4.32679e-09,0.0121
9.512,4.67514e-09,0.0113
10.0,5.93882e-09,0.0103
10.51,1.02559e-08,0.0076
11.05,1.1175e-08,0.0073
11.62,1.17255e-08,0.0068
12.21,1.2415e-08,0.0066
12.52,6.61958e-09,0.0088
12.84,6.92695e-09,0.0087
13.5,1.43876e-08,0.006
13.84,7.12678e-09,0.0083
14.19,1.91756e-09,0.0153
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
