Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,6.0571e-12,0.1614
5.316e-07,7.90107e-12,0.1614
6.826e-07,1.70269e-11,0.132
8.764e-07,3.15085e-11,0.0997
1.125e-06,4.62244e-11,0.0879
1.445e-06,7.70833e-11,0.0891
1.855e-06,8.32625e-11,0.0671
2.382e-06,1.03901e-10,0.0649
3.059e-06,1.39904e-10,0.0539
3.928e-06,1.97556e-10,0.0504
5.043e-06,2.47017e-10,0.0531
6.476e-06,3.04063e-10,0.0385
8.315e-06,4.08718e-10,0.034
1.068e-05,4.90103e-10,0.0325
1.371e-05,5.91396e-10,0.0291
1.76e-05,6.89172e-10,0.0338
2.26e-05,7.20526e-10,0.0262
2.902e-05,6.33775e-10,0.0278
3.727e-05,3.94474e-10,0.0347
4.785e-05,3.27777e-10,0.033
6.144e-05,2.78319e-09,0.014
7.889e-05,3.49816e-09,0.0124
0.0001013,4.23907e-09,0.0119
0.0001301,4.79312e-09,0.0112
0.000167,5.1329e-09,0.0113
0.0002145,4.61012e-09,0.0102
0.0002754,3.10704e-09,0.0119
0.0003536,5.67382e-09,0.0068
0.000454,7.19089e-09,0.0092
0.0005829,1.10356e-08,0.0065
0.0007485,1.75571e-08,0.0044
0.0009611,3.55645e-08,0.0033
0.001234,2.93059e-08,0.004
0.001585,4.70012e-08,0.003
0.002035,5.13076e-08,0.0032
0.002249,2.56545e-08,0.0044
0.002485,2.92492e-08,0.0041
0.002613,1.57432e-08,0.0055
0.002747,1.69954e-08,0.0055
0.003035,6.32912e-08,0.0024
0.003355,3.99891e-08,0.0035
0.003707,7.05158e-08,0.0024
0.004307,9.65157e-08,0.0022
0.005531,2.97807e-07,0.0011
0.007102,2.02139e-07,0.0016
0.009119,2.13763e-07,0.0016
0.01059,1.17561e-07,0.0021
0.01171,6.99098e-08,0.0027
0.01503,1.43006e-07,0.0019
0.0193,5.22705e-07,0.0009
0.02187,3.2512e-07,0.0011
0.02358,2.16343e-07,0.0013
0.02418,7.58861e-08,0.0023
0.02479,7.69483e-08,0.0023
0.02606,1.60736e-07,0.0016
0.027,1.19359e-07,0.0018
0.0285,1.91976e-07,0.0014
0.03183,4.33662e-07,0.0014
0.03431,3.26914e-07,0.0011
0.04087,8.65864e-07,0.0007
0.04631,7.23832e-07,0.0008
0.05248,8.27676e-07,0.0007
0.05656,5.43126e-07,0.0009
0.06738,1.39194e-06,0.0005
0.07202,5.56029e-07,0.0009
0.0795,8.01423e-07,0.0007
0.0825,2.81239e-07,0.0012
0.08652,3.36247e-07,0.0011
0.09804,7.0005e-07,0.0008
0.1111,5.53394e-07,0.0009
0.1168,2.58522e-07,0.0012
0.1228,2.88501e-07,0.0012
0.1291,3.2477e-07,0.0011
0.1357,3.70189e-07,0.001
0.1426,4.25914e-07,0.001
0.15,5.04774e-07,0.0009
0.1576,5.76625e-07,0.0008
0.1657,6.92436e-07,0.0008
0.1742,8.24779e-07,0.0007
0.1832,9.85931e-07,0.0006
0.1925,1.13038e-06,0.0006
0.2024,1.08918e-06,0.0006
0.2128,5.24813e-07,0.001
0.2237,5.45819e-07,0.001
0.2352,5.70756e-07,0.001
0.2472,5.91603e-07,0.001
0.2732,1.26645e-06,0.0006
0.2872,6.73088e-07,0.0009
0.2945,3.4964e-07,0.0012
0.2972,1.28722e-07,0.002
0.2985,6.19758e-08,0.0029
0.302,1.65389e-07,0.0017
