Energy,Value,Error
0.01,0.0,0.0
0.02,0.0,0.0
0.05,1.3148133333333333e-08,0.0489
0.1,8.96272e-10,0.1362
0.2,6.54596e-08,0.0255
0.3,2.996950000000001e-07,0.007
0.4,4.272209999999999e-07,0.0056
0.6,5.038550000000001e-07,0.0032
0.8,3.9199349999999984e-07,0.0042
1.0,3.793545000000001e-07,0.0034
1.22,8.405954545454547e-07,0.0023
1.44,1.6850909090909095e-07,0.005
1.66,1.3377772727272728e-07,0.0056
2.0,1.1372029411764702e-07,0.0058
2.5,7.94766e-08,0.0061
3.0,5.398e-08,0.006
4.0,2.77765e-08,0.0067
5.0,1.06292e-08,0.0093
6.5,1.9033266666666666e-09,0.0214
8.0,1.38034e-10,0.0851
10.0,1.32912e-11,0.1805
12.0,8.5142e-13,0.593
14.0,3.82574e-12,0.316
20.0,1.7595666666666667e-12,0.2418
