Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,3.457235218091334e-13,1.0
1.125e-06,6.078151906172308e-13,1.0
1.445e-06,6.751787946956094e-12,0.4596
1.855e-06,6.070654495326698e-12,0.3406
2.382e-06,1.3321667942611593e-11,0.2262
3.059e-06,1.4589506691644873e-11,0.2126
3.928e-06,3.406551266463148e-11,0.1711
5.043e-06,8.162499927495178e-11,0.3038
6.476e-06,1.027341285604876e-10,0.0926
8.315e-06,1.8199691955155383e-10,0.0698
1.068e-05,3.1535558830497353e-10,0.0547
1.371e-05,4.768357621491991e-10,0.0434
1.76e-05,7.365315672592185e-10,0.0366
2.26e-05,9.565928388595036e-10,0.0354
2.902e-05,1.2397527427115595e-09,0.0301
3.727e-05,1.2304585738903383e-09,0.0322
4.785e-05,9.925548803157823e-10,0.0393
6.144e-05,4.378935666426198e-10,0.0673
7.889e-05,3.791772280734846e-11,0.1578
0.0001013,1.6549406035297297e-09,0.0259
0.0001301,6.106340325213162e-09,0.019
0.000167,4.318667773511509e-09,0.0199
0.0002145,1.237620014877725e-09,0.039
0.0002754,3.5672030189348764e-11,0.2015
0.0003536,1.580432275686138e-08,0.0112
0.000454,1.947266479329795e-08,0.0109
0.0005829,8.674949872395359e-09,0.0158
0.0007485,7.631544002042726e-09,0.0163
0.0009611,8.936860546152932e-09,0.0129
0.001234,5.3254461929663784e-08,0.006
0.001585,8.958128831793428e-08,0.0043
0.002035,1.5446393487282306e-07,0.0031
0.002249,2.455409123781029e-07,0.0039
0.002485,2.701765122519838e-07,0.0039
0.002613,2.95717423314503e-07,0.0052
0.002747,3.1381459743115256e-07,0.005
0.003035,3.498625294675945e-07,0.0033
0.003355,3.902271051046489e-07,0.0031
0.003707,4.3146940156717256e-07,0.0031
0.004307,4.975900271412729e-07,0.0023
0.005531,6.394031194270246e-07,0.0016
0.007102,9.03583795505209e-07,0.0013
0.009119,1.252957620512974e-06,0.0012
0.01059,1.670203826095909e-06,0.0013
0.01171,1.977887503658716e-06,0.0015
0.01503,2.5849840042830825e-06,0.0008
0.0193,3.928821923558746e-06,0.0007
0.02187,5.394688541106081e-06,0.0008
0.02358,6.236701820796939e-06,0.001
0.02418,6.632639436401559e-06,0.0017
0.02479,6.822412415647044e-06,0.0016
0.02606,7.045883991495295e-06,0.0011
0.027,7.232337278621613e-06,0.0013
0.0285,4.809198510502141e-06,0.0014
0.03183,4.764112630507646e-06,0.001
0.03431,5.167403988807725e-06,0.0012
0.04087,5.7341289841388075e-06,0.0007
0.04631,6.418058450921931e-06,0.0008
0.05248,6.936880927654813e-06,0.0008
0.05656,7.303711749747445e-06,0.001
0.06738,7.490878849262798e-06,0.0007
0.07202,7.419001402828147e-06,0.0011
0.0795,7.274739265277206e-06,0.0009
0.0825,7.168274412696884e-06,0.0015
0.08652,7.183844908532116e-06,0.0013
0.09804,7.47269853623067e-06,0.0008
0.1111,8.4125292006837e-06,0.0008
0.1168,9.207438414081284e-06,0.0012
0.1228,9.69296782093649e-06,0.0011
0.1291,1.0205998810394583e-05,0.0012
0.1357,1.0733229966254939e-05,0.0011
0.1426,1.1273880750603844e-05,0.0011
0.15,1.186969360248326e-05,0.001
0.1576,1.2494394694020798e-05,0.001
0.1657,1.3125088699550038e-05,0.001
0.1742,1.3835263633350777e-05,0.001
0.1832,1.454600307193027e-05,0.0009
0.1925,1.5327912588730784e-05,0.0009
0.2024,1.609955099834064e-05,0.0009
0.2128,1.671602785996689e-05,0.0009
0.2237,1.7261867824536556e-05,0.0009
0.2352,1.7809012784011502e-05,0.0009
0.2472,1.8348539023243772e-05,0.0009
0.2732,1.9204870482471137e-05,0.0006
0.2872,1.9975383757873828e-05,0.0008
0.2945,2.0452892689470115e-05,0.0011
0.2972,2.0611945585075453e-05,0.0019
0.2985,2.0634648658049382e-05,0.0027
0.302,2.0769000955880456e-05,0.0017
0.3337,2.135092054997138e-05,0.0006
0.3688,2.2415186434316893e-05,0.0006
0.3877,2.3205910887855878e-05,0.0008
0.4076,2.3563336382535658e-05,0.0008
0.4505,2.3414294226460354e-05,0.0005
0.4979,2.2564308784886542e-05,0.0005
0.5234,2.1449649690672894e-05,0.0008
0.5502,2.0310054389956213e-05,0.0008
0.5784,1.898908397353709e-05,0.0008
0.6081,1.744441694896387e-05,0.0009
0.6393,1.5714561463732385e-05,0.001
0.6721,1.3915868913247667e-05,0.001
0.7065,1.2528371841695682e-05,0.0011
0.7427,1.1399329282502763e-05,0.0011
0.7808,1.0354001884062906e-05,0.0012
0.8209,9.343067989385692e-06,0.0012
0.8629,8.281254889766187e-06,0.0013
0.9072,7.152786771382295e-06,0.0014
0.9617,6.083944455511782e-06,0.0014
1.003,5.274489962329569e-06,0.0018
1.108,4.490097967395441e-06,0.0012
1.165,3.572805563121076e-06,0.002
1.225,3.0686528424333113e-06,0.0021
1.287,2.6783823823246807e-06,0.0022
1.353,2.333473677266512e-06,0.0024
1.423,2.070714713419821e-06,0.0025
1.496,1.8773511873332533e-06,0.0027
1.572,1.7191027761914274e-06,0.007
1.653,1.5647235370625034e-06,0.0029
1.738,1.4385118717134203e-06,0.003
1.827,1.3186657910445767e-06,0.0031
1.921,1.2158573393581673e-06,0.0032
2.019,1.076949702583049e-06,0.0034
2.122,9.768995765153394e-07,0.0035
2.231,8.955004233489624e-07,0.0037
2.307,8.266507644716351e-07,0.0046
2.346,7.789237856507532e-07,0.0067
2.365,7.525558543370575e-07,0.0096
2.385,7.34248285905813e-07,0.0115
2.466,7.074555850094744e-07,0.005
2.592,6.471194842765169e-07,0.0045
2.725,5.699314472637094e-07,0.0045
2.865,5.042562735733016e-07,0.0047
3.012,4.458413529414161e-07,0.0049
3.166,3.9266493202476345e-07,0.0052
3.329,3.502519969682801e-07,0.0056
3.679,2.986715358197325e-07,0.0042
4.066,2.453620214058885e-07,0.0047
4.493,2.0818555512527938e-07,0.0048
4.724,1.89134921015404e-07,0.0071
4.966,1.836261492597191e-07,0.0076
5.22,1.775757400933954e-07,0.0073
5.488,1.7964091879109514e-07,0.0072
5.77,1.870267112415389e-07,0.0071
6.065,1.9405359534917434e-07,0.0068
6.376,2.050657553077226e-07,0.0074
6.592,2.1175445810304815e-07,0.0079
6.703,2.1367443095180897e-07,0.0109
7.047,2.2474760491618595e-07,0.0066
7.408,2.3630812156717328e-07,0.0062
7.788,2.4763516490667714e-07,0.0058
8.187,2.5744422836855753e-07,0.0056
8.607,2.697713349284706e-07,0.0056
9.048,2.824012273362965e-07,0.0055
9.512,2.9429266602602737e-07,0.0054
10.0,3.4876822682475613e-07,0.0048
10.51,6.241755989204179e-07,0.0034
11.05,6.627056047122917e-07,0.0033
11.62,7.169208522333114e-07,0.0032
12.21,7.687521435098034e-07,0.0031
12.52,8.06777976822798e-07,0.0043
12.84,8.263157025935065e-07,0.0041
13.5,8.737802587087032e-07,0.0028
13.84,8.83949100581829e-07,0.0039
14.19,2.723021017597457e-07,0.0066
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
