Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,5.93883e-13,0.3948
1.125e-06,2.26276e-12,0.2072
1.445e-06,4.73292e-12,0.1641
1.855e-06,8.19329e-12,0.1308
2.382e-06,1.14055e-11,0.1143
3.059e-06,1.64112e-11,0.1037
3.928e-06,2.02395e-11,0.0767
5.043e-06,3.09206e-11,0.0649
6.476e-06,3.80477e-11,0.0638
8.315e-06,4.17923e-11,0.0616
1.068e-05,4.2749e-11,0.0542
1.371e-05,2.74564e-11,0.0671
1.76e-05,8.24358e-12,0.1173
2.26e-05,1.60601e-13,1.0
2.902e-05,5.09991e-11,0.0572
3.727e-05,2.51712e-10,0.0315
4.785e-05,1.37327e-10,0.0518
6.144e-05,3.91448e-10,0.0272
7.889e-05,2.16994e-10,0.0345
0.0001013,4.41016e-10,0.0228
0.0001301,9.55071e-10,0.0207
0.000167,1.50891e-09,0.0139
0.0002145,7.73572e-10,0.0165
0.0002754,1.46001e-09,0.0134
0.0003536,1.51057e-09,0.0113
0.000454,3.57247e-09,0.008
0.0005829,3.69826e-09,0.0086
0.0007485,5.05708e-09,0.007
0.0009611,4.61447e-09,0.0063
0.001234,7.82825e-09,0.0052
0.001585,1.15079e-08,0.0043
0.002035,1.1134e-08,0.0043
0.002249,3.4631e-09,0.0073
0.002485,4.11338e-09,0.0074
0.002613,2.83731e-09,0.0096
0.002747,3.05621e-09,0.0075
0.003035,6.62028e-09,0.0051
0.003355,7.31252e-09,0.0059
0.003707,8.06196e-09,0.0046
0.004307,1.38735e-08,0.0035
0.005531,2.90623e-08,0.0025
0.007102,3.94719e-08,0.0021
0.009119,5.61947e-08,0.0019
0.01059,4.53705e-08,0.0019
0.01171,3.7159e-08,0.0021
0.01503,1.25092e-07,0.0012
0.0193,1.96022e-07,0.0009
0.02187,1.37641e-07,0.0011
0.02358,9.96371e-08,0.0013
0.02418,3.6404e-08,0.0022
0.02479,3.78417e-08,0.0022
0.02606,8.11378e-08,0.0014
0.027,6.21635e-08,0.0017
0.0285,1.02697e-07,0.0013
0.03183,2.43258e-07,0.0009
0.03431,1.93358e-07,0.001
0.04087,5.54096e-07,0.0006
0.04631,4.93651e-07,0.0006
0.05248,5.79601e-07,0.0006
0.05656,3.86401e-07,0.0007
0.06738,9.96385e-07,0.0005
0.07202,4.02791e-07,0.0007
0.0795,6.07959e-07,0.0006
0.0825,2.29751e-07,0.001
0.08652,2.98255e-07,0.0009
0.09804,8.16387e-07,0.0005
0.1111,9.22301e-07,0.0005
0.1168,4.06072e-07,0.0008
0.1228,4.27747e-07,0.0008
0.1291,4.46575e-07,0.0008
0.1357,4.62781e-07,0.0007
0.1426,4.76598e-07,0.0007
0.15,5.01616e-07,0.0007
0.1576,5.01262e-07,0.0007
0.1657,5.15199e-07,0.0007
0.1742,5.19584e-07,0.0007
0.1832,5.29031e-07,0.0007
0.1925,5.25387e-07,0.0007
0.2024,5.37308e-07,0.0007
0.2128,5.42006e-07,0.0007
0.2237,5.45999e-07,0.0007
0.2352,5.54375e-07,0.0007
0.2472,5.57216e-07,0.0007
0.2732,1.13647e-06,0.0005
0.2872,5.75886e-07,0.0007
0.2945,2.90914e-07,0.0011
0.2972,1.05976e-07,0.0017
0.2985,5.00029e-08,0.0024
0.302,1.31102e-07,0.0016
0.3337,1.09391e-06,0.0005
0.3688,1.06479e-06,0.0006
0.3877,5.1837e-07,0.0008
0.4076,5.09388e-07,0.0008
0.4505,9.89762e-07,0.0006
0.4979,9.57827e-07,0.0006
0.5234,4.65987e-07,0.0008
0.5502,4.5222e-07,0.0009
0.5784,4.3508e-07,0.0009
0.6081,4.17261e-07,0.0009
0.6393,3.96415e-07,0.0009
0.6721,3.73835e-07,0.0009
0.7065,3.46975e-07,0.0012
0.7427,3.19169e-07,0.001
0.7808,2.91167e-07,0.0011
0.8209,2.64988e-07,0.0011
0.8629,2.39193e-07,0.0012
0.9072,2.11774e-07,0.0012
0.9617,2.09105e-07,0.0013
1.003,1.26895e-07,0.0016
1.108,2.42591e-07,0.0012
1.165,9.6483e-08,0.0019
1.225,8.25056e-08,0.0021
1.287,7.02123e-08,0.0022
1.353,6.2129e-08,0.0024
1.423,5.42807e-08,0.0026
1.496,4.6545e-08,0.0027
1.572,4.12387e-08,0.0029
1.653,3.68417e-08,0.0032
1.738,3.26722e-08,0.0032
1.827,2.92005e-08,0.0034
1.921,2.6703e-08,0.0035
2.019,2.43859e-08,0.0039
2.122,2.24481e-08,0.0039
2.231,2.07087e-08,0.0041
2.307,1.27119e-08,0.005
2.346,6.0829e-09,0.0071
2.365,2.8406e-09,0.0105
2.385,2.95279e-09,0.0101
2.466,1.14757e-08,0.0054
2.592,1.62646e-08,0.0078
2.725,1.54996e-08,0.0044
2.865,1.47347e-08,0.0045
3.012,1.42732e-08,0.0046
3.166,1.34741e-08,0.0046
3.329,1.28042e-08,0.0046
3.679,2.33872e-08,0.0035
4.066,2.20359e-08,0.0035
4.493,2.16766e-08,0.0035
4.724,1.09216e-08,0.005
4.966,1.11616e-08,0.0049
5.22,1.16358e-08,0.005
5.488,1.23123e-08,0.0047
5.77,1.30986e-08,0.0044
6.065,1.39173e-08,0.0043
6.376,1.51519e-08,0.0043
6.592,1.08184e-08,0.0049
6.703,5.52997e-09,0.0069
7.047,1.76334e-08,0.0038
7.408,1.87102e-08,0.0036
7.788,2.00056e-08,0.0035
8.187,2.1449e-08,0.0033
8.607,2.22528e-08,0.0033
9.048,2.27972e-08,0.0033
9.512,2.28568e-08,0.0032
10.0,2.51058e-08,0.0031
10.51,4.0737e-08,0.0023
11.05,3.94187e-08,0.0023
11.62,3.90903e-08,0.0023
12.21,3.77548e-08,0.0023
12.52,1.91404e-08,0.0032
12.84,1.96924e-08,0.0032
13.5,4.00439e-08,0.0022
13.84,1.98611e-08,0.0031
14.19,6.27808e-09,0.0052
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
