Energy,Value,Error
0.01,1.57884e-11,0.3073
0.02,1.03006e-10,0.0984
0.05,8.20293e-09,0.0175
0.1,4.13631e-09,0.027
0.2,5.51438e-08,0.008
0.3,1.84592e-07,0.0037
0.4,3.07565e-07,0.0025
0.6,6.89933e-07,0.0016
0.8,3.79985e-07,0.0021
1.0,3.13503e-07,0.002
1.22,3.57011e-07,0.0019
1.44,2.80669e-07,0.0022
1.66,2.57173e-07,0.0022
2.0,3.54382e-07,0.0019
2.5,4.30142e-07,0.0017
3.0,3.25063e-07,0.002
4.0,4.01344e-07,0.0018
5.0,1.85227e-07,0.0026
6.5,9.48468e-08,0.0035
8.0,1.6307e-08,0.0089
10.0,2.14959e-10,0.0782
12.0,6.69576e-12,0.42
14.0,9.76721e-12,0.3139
20.0,2.8861e-11,0.2303
