Energy,Value,Error
0.01,3.6181900361819e-10,0.2972
0.02,0.0,0.0
0.05,7.624366666666666e-08,0.0238
0.1,1.4859239999999998e-09,0.0955
0.2,3.20936e-07,0.0071
0.3,1.2542100000000003e-06,0.0036
0.4,1.9262099999999993e-06,0.0027
0.6,3.3460250000000007e-06,0.0015
0.8,1.4806499999999995e-06,0.0021
1.0,1.0869850000000001e-06,0.0023
1.22,9.724090909090912e-07,0.0024
1.44,9.209454545454547e-07,0.0024
1.66,8.195409090909092e-07,0.0026
2.0,6.64155882352941e-07,0.0024
2.5,4.9854e-07,0.0022
3.0,3.57594e-07,0.0027
4.0,2.10921e-07,0.0023
5.0,9.42644e-08,0.0036
6.5,2.8785800000000003e-08,0.0055
8.0,1.8793666666666666e-09,0.0242
10.0,1.44769e-10,0.0629
12.0,9.20645e-12,0.1832
14.0,6.46035e-12,0.2106
20.0,4.5007166666666666e-12,0.1774
