Energy,Value,Error
0.01,3.06809e-11,0.1843
0.02,7.7374e-12,0.3579
0.05,1.2109e-08,0.0142
0.1,5.65924e-10,0.0512
0.2,8.04856e-08,0.0057
0.3,4.70881e-07,0.002
0.4,7.02626e-07,0.0016
0.6,1.98217e-06,0.0009
0.8,1.83068e-06,0.0009
1.0,9.73911e-07,0.0011
1.22,1.0125e-06,0.0011
1.44,8.58203e-07,0.0011
1.66,7.22178e-07,0.0012
2.0,8.96453e-07,0.0011
2.5,9.8098e-07,0.0011
3.0,6.89763e-07,0.0013
4.0,8.40474e-07,0.0012
5.0,4.2081e-07,0.0017
6.5,1.92831e-07,0.0025
8.0,7.38311e-09,0.01
10.0,6.1876e-10,0.0339
12.0,6.77704e-11,0.0938
14.0,9.27958e-11,0.0891
20.0,1.58164e-10,0.0633
