Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,3.5451336058829246e-12,0.25
1.125e-06,7.713451523650466e-11,0.0699
1.445e-06,1.2771691108679028e-10,0.052
1.855e-06,1.657465235862482e-10,0.0481
2.382e-06,2.3742822988185286e-10,0.0525
3.059e-06,2.8262314581125884e-10,0.0375
3.928e-06,3.6145600503069186e-10,0.0402
5.043e-06,4.92306517344815e-10,0.032
6.476e-06,6.306709568810941e-10,0.0258
8.315e-06,7.741098125506227e-10,0.0237
1.068e-05,1.0398434363260926e-09,0.0211
1.371e-05,1.3062963971831485e-09,0.0179
1.76e-05,1.6545436222840737e-09,0.0159
2.26e-05,2.2104170374875447e-09,0.0138
2.902e-05,2.834539296170994e-09,0.0124
3.727e-05,3.7218709027366873e-09,0.011
4.785e-05,4.648986801424246e-09,0.01
6.144e-05,6.033522042207349e-09,0.0088
7.889e-05,7.730124438057381e-09,0.0075
0.0001013,9.978245412951202e-09,0.0067
0.0001301,1.275848694674899e-08,0.006
0.000167,1.646062306455233e-08,0.0053
0.0002145,2.0938020543764095e-08,0.0045
0.0002754,2.6914967461151857e-08,0.0041
0.0003536,3.39130224845396e-08,0.0036
0.000454,3.845727462432351e-08,0.0033
0.0005829,4.683487809735125e-08,0.0029
0.0007485,7.236071889879605e-08,0.0025
0.0009611,9.205252754223031e-08,0.0022
0.001234,1.176252921624746e-07,0.0019
0.001585,1.4611853322851772e-07,0.0017
0.002035,1.6860534593470396e-07,0.0015
0.002249,2.1565388006449716e-07,0.002
0.002485,2.599156552486787e-07,0.002
0.002613,2.4757932234432866e-07,0.0029
0.002747,2.54055052007249e-07,0.0028
0.003035,2.498003616165392e-07,0.002
0.003355,3.0080402981066686e-07,0.0017
0.003707,4.0621059774054495e-07,0.0015
0.004307,3.941289128115483e-07,0.0013
0.005531,4.1749986841611015e-07,0.0009
0.007102,1.4073680703660168e-06,0.0005
0.009119,2.7310579073319867e-07,0.0015
0.01059,1.0971313159653629e-06,0.0008
0.01171,1.221469348552793e-06,0.001
0.01503,1.5670958474878515e-06,0.0005
0.0193,2.016165184144282e-06,0.0005
0.02187,2.1433518641640427e-06,0.0007
0.02358,2.4605535291102435e-06,0.0008
0.02418,6.039531241651277e-06,0.0008
0.02479,1.6315277688152634e-06,0.0018
0.02606,2.9018703627652303e-06,0.0009
0.027,2.9163578860906614e-06,0.0011
0.0285,3.276809790433979e-06,0.0008
0.03183,3.7907734143013088e-06,0.0005
0.03431,3.971311066080227e-06,0.0006
0.04087,4.441629424882568e-06,0.0004
0.04631,5.2146809939845125e-06,0.0004
0.05248,5.932317430573483e-06,0.0004
0.05656,6.571761835701511e-06,0.0005
0.06738,7.486365755427971e-06,0.0003
0.07202,8.472644266197823e-06,0.0005
0.0795,9.158354701937638e-06,0.0004
0.0825,9.639490865250853e-06,0.0006
0.08652,9.749795059732595e-06,0.0005
0.09804,8.14296276371806e-06,0.0003
0.1111,2.9753435643934038e-06,0.0006
0.1168,3.0208840531857368e-06,0.0009
0.1228,3.19795134881319e-06,0.0009
0.1291,3.3753357522341417e-06,0.0008
0.1357,3.5575130482134385e-06,0.0008
0.1426,3.7569655652025697e-06,0.0008
0.15,3.971099172879839e-06,0.0008
0.1576,4.1816790670076865e-06,0.0008
0.1657,4.3939645969521875e-06,0.0007
0.1742,4.639007508334378e-06,0.0007
0.1832,5.011415739559931e-06,0.0007
0.1925,5.6192834408621506e-06,0.0007
0.2024,6.33362652154406e-06,0.0006
0.2128,5.999043636674193e-06,0.0006
0.2237,6.359523830620915e-06,0.0006
0.2352,6.74318086082637e-06,0.0006
0.2472,7.182961352403248e-06,0.0006
0.2732,7.866326388887823e-06,0.0004
0.2872,8.61533772786439e-06,0.0006
0.2945,9.034880516117902e-06,0.0008
0.2972,9.24883137807663e-06,0.0012
0.2985,9.32686009368622e-06,0.0018
0.302,9.406297055059734e-06,0.0011
0.3337,1.0046348736175447e-05,0.0004
0.3688,1.1254937485696755e-05,0.0003
0.3877,1.2222596104037377e-05,0.0005
0.4076,1.2899730472256616e-05,0.0004
0.4505,1.4051214642356824e-05,0.0003
0.4979,1.5801593441115506e-05,0.0003
0.5234,1.7254180378707967e-05,0.0004
0.5502,1.8177298422114835e-05,0.0004
0.5784,1.912060652804343e-05,0.0004
0.6081,2.0082210356550018e-05,0.0004
0.6393,2.0999316499839724e-05,0.0003
0.6721,2.1845246171299635e-05,0.0003
0.7065,2.2502175234749233e-05,0.0003
0.7427,2.2838563311893873e-05,0.0003
0.7808,2.2612461439112245e-05,0.0003
0.8209,2.156551857347168e-05,0.0003
0.8629,1.9583081337443456e-05,0.0004
0.9072,1.749907797174381e-05,0.0004
0.9617,1.5056423385969748e-05,0.0004
1.003,1.2259705663152407e-05,0.0005
1.108,1.0713423428252732e-05,0.0004
1.165,1.0131966096478973e-05,0.0005
1.225,9.660441013336895e-06,0.0005
1.287,9.144739557993971e-06,0.0006
1.353,8.658915382515392e-06,0.0006
1.423,8.175430603346388e-06,0.0006
1.496,7.647884418108305e-06,0.0006
1.572,7.051848658779684e-06,0.0006
1.653,6.4328403354994165e-06,0.0006
1.738,5.903910255892184e-06,0.0007
1.827,5.434173777598211e-06,0.0007
1.921,4.994099494224853e-06,0.0007
2.019,4.5811542945848e-06,0.0007
2.122,4.196118239086621e-06,0.0008
2.231,3.819617824847966e-06,0.0008
2.307,3.553160592190728e-06,0.001
2.346,3.4358975593085666e-06,0.0014
2.365,3.3794795131158357e-06,0.0021
2.385,3.350202701731012e-06,0.002
2.466,3.242172911213948e-06,0.001
2.592,3.0540989431892684e-06,0.0009
2.725,2.831171525634329e-06,0.0009
2.865,2.598906239138816e-06,0.0009
3.012,2.36883634375349e-06,0.001
3.166,2.16564232789527e-06,0.001
3.329,1.976469646523684e-06,0.001
3.679,1.7184624221086983e-06,0.0008
4.066,1.4593865243403605e-06,0.0008
4.493,1.3746919919809952e-06,0.0008
4.724,1.3700415376551396e-06,0.0012
4.966,1.3617303721926277e-06,0.0012
5.22,1.3620810387072967e-06,0.0012
5.488,1.3656959377197888e-06,0.0011
5.77,1.3821453113099524e-06,0.0011
6.065,1.402750633812133e-06,0.0011
6.376,1.4308988709324902e-06,0.0011
6.592,1.4516093203468248e-06,0.0014
6.703,1.463631704640528e-06,0.0019
7.047,1.486052847406855e-06,0.0011
7.408,1.5251918177279264e-06,0.0011
7.788,1.5750248980216701e-06,0.001
8.187,1.6329078880499287e-06,0.001
8.607,1.6997001304149412e-06,0.001
9.048,1.78955242212863e-06,0.001
9.512,1.989835295454796e-06,0.0009
10.0,2.277750819091738e-06,0.0009
10.51,4.3983272851218724e-06,0.0006
11.05,4.519607636205733e-06,0.0006
11.62,4.711026028818931e-06,0.0006
12.21,4.946965190087839e-06,0.0006
12.52,5.033487940983464e-06,0.0008
12.84,5.0802497210686625e-06,0.0008
13.5,5.0736779897917885e-06,0.0005
13.84,5.178371288198834e-06,0.0007
14.19,1.9188340652073684e-06,0.0012
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
