Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,4.760012955028438e-11,0.1898
1.445e-06,7.968479989085146e-11,0.1526
1.855e-06,8.204091392688494e-11,0.1449
2.382e-06,1.4283053457988765e-10,0.123
3.059e-06,1.6714292267233007e-10,0.1088
3.928e-06,2.931779645912773e-10,0.2055
5.043e-06,3.223358442761439e-10,0.0828
6.476e-06,4.697725343932532e-10,0.0728
8.315e-06,5.819695920417271e-10,0.0695
1.068e-05,8.628601139191839e-10,0.0536
1.371e-05,1.0044137265951024e-09,0.0517
1.76e-05,1.419310414874469e-09,0.0451
2.26e-05,1.9219158966064943e-09,0.04
2.902e-05,2.3809034242750173e-09,0.0348
3.727e-05,3.1013039599182277e-09,0.0299
4.785e-05,3.809527934774028e-09,0.027
6.144e-05,4.88203584891295e-09,0.0246
7.889e-05,6.313806980809193e-09,0.0212
0.0001013,8.447360962911389e-09,0.0183
0.0001301,1.0725051759160416e-08,0.0159
0.000167,1.3601442563047595e-08,0.0143
0.0002145,1.718036910218968e-08,0.0127
0.0002754,2.096914226377455e-08,0.0112
0.0003536,2.8677762553149315e-08,0.0097
0.000454,3.609214059170791e-08,0.0086
0.0005829,4.6073829834306186e-08,0.0077
0.0007485,5.897929272315626e-08,0.0066
0.0009611,7.586779741534443e-08,0.0059
0.001234,9.807802431700415e-08,0.0053
0.001585,1.2508135381105214e-07,0.0046
0.002035,1.5565515698683283e-07,0.004
0.002249,1.7939620139037513e-07,0.006
0.002485,3.3881472085344623e-07,0.0042
0.002613,8.388090972387028e-08,0.014
0.002747,1.9702453782186995e-07,0.009
0.003035,2.590218400177922e-07,0.0054
0.003355,2.935514610631797e-07,0.0048
0.003707,3.1126531902585967e-07,0.0046
0.004307,3.443157835053395e-07,0.0035
0.005531,4.643200790782033e-07,0.0024
0.007102,5.64606376357699e-07,0.0022
0.009119,7.210309695994864e-07,0.0019
0.01059,8.684519608207991e-07,0.0022
0.01171,1.009767756138836e-06,0.0025
0.01503,1.2051680394163581e-06,0.0015
0.0193,1.7155495948082236e-06,0.0013
0.02187,1.769879949219425e-06,0.0018
0.02358,2.182283757889811e-06,0.0021
0.02418,2.0621722827618646e-06,0.0039
0.02479,2.1822311554433676e-06,0.0038
0.02606,2.451120812345017e-06,0.0024
0.027,3.4846331154476277e-06,0.0023
0.0285,2.7264763480834245e-06,0.0022
0.03183,2.6249544880873595e-06,0.0016
0.03431,3.1069093454364885e-06,0.0017
0.04087,3.5311041090875116e-06,0.0011
0.04631,4.094593108333766e-06,0.0012
0.05248,4.631545819839647e-06,0.0011
0.05656,5.103921838184934e-06,0.0013
0.06738,5.8040671826684596e-06,0.0008
0.07202,6.5696512534612154e-06,0.0012
0.0795,7.145131027323829e-06,0.001
0.0825,7.645309870671567e-06,0.0015
0.08652,7.965772297109865e-06,0.0013
0.09804,8.289442813433326e-06,0.0008
0.1111,2.135977811888089e-06,0.0016
0.1168,1.5508878389416971e-06,0.0031
0.1228,1.6399227387063095e-06,0.003
0.1291,1.7179495362479103e-06,0.003
0.1357,1.8204919936037022e-06,0.0028
0.1426,1.9310384430940397e-06,0.0027
0.15,2.0330968304625293e-06,0.0026
0.1576,2.1455791670214682e-06,0.0026
0.1657,2.2589750693539907e-06,0.0025
0.1742,2.386440098592108e-06,0.0025
0.1832,2.525787518262874e-06,0.0024
0.1925,2.643034633427428e-06,0.0023
0.2024,2.7860538916038663e-06,0.0023
0.2128,2.945746703550596e-06,0.0022
0.2237,3.0948422794228792e-06,0.0022
0.2352,3.2498079114202166e-06,0.0021
0.2472,3.439204347224787e-06,0.0021
0.2732,3.7146421844061194e-06,0.0014
0.2872,4.0126696502467826e-06,0.0019
0.2945,4.157542238672722e-06,0.0026
0.2972,4.2407611676424164e-06,0.0044
0.2985,4.275836165991366e-06,0.0062
0.302,4.307637970554465e-06,0.0038
0.3337,4.581629135983513e-06,0.0013
0.3688,5.074935632092975e-06,0.0012
0.3877,5.482163091559796e-06,0.0016
0.4076,5.787057122604892e-06,0.0016
0.4505,6.273946830755707e-06,0.0011
0.4979,6.958044913695848e-06,0.001
0.5234,7.5488215409875644e-06,0.0014
0.5502,7.931995418430435e-06,0.0014
0.5784,8.345440191529173e-06,0.0013
0.6081,8.78140125831711e-06,0.0013
0.6393,9.253197949708568e-06,0.0013
0.6721,9.73019750826493e-06,0.0012
0.7065,1.0230514343230787e-05,0.0012
0.7427,1.0771279798251553e-05,0.0012
0.7808,1.1307809871853787e-05,0.0011
0.8209,1.1828798254401259e-05,0.0011
0.8629,1.2380016518232794e-05,0.0011
0.9072,1.2922946719059674e-05,0.0011
0.9617,1.2891239541484344e-05,0.001
1.003,1.0090839424105368e-05,0.0013
1.108,5.021399961586813e-06,0.0013
1.165,5.139909831057097e-06,0.0018
1.225,5.195066955599932e-06,0.0018
1.287,5.244355340708784e-06,0.0018
1.353,5.265442621240799e-06,0.0018
1.423,5.244576210014462e-06,0.0018
1.496,5.225779503872947e-06,0.0018
1.572,5.183919801666928e-06,0.0018
1.653,4.8365224259668116e-06,0.0018
1.738,4.598529076563379e-06,0.0019
1.827,4.3979955560767705e-06,0.0019
1.921,4.273159433854905e-06,0.0019
2.019,4.134579076214889e-06,0.002
2.122,4.035858417555014e-06,0.002
2.231,3.7869771494443314e-06,0.002
2.307,3.6377326445303936e-06,0.0025
2.346,3.5505555318764242e-06,0.0035
2.365,3.4973778475487062e-06,0.0051
2.385,3.4479689989738963e-06,0.005
2.466,3.4068819900590844e-06,0.0025
2.592,3.2969932524437216e-06,0.0021
2.725,3.122426387809236e-06,0.0021
2.865,3.0219208693455586e-06,0.0021
3.012,2.9591717772141405e-06,0.0021
3.166,2.9227116916302282e-06,0.0021
3.329,2.879190650988306e-06,0.0021
3.679,2.875390867119995e-06,0.0015
4.066,2.9500271919407124e-06,0.0014
4.493,3.0754975594136517e-06,0.0014
4.724,3.220746704778291e-06,0.0019
4.966,3.344476601169144e-06,0.0019
5.22,3.482809639906454e-06,0.0018
5.488,3.6335881613605107e-06,0.0018
5.77,3.778164799720262e-06,0.0018
6.065,3.935244924086356e-06,0.0017
6.376,4.119652759267902e-06,0.0017
6.592,4.249538740379607e-06,0.002
6.703,4.348909042223468e-06,0.0028
7.047,4.466798454058842e-06,0.0016
7.408,4.653121812010386e-06,0.0016
7.788,4.855289258401049e-06,0.0015
8.187,5.120924124308141e-06,0.0015
8.607,5.3730593563705e-06,0.0015
9.048,5.625229918568035e-06,0.0014
9.512,5.88851276626149e-06,0.0014
10.0,6.394124133722278e-06,0.0013
10.51,1.4092712495533076e-05,0.0009
11.05,1.481353210790036e-05,0.0009
11.62,1.555297471488855e-05,0.0008
12.21,1.6240480621736752e-05,0.0008
12.52,1.668529459422597e-05,0.0011
12.84,1.7077468547210497e-05,0.0011
13.5,1.7724466072055283e-05,0.0008
13.84,1.8243121867975375e-05,0.0011
14.19,8.007434456581528e-06,0.0016
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
