Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,1.2744777060222617e-12,1.0
0.0001013,4.899014216626875e-12,0.7102
0.0001301,3.203183966068304e-11,0.2554
0.000167,7.73045256070719e-12,0.4311
0.0002145,2.4913396845604093e-11,0.4028
0.0002754,3.807696933156733e-11,0.2426
0.0003536,2.5125974908047312e-11,0.3671
0.000454,2.2541953546444105e-11,0.3046
0.0005829,2.3351377498607938e-11,0.3051
0.0007485,3.326752678344341e-11,0.2594
0.0009611,6.85436100502601e-11,0.1888
0.001234,1.327798660977719e-10,0.1441
0.001585,2.2688442802553116e-10,0.2355
0.002035,3.3256104424938983e-10,0.08
0.002249,5.775796007490932e-10,0.1219
0.002485,5.355277460128147e-10,0.1221
0.002613,8.148933528076608e-10,0.2056
0.002747,6.610062387027587e-10,0.152
0.003035,9.242982479665298e-10,0.117
0.003355,1.1611891293947805e-09,0.0779
0.003707,1.4537769140245246e-09,0.0756
0.004307,2.0706154464153092e-09,0.0515
0.005531,2.4293136663036725e-09,0.0377
0.007102,3.4223971731802585e-09,0.0334
0.009119,6.572468145543602e-09,0.0235
0.01059,1.1158274028972674e-08,0.0233
0.01171,1.5081910701772028e-08,0.0276
0.01503,2.2746857655295726e-08,0.0119
0.0193,4.451027086069445e-08,0.0093
0.02187,7.47675767008355e-08,0.0097
0.02358,9.414109841455853e-08,0.0111
0.02418,1.0786705078207883e-07,0.0188
0.02479,1.1361415650486332e-07,0.0178
0.02606,1.236344769306008e-07,0.0119
0.027,1.3678988970486145e-07,0.0129
0.0285,1.5503922345290598e-07,0.0096
0.03183,1.8752790477413023e-07,0.0067
0.03431,2.2251007008225906e-07,0.0069
0.04087,2.772939819896446e-07,0.0041
0.04631,3.6742000406547915e-07,0.0043
0.05248,4.777491158497951e-07,0.0038
0.05656,5.943137856128659e-07,0.0042
0.06738,7.693453921899488e-07,0.0025
0.07202,8.885839606970588e-07,0.0037
0.0795,9.053894935235462e-07,0.0031
0.0825,9.143098620441542e-07,0.0048
0.08652,9.282114119910986e-07,0.0046
0.09804,9.275043147945656e-07,0.0028
0.1111,1.0039251647092154e-06,0.0027
0.1168,1.0825250920975549e-06,0.0042
0.1228,1.1294618469317422e-06,0.0041
0.1291,1.1956858414896901e-06,0.004
0.1357,1.2789898707712295e-06,0.0044
0.1426,1.358956791520655e-06,0.0045
0.15,1.4683510052320157e-06,0.0036
0.1576,1.5768959834164978e-06,0.0036
0.1657,1.685379324931496e-06,0.0033
0.1742,1.7637751743402465e-06,0.0033
0.1832,1.7307902640668396e-06,0.0033
0.1925,1.6797548654490345e-06,0.0034
0.2024,1.6472274440524001e-06,0.0036
0.2128,1.6916339913079566e-06,0.0037
0.2237,1.7243790872342669e-06,0.0034
0.2352,1.7755971061161001e-06,0.0035
0.2472,1.7976846119151976e-06,0.0039
0.2732,1.819133537013533e-06,0.0024
0.2872,1.8363268333043213e-06,0.0035
0.2945,1.8123226814271153e-06,0.0047
0.2972,1.8060092685825421e-06,0.0078
0.2985,1.7900046326131198e-06,0.0112
0.302,1.8080421329773505e-06,0.0078
0.3337,1.7882416595014862e-06,0.0024
0.3688,1.7201317621370746e-06,0.0026
0.3877,1.6261345415599286e-06,0.0038
0.4076,1.5675227585555314e-06,0.0039
0.4505,1.5240560980699164e-06,0.0027
0.4979,1.3793520297356488e-06,0.003
0.5234,1.2407597454266725e-06,0.0044
0.5502,1.1830836977579867e-06,0.0046
0.5784,1.117787663460647e-06,0.0049
0.6081,1.0645714331652182e-06,0.0048
0.6393,1.0133970469511208e-06,0.005
0.6721,9.439331290338943e-07,0.005
0.7065,9.081245022267969e-07,0.0054
0.7427,8.729193400441349e-07,0.0058
0.7808,8.318534540178884e-07,0.0061
0.8209,7.984862624444542e-07,0.0059
0.8629,7.745416530011487e-07,0.006
0.9072,7.33832881942325e-07,0.0062
0.9617,7.05086884092156e-07,0.0057
1.003,6.867588888336391e-07,0.0072
1.108,6.55605588340635e-07,0.0047
1.165,6.323994224365222e-07,0.0067
1.225,6.141885555695071e-07,0.0066
1.287,5.945810400048248e-07,0.0071
1.353,5.90986831551958e-07,0.0069
1.423,5.74460624473427e-07,0.0068
1.496,5.687205161947493e-07,0.007
1.572,5.621000180611054e-07,0.0098
1.653,5.433977303633134e-07,0.0071
1.738,5.376760098332933e-07,0.0069
1.827,5.288179315830132e-07,0.0075
1.921,5.041677153171578e-07,0.0072
2.019,4.964602025965517e-07,0.0072
2.122,4.78293367288144e-07,0.0076
2.231,4.7108979186676744e-07,0.0074
2.307,4.615221978031983e-07,0.0094
2.346,4.419417315155063e-07,0.0135
2.365,4.41453019048706e-07,0.0199
2.385,4.2559273492846686e-07,0.0178
2.466,4.3262107588031446e-07,0.0094
2.592,4.1746757048447454e-07,0.0076
2.725,4.120175135506807e-07,0.008
2.865,3.899267543753966e-07,0.0084
3.012,3.8414172702971854e-07,0.008
3.166,3.623067533587155e-07,0.0078
3.329,3.597036239046728e-07,0.0081
3.679,3.515249111010055e-07,0.0056
4.066,3.4619212676823383e-07,0.0056
4.493,3.43726071813031e-07,0.0057
4.724,3.497996642516602e-07,0.0079
4.966,3.581331823160421e-07,0.0073
5.22,3.6683047565116525e-07,0.0074
5.488,3.698382000419517e-07,0.0072
5.77,3.8206528639649123e-07,0.0098
6.065,3.8351896959187957e-07,0.007
6.376,3.8906620659177245e-07,0.0068
6.592,3.9181049144667e-07,0.0086
6.703,3.85266972612124e-07,0.0121
7.047,3.9651280874454584e-07,0.0067
7.408,4.047379081876737e-07,0.0069
7.788,4.064922156225059e-07,0.0067
8.187,4.229152112056575e-07,0.0066
8.607,4.4601159960032823e-07,0.0063
9.048,4.7284744373326794e-07,0.0061
9.512,5.077701748596408e-07,0.0059
10.0,6.618745166953406e-07,0.0054
10.51,1.066320252717999e-06,0.0039
11.05,1.135808712320786e-06,0.0039
11.62,1.1990618158431166e-06,0.0037
12.21,1.2396921812069019e-06,0.0035
12.52,1.2614471193207458e-06,0.0049
12.84,1.2544846883661547e-06,0.005
13.5,1.2972687279578992e-06,0.0035
13.84,1.1530573205354614e-06,0.0049
14.19,3.6425934740505663e-07,0.0083
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
