Energy,Value,Error
0.01,7.05916e-11,0.2802
0.02,6.51229e-12,0.2933
0.05,1.33495e-08,0.0119
0.1,3.94588e-09,0.0207
0.2,5.99274e-08,0.006
0.3,1.31752e-07,0.0039
0.4,2.17694e-07,0.0025
0.6,6.15516e-07,0.0014
0.8,4.30794e-07,0.0015
1.0,3.84033e-07,0.0015
1.22,3.94783e-07,0.0015
1.44,3.56464e-07,0.0016
1.66,3.12565e-07,0.0017
2.0,4.00191e-07,0.0015
2.5,4.25317e-07,0.0014
3.0,2.69481e-07,0.0018
4.0,2.58518e-07,0.0018
5.0,8.29344e-08,0.0032
6.5,2.55156e-08,0.0058
8.0,4.46579e-10,0.0432
10.0,5.27916e-11,0.1889
12.0,1.66783e-11,0.2275
14.0,2.03455e-11,0.2163
20.0,3.18063e-11,0.1822
