Energy,Value,Error
0.01,2.0867600208676e-09,0.2064
0.02,9.20801e-11,1.0
0.05,1.1331766666666667e-07,0.0328
0.1,5.017e-08,0.0245
0.2,6.22844e-08,0.0214
0.3,3.6171700000000006e-07,0.0074
0.4,5.332109999999998e-07,0.0055
0.6,7.904900000000001e-07,0.0029
0.8,5.231749999999998e-07,0.0034
1.0,4.949885000000001e-07,0.0035
1.22,4.6229090909090914e-07,0.0034
1.44,4.2184045454545457e-07,0.0038
1.66,3.727995454545455e-07,0.0036
2.0,3.1371764705882344e-07,0.0032
2.5,2.36944e-07,0.003
3.0,1.591066e-07,0.0038
4.0,8.56367e-08,0.0035
5.0,3.36854e-08,0.0055
6.5,9.936399999999999e-09,0.0077
8.0,1.7777466666666667e-09,0.0203
10.0,3.81049e-11,0.0978
12.0,8.68265e-12,0.4533
14.0,4.13318e-12,0.4059
20.0,1.413625e-12,0.362
