Energy,Value,Error
0.01,2.0266200202662e-09,0.3973
0.02,0.0,0.0
0.05,6.559533333333333e-08,0.0272
0.1,2.3219799999999998e-08,0.081
0.2,4.203819999999999e-08,0.0246
0.3,1.5363800000000004e-07,0.0165
0.4,2.633219999999999e-07,0.0086
0.6,4.685855000000001e-07,0.0044
0.8,3.509779999999999e-07,0.0047
1.0,3.2879850000000004e-07,0.0047
1.22,3.0376681818181824e-07,0.0047
1.44,2.7116772727272727e-07,0.0048
1.66,2.3768590909090912e-07,0.005
2.0,1.9100588235294114e-07,0.0045
2.5,1.359228e-07,0.0045
3.0,8.5166e-08,0.0059
4.0,3.9916e-08,0.0061
5.0,1.22282e-08,0.0106
6.5,2.606633333333333e-09,0.0187
8.0,2.0964066666666665e-10,0.0711
10.0,1.41133e-11,0.2655
12.0,1.88101e-12,0.6044
14.0,3.20941e-12,0.4911
20.0,2.2139166666666667e-12,0.5441
