Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,3.466265383735303e-11,0.2002
1.76e-05,3.818484945386013e-10,0.0657
2.26e-05,9.54577250073753e-10,0.0368
2.902e-05,1.30949888306857e-09,0.0338
3.727e-05,1.010985195402884e-09,0.047
4.785e-05,3.3611970478294135e-10,0.0633
6.144e-05,1.8857916508670364e-11,0.2634
7.889e-05,6.105961483933955e-12,0.3987
0.0001013,4.1669877231953435e-11,0.6704
0.0001301,5.8581956892120326e-12,0.3872
0.000167,1.6154564074028324e-11,0.308
0.0002145,3.491192167173426e-11,0.2215
0.0002754,3.424958569295544e-11,0.2103
0.0003536,5.163323168533e-11,0.1654
0.000454,8.834643051693207e-11,0.1734
0.0005829,7.290018091085376e-11,0.1292
0.0007485,1.1838449079513822e-10,0.105
0.0009611,1.6943108109748647e-10,0.0837
0.001234,2.493753017956517e-10,0.0768
0.001585,3.786444615623121e-10,0.0763
0.002035,4.6159556811534864e-10,0.0622
0.002249,6.422521623737628e-10,0.0726
0.002485,7.674928628613388e-10,0.0748
0.002613,8.178519605519605e-10,0.0919
0.002747,1.0091096899426879e-09,0.0961
0.003035,9.863822474835143e-10,0.0595
0.003355,1.202011015659866e-09,0.0512
0.003707,1.4844972162857895e-09,0.0529
0.004307,1.910008782669803e-09,0.0416
0.005531,2.900322346905032e-09,0.0225
0.007102,5.061722003240226e-09,0.0186
0.009119,8.520715058784604e-09,0.015
0.01059,1.3592977967733664e-08,0.0139
0.01171,1.784289416304826e-08,0.0144
0.01503,2.836669641257892e-08,0.0076
0.0193,5.240247484301091e-08,0.0058
0.02187,8.320005226498194e-08,0.0072
0.02358,1.0606250536834696e-07,0.007
0.02418,1.2341728663625433e-07,0.0119
0.02479,1.3058218658372567e-07,0.0106
0.02606,1.4098253012046368e-07,0.0074
0.027,1.6016093871634607e-07,0.0095
0.0285,1.7682229223893743e-07,0.0067
0.03183,2.2130822962074126e-07,0.0042
0.03431,2.8039009154689497e-07,0.0046
0.04087,3.8259724499548225e-07,0.0024
0.04631,5.534507185956375e-07,0.0025
0.05248,7.45841924177883e-07,0.002
0.05656,9.251157183543678e-07,0.0025
0.06738,1.1902742275542055e-06,0.0016
0.07202,1.452867315417107e-06,0.002
0.0795,1.6233363492923609e-06,0.0016
0.0825,1.7727928070794886e-06,0.0025
0.08652,1.8632790337062462e-06,0.0021
0.09804,2.0542886972247004e-06,0.0013
0.1111,2.293828183475873e-06,0.0012
0.1168,2.3843162149282536e-06,0.0022
0.1228,2.3679508420593306e-06,0.0019
0.1291,2.3011263394211357e-06,0.002
0.1357,2.1594981672399666e-06,0.002
0.1426,1.975881934424484e-06,0.0022
0.15,1.8386047843144208e-06,0.0022
0.1576,1.7127931175683494e-06,0.0024
0.1657,1.6046670118464402e-06,0.0025
0.1742,1.4988024025750896e-06,0.0026
0.1832,1.3967752868609809e-06,0.0027
0.1925,1.336160565051453e-06,0.0029
0.2024,1.2900933014142411e-06,0.0029
0.2128,1.2908542176506732e-06,0.0029
0.2237,1.2913129667354527e-06,0.0029
0.2352,1.289494351967018e-06,0.0029
0.2472,1.2933751522069152e-06,0.003
0.2732,1.2930572170145278e-06,0.0021
0.2872,1.2994832922305236e-06,0.003
0.2945,1.2899157761078105e-06,0.0044
0.2972,1.2697793867348977e-06,0.0071
0.2985,1.2668663053986088e-06,0.0098
0.302,1.2654622128355602e-06,0.0062
0.3337,1.2416725200583504e-06,0.0023
0.3688,1.1110954916118798e-06,0.0024
0.3877,9.983541946598532e-07,0.0038
0.4076,9.241914322120151e-07,0.0039
0.4505,8.454151973257101e-07,0.0029
0.4979,7.399972942760162e-07,0.0032
0.5234,7.064926061145614e-07,0.0046
0.5502,6.949394906941594e-07,0.0047
0.5784,6.857638809049896e-07,0.0046
0.6081,6.661225180091262e-07,0.0047
0.6393,6.527657790004332e-07,0.0047
0.6721,6.33412005678896e-07,0.005
0.7065,6.108915262244072e-07,0.0051
0.7427,5.963238096062285e-07,0.0052
0.7808,5.709295201962784e-07,0.0052
0.8209,5.464169882671278e-07,0.0053
0.8629,5.165548324421378e-07,0.0053
0.9072,4.925802809687577e-07,0.0055
0.9617,4.663811760400984e-07,0.0053
1.003,4.3857011964089144e-07,0.0064
1.108,3.9762827261746947e-07,0.0045
1.165,3.6949237973237656e-07,0.0066
1.225,3.548563567809091e-07,0.0066
1.287,3.4044459912295144e-07,0.0067
1.353,3.2323863335375367e-07,0.0072
1.423,3.0647481749795343e-07,0.0069
1.496,2.9298650323435575e-07,0.0074
1.572,2.83380808410397e-07,0.0079
1.653,2.68804936898204e-07,0.0076
1.738,2.516612020298846e-07,0.008
1.827,2.425818826684377e-07,0.0077
1.921,2.3049751302543948e-07,0.0088
2.019,2.1812245026861584e-07,0.0082
2.122,2.0847041344156767e-07,0.0083
2.231,1.9786338227934182e-07,0.0089
2.307,1.9426675076721245e-07,0.011
2.346,1.9056511762424006e-07,0.0173
2.365,1.8053693848707868e-07,0.0218
2.385,1.8109742979143436e-07,0.0214
2.466,1.8041647436634344e-07,0.0111
2.592,1.742503787584502e-07,0.0092
2.725,1.6563396618579977e-07,0.0088
2.865,1.598120250919832e-07,0.0091
3.012,1.5250531887331108e-07,0.0092
3.166,1.4781994409146078e-07,0.0096
3.329,1.4065913198652613e-07,0.0098
3.679,1.322609777180747e-07,0.0068
4.066,1.2182017201622468e-07,0.0071
4.493,1.1225012321647875e-07,0.0073
4.724,1.0485612591301597e-07,0.0102
4.966,1.0272787087760935e-07,0.0104
5.22,1.0160734072815523e-07,0.0103
5.488,1.010879761832054e-07,0.0101
5.77,1.0096812497646126e-07,0.0101
6.065,1.0147513399122492e-07,0.0101
6.376,1.1524945016353831e-07,0.0093
6.592,1.1428974113163731e-07,0.0111
6.703,1.1659264420165424e-07,0.0172
7.047,1.182305197543868e-07,0.0116
7.408,1.2712010206006423e-07,0.0089
7.788,1.359624524633287e-07,0.0089
8.187,1.457337521125789e-07,0.0083
8.607,1.5871278356912295e-07,0.0082
9.048,1.7480798076144913e-07,0.0075
9.512,1.8896301793526718e-07,0.0071
10.0,2.2688163466006978e-07,0.0067
10.51,4.3180733221715083e-07,0.0046
11.05,4.6636302494567836e-07,0.0045
11.62,4.962272002375537e-07,0.0043
12.21,5.321968697993612e-07,0.0042
12.52,5.556898893832322e-07,0.0056
12.84,5.633226869664649e-07,0.0056
13.5,5.960671377622404e-07,0.0038
13.84,6.083600265203135e-07,0.0052
14.19,1.9719361422758967e-07,0.0087
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
