Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,4.803299387343949e-12,0.6149
6.144e-05,1.462838683585059e-12,1.0
7.889e-05,4.262872739895559e-12,0.654
0.0001013,5.086990205214986e-12,0.8462
0.0001301,3.614219229773315e-12,0.5794
0.000167,7.444138019584958e-12,0.3888
0.0002145,1.0452910617077089e-11,0.3607
0.0002754,2.1255559819969757e-10,0.0906
0.0003536,1.1490877628714716e-09,0.0351
0.000454,8.449856646366635e-11,0.1392
0.0005829,2.4341900619095876e-10,0.0891
0.0007485,1.60232790628486e-09,0.0289
0.0009611,3.5404372144579355e-10,0.0754
0.001234,7.455896737905814e-10,0.0466
0.001585,1.747143323409733e-08,0.0087
0.002035,3.03973714222114e-08,0.0068
0.002249,4.668103621936674e-08,0.0084
0.002485,5.608857619920737e-08,0.0081
0.002613,6.165889854186983e-08,0.0103
0.002747,7.032254397360285e-08,0.0096
0.003035,8.885497235835127e-08,0.0062
0.003355,1.0132846118566182e-07,0.0057
0.003707,1.1969692192323128e-07,0.0054
0.004307,1.5855291953117976e-07,0.0037
0.005531,1.2744244652321846e-07,0.0033
0.007102,6.529076201197252e-09,0.0219
0.009119,8.733888945417078e-09,0.0211
0.01059,1.1042526795499403e-08,0.0221
0.01171,1.537435193735772e-08,0.0257
0.01503,2.0088898357683934e-08,0.0205
0.0193,3.422585127149585e-08,0.0092
0.02187,5.0990339408586275e-08,0.0103
0.02358,6.151729185993506e-08,0.0121
0.02418,7.139624962330824e-08,0.0255
0.02479,7.262035912876565e-08,0.0198
0.02606,7.88397391934588e-08,0.0143
0.027,8.474601548189754e-08,0.017
0.0285,9.411654382167296e-08,0.0114
0.03183,1.1194138508533926e-07,0.0078
0.03431,1.330511428800587e-07,0.009
0.04087,1.6517599669623e-07,0.0052
0.04631,2.1761961284847228e-07,0.0054
0.05248,2.7585220085399377e-07,0.0046
0.05656,3.373546348423929e-07,0.0054
0.06738,4.292529227398607e-07,0.0045
0.07202,5.120246628220442e-07,0.005
0.0795,5.759728564384387e-07,0.0036
0.0825,6.413143750840071e-07,0.0056
0.08652,6.835863890165006e-07,0.0051
0.09804,7.627114588639412e-07,0.0028
0.1111,8.87848366635848e-07,0.0029
0.1168,9.475245016009507e-07,0.0041
0.1228,9.811864425348102e-07,0.0041
0.1291,1.0087530559836507e-06,0.004
0.1357,1.035650964160607e-06,0.0042
0.1426,1.0355638638211821e-06,0.0038
0.15,1.061377826764534e-06,0.0039
0.1576,1.0934310080587591e-06,0.0041
0.1657,1.1012505957177422e-06,0.0039
0.1742,1.1308414132566453e-06,0.0039
0.1832,1.1637699738919825e-06,0.004
0.1925,1.1964347742309038e-06,0.004
0.2024,1.2439515271144177e-06,0.0039
0.2128,1.26961958334641e-06,0.0039
0.2237,1.292670239557984e-06,0.0037
0.2352,1.2960572428349437e-06,0.0038
0.2472,1.329005100247289e-06,0.0037
0.2732,1.3498435814872493e-06,0.0026
0.2872,1.3762821378893068e-06,0.0038
0.2945,1.3782379014387823e-06,0.0054
0.2972,1.3719017149628607e-06,0.0086
0.2985,1.3985387079082132e-06,0.0255
0.302,1.3941736410290085e-06,0.0079
0.3337,1.3885036166871099e-06,0.0028
0.3688,1.3647347862288228e-06,0.0027
0.3877,1.3338241424552806e-06,0.0045
0.4076,1.309639627695345e-06,0.004
0.4505,1.2812403807503023e-06,0.0029
0.4979,1.2115811120948934e-06,0.003
0.5234,1.1613171174956508e-06,0.0043
0.5502,1.10435069653579e-06,0.0046
0.5784,1.0615534687228267e-06,0.0046
0.6081,1.021097488789107e-06,0.0047
0.6393,9.908406044212414e-07,0.0047
0.6721,9.527892288870521e-07,0.0051
0.7065,8.820427177695044e-07,0.0109
0.7427,8.211812547229529e-07,0.006
0.7808,7.673320896329566e-07,0.006
0.8209,7.007490679948578e-07,0.0059
0.8629,6.681375462036162e-07,0.0061
0.9072,6.289513892247612e-07,0.0063
0.9617,5.947879116540273e-07,0.0059
1.003,5.555215173528527e-07,0.0071
1.108,5.140030656208328e-07,0.0049
1.165,4.857857774946444e-07,0.0075
1.225,4.6028100075541333e-07,0.0073
1.287,4.4297212073188794e-07,0.0074
1.353,4.057214429882321e-07,0.0076
1.423,3.8446388131223904e-07,0.0078
1.496,3.5945986252767177e-07,0.0081
1.572,3.39608568687973e-07,0.0088
1.653,3.16230331078473e-07,0.0089
1.738,2.965047628927352e-07,0.0087
1.827,2.854270822083033e-07,0.0096
1.921,2.634670168644754e-07,0.0097
2.019,2.5001177965599377e-07,0.0095
2.122,2.3993351233895065e-07,0.01
2.231,2.2418853617597883e-07,0.0101
2.307,2.1703105159041585e-07,0.0128
2.346,2.0629904761981683e-07,0.0191
2.365,2.081023377101583e-07,0.0243
2.385,2.061392818047702e-07,0.0292
2.466,2.0182236686733688e-07,0.0131
2.592,1.9446836004702862e-07,0.0107
2.725,1.8495942774888324e-07,0.0113
2.865,1.7476913419146995e-07,0.0116
3.012,1.6882877911548458e-07,0.0113
3.166,1.6056203654808225e-07,0.0114
3.329,1.545927622463282e-07,0.0121
3.679,1.486200461615885e-07,0.0088
4.066,1.4508581224847067e-07,0.0083
4.493,1.4391516457666105e-07,0.0084
4.724,1.4139806662769904e-07,0.0112
4.966,1.3962348116136166e-07,0.0132
5.22,1.3365471437521424e-07,0.0119
5.488,1.266779473923296e-07,0.0114
5.77,1.2750889600492658e-07,0.0116
6.065,1.295654036510552e-07,0.0117
6.376,1.322484745971469e-07,0.0119
6.592,1.343393564816685e-07,0.014
6.703,1.3881394182582066e-07,0.0202
7.047,1.4320753778418174e-07,0.0113
7.408,1.498587737937409e-07,0.011
7.788,1.5913092150268187e-07,0.0103
8.187,1.6772423028164797e-07,0.0102
8.607,1.791796012852178e-07,0.0106
9.048,1.8647766963339785e-07,0.0094
9.512,2.013120442562517e-07,0.0089
10.0,2.4077503919815104e-07,0.0085
10.51,4.5293631895583636e-07,0.006
11.05,4.836114094206726e-07,0.0057
11.62,5.107110723382094e-07,0.0056
12.21,5.382298772920789e-07,0.0053
12.52,5.727566840737777e-07,0.0073
12.84,5.824011118051699e-07,0.0073
13.5,6.306431215780128e-07,0.0049
13.84,6.521178528914043e-07,0.0069
14.19,2.0814396563514595e-07,0.0111
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
