Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,5.180320842088143e-13,0.5167
5.316e-07,1.2118611026750776e-11,0.2709
6.826e-07,1.76421502559381e-11,0.2069
8.764e-07,4.077689718522165e-11,0.17
1.125e-06,9.498761729018554e-11,0.111
1.445e-06,1.4910299917011392e-10,0.0952
1.855e-06,1.734574518708879e-10,0.0904
2.382e-06,2.5190060110314426e-10,0.0776
3.059e-06,3.314555163056649e-10,0.0651
3.928e-06,5.006752350349286e-10,0.06
5.043e-06,6.789870292262117e-10,0.051
6.476e-06,9.475737965108569e-10,0.0477
8.315e-06,1.2425643689515768e-09,0.0441
1.068e-05,1.6212744595485725e-09,0.0357
1.371e-05,2.180785581655174e-09,0.0365
1.76e-05,2.600513016894348e-09,0.03
2.26e-05,3.267697334400309e-09,0.0289
2.902e-05,4.067185043560895e-09,0.0251
3.727e-05,4.742939891301916e-09,0.0242
4.785e-05,5.730895712300587e-09,0.0221
6.144e-05,6.215609346865034e-09,0.0211
7.889e-05,6.229884761324157e-09,0.0208
0.0001013,5.334238622545135e-09,0.0217
0.0001301,2.6663618723826273e-09,0.0277
0.000167,5.99878825394497e-10,0.047
0.0002145,3.885713608926224e-09,0.0237
0.0002754,1.5983564134512997e-08,0.0136
0.0003536,1.834111388531895e-08,0.0122
0.000454,1.6569101868462348e-08,0.0113
0.0005829,1.8176889518745263e-08,0.0099
0.0007485,4.731348527658897e-08,0.0061
0.0009611,3.221354478029082e-08,0.0085
0.001234,7.063479014333737e-08,0.0056
0.001585,9.093833240143308e-08,0.0051
0.002035,1.6081898680923662e-07,0.003
0.002249,8.873400287861964e-08,0.0079
0.002485,3.8742326357688745e-07,0.0029
0.002613,2.57603945488709e-07,0.006
0.002747,2.6939785439089386e-07,0.0054
0.003035,2.0094578347355125e-07,0.0046
0.003355,1.9919923278689578e-07,0.0048
0.003707,4.991232248080573e-07,0.0027
0.004307,3.3279188542767563e-07,0.0028
0.005531,6.093703790552678e-07,0.0015
0.007102,8.167385062969687e-07,0.0013
0.009119,1.7854843105143742e-06,0.0009
0.01059,1.4633098254664185e-06,0.0013
0.01171,1.2645099344840617e-06,0.0017
0.01503,1.4062377084573272e-06,0.001
0.0193,2.2245897532602532e-06,0.0008
0.02187,2.9029666054924555e-06,0.001
0.02358,3.3417079299732256e-06,0.0012
0.02418,3.5443816191614244e-06,0.002
0.02479,3.687655655419436e-06,0.002
0.02606,3.940195570473889e-06,0.0014
0.027,4.198610535258487e-06,0.0015
0.0285,4.443043203554941e-06,0.0013
0.03183,4.88600739749413e-06,0.0008
0.03431,5.504613159133173e-06,0.001
