Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,5.2154e-13,1.0
6.144e-05,0.0,0.0
7.889e-05,0.0,0.0
0.0001013,0.0,0.0
0.0001301,0.0,0.0
0.000167,3.1797e-13,1.0
0.0002145,0.0,0.0
0.0002754,3.7014e-12,1.0
0.0003536,0.0,0.0
0.000454,0.0,0.0
0.0005829,3.77978e-13,0.7267
0.0007485,6.25123e-13,0.7433
0.0009611,2.41447e-12,0.3847
0.001234,4.4817e-12,0.2634
0.001585,9.97991e-12,0.233
0.002035,1.08319e-11,0.2216
0.002249,8.58655e-12,0.244
0.002485,9.35384e-12,0.2178
0.002613,8.30183e-12,0.4636
0.002747,7.50765e-12,0.224
0.003035,1.57022e-11,0.1793
0.003355,1.87969e-11,0.1655
0.003707,1.8602e-11,0.1373
0.004307,5.28922e-11,0.2297
0.005531,1.20732e-10,0.0894
0.007102,1.98413e-10,0.0617
0.009119,3.43425e-10,0.0383
0.01059,3.67373e-10,0.0429
0.01171,3.15987e-10,0.0386
0.01503,1.28201e-09,0.0317
0.0193,2.2257e-09,0.0242
0.02187,1.62149e-09,0.0223
0.02358,1.23141e-09,0.0218
0.02418,4.67296e-10,0.0323
0.02479,5.29264e-10,0.065
0.02606,1.02537e-09,0.0221
0.027,7.6915e-10,0.0236
0.0285,1.33799e-09,0.0193
0.03183,3.33522e-09,0.0144
0.03431,2.74928e-09,0.0176
0.04087,8.02342e-09,0.0085
0.04631,7.25639e-09,0.0101
0.05248,7.97167e-09,0.0083
0.05656,5.40315e-09,0.0111
0.06738,1.57225e-08,0.0063
0.07202,7.38727e-09,0.0094
0.0795,1.26084e-08,0.0075
0.0825,5.28589e-09,0.0102
0.08652,7.26932e-09,0.0088
0.09804,2.26671e-08,0.0055
0.1111,2.76784e-08,0.0047
0.1168,1.25362e-08,0.0074
0.1228,1.34015e-08,0.0069
0.1291,1.41218e-08,0.007
0.1357,1.51027e-08,0.0064
0.1426,1.57224e-08,0.0063
0.15,1.72385e-08,0.0059
0.1576,1.80775e-08,0.0059
0.1657,1.94463e-08,0.0055
0.1742,2.07432e-08,0.0054
0.1832,2.20942e-08,0.0054
0.1925,2.2839e-08,0.0053
0.2024,2.44732e-08,0.0052
0.2128,2.54237e-08,0.0083
0.2237,2.62239e-08,0.0048
0.2352,2.73625e-08,0.0051
0.2472,2.77399e-08,0.0048
0.2732,5.8048e-08,0.0034
0.2872,2.96879e-08,0.0048
0.2945,1.48629e-08,0.0066
0.2972,5.4684e-09,0.013
0.2985,2.56725e-09,0.0152
0.302,6.83133e-09,0.0093
0.3337,6.10885e-08,0.0037
0.3688,6.10755e-08,0.0035
0.3877,2.96628e-08,0.0053
0.4076,2.87269e-08,0.0053
0.4505,5.59196e-08,0.0039
0.4979,5.24456e-08,0.004
0.5234,2.58042e-08,0.0059
0.5502,2.53884e-08,0.0064
0.5784,2.42266e-08,0.0063
0.6081,2.37483e-08,0.0063
0.6393,2.314e-08,0.0062
0.6721,2.28289e-08,0.0065
0.7065,2.28906e-08,0.0064
0.7427,2.26056e-08,0.0065
0.7808,2.26595e-08,0.0067
0.8209,2.25126e-08,0.0073
0.8629,2.2475e-08,0.0066
0.9072,2.26911e-08,0.0065
0.9617,2.6271e-08,0.0062
1.003,1.86374e-08,0.0071
1.108,4.27811e-08,0.0047
1.165,2.10643e-08,0.0064
1.225,2.08792e-08,0.0066
1.287,2.02121e-08,0.0067
1.353,2.01721e-08,0.0073
1.423,2.0382e-08,0.0068
1.496,1.96364e-08,0.0069
1.572,1.86545e-08,0.007
1.653,1.82274e-08,0.0071
1.738,1.79122e-08,0.0086
1.827,1.69484e-08,0.0079
1.921,1.66274e-08,0.0073
2.019,1.57349e-08,0.0081
2.122,1.49232e-08,0.0075
2.231,1.43726e-08,0.0077
2.307,9.38214e-09,0.0098
2.346,4.49396e-09,0.0144
2.365,2.22306e-09,0.02
2.385,2.20259e-09,0.0189
2.466,8.70878e-09,0.0104
2.592,1.24151e-08,0.0083
2.725,1.18999e-08,0.0084
2.865,1.1564e-08,0.0084
3.012,1.1033e-08,0.0087
3.166,1.0674e-08,0.0089
3.329,1.03886e-08,0.0088
3.679,2.00689e-08,0.0077
4.066,1.89976e-08,0.0065
4.493,1.74671e-08,0.0065
4.724,8.36887e-09,0.0091
4.966,8.32822e-09,0.0098
5.22,8.03892e-09,0.01
5.488,7.86939e-09,0.0096
5.77,7.75613e-09,0.0098
6.065,7.73542e-09,0.0095
6.376,8.0757e-09,0.0099
6.592,5.4628e-09,0.0112
6.703,2.77174e-09,0.0155
7.047,8.51681e-09,0.009
7.408,8.98553e-09,0.0085
7.788,9.63573e-09,0.0084
8.187,9.81144e-09,0.0085
8.607,1.03064e-08,0.0077
9.048,1.07948e-08,0.0079
9.512,1.16218e-08,0.0076
10.0,1.51165e-08,0.0066
10.51,2.40377e-08,0.0051
11.05,2.54791e-08,0.005
11.62,2.66538e-08,0.0047
12.21,2.77793e-08,0.0046
12.52,1.4885e-08,0.0063
12.84,1.52681e-08,0.006
13.5,3.21211e-08,0.0042
13.84,1.42492e-08,0.0059
14.19,4.36407e-09,0.0109
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
