Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,2.83643e-12,0.5123
1.76e-05,6.84217e-12,0.2478
2.26e-05,2.56962e-11,0.1531
2.902e-05,2.82038e-11,0.1137
3.727e-05,5.13813e-11,0.0861
4.785e-05,9.76166e-11,0.0771
6.144e-05,6.94968e-11,0.209
7.889e-05,4.37285e-11,0.1116
0.0001013,6.64936e-11,0.1025
0.0001301,2.20642e-11,0.138
0.000167,7.47468e-11,0.077
0.0002145,5.37429e-11,0.083
0.0002754,1.24212e-10,0.0587
0.0003536,3.8543e-10,0.0304
0.000454,3.99429e-10,0.03
0.0005829,4.39432e-10,0.0363
0.0007485,3.80323e-09,0.01
0.0009611,1.13781e-08,0.0055
0.001234,5.39502e-09,0.0101
0.001585,8.5131e-09,0.0081
0.002035,8.87973e-09,0.0074
0.002249,3.1304e-09,0.0131
0.002485,2.76018e-09,0.0134
0.002613,1.24773e-09,0.0221
0.002747,9.3862e-10,0.0254
0.003035,3.06797e-09,0.0129
0.003355,1.01169e-08,0.0059
0.003707,1.14133e-08,0.0055
0.004307,2.03336e-08,0.0042
0.005531,4.28961e-08,0.0031
0.007102,5.5974e-08,0.0026
0.009119,7.3356e-08,0.0022
0.01059,5.52012e-08,0.0026
0.01171,4.15428e-08,0.003
0.01503,1.28215e-07,0.0017
0.0193,1.67985e-07,0.0015
0.02187,1.11309e-07,0.0018
0.02358,7.55246e-08,0.0023
0.02418,2.69861e-08,0.0038
0.02479,2.78006e-08,0.0038
0.02606,5.8713e-08,0.0027
0.027,4.30107e-08,0.003
0.0285,6.94471e-08,0.0024
0.03183,1.55418e-07,0.0016
0.03431,1.1321e-07,0.0019
0.04087,3.03355e-07,0.0012
0.04631,2.49392e-07,0.0013
0.05248,2.85289e-07,0.0012
0.05656,1.86563e-07,0.0016
0.06738,4.78004e-07,0.001
0.07202,1.87034e-07,0.0016
0.0795,2.87489e-07,0.0013
0.0825,1.06902e-07,0.0022
0.08652,1.34915e-07,0.0019
0.09804,2.21809e-07,0.0016
0.1111,1.94784e-07,0.0017
0.1168,7.91036e-08,0.0028
0.1228,7.97933e-08,0.0028
0.1291,8.02778e-08,0.0028
0.1357,8.00598e-08,0.0028
0.1426,8.04351e-08,0.0028
0.15,8.30786e-08,0.0028
0.1576,8.14156e-08,0.0029
0.1657,8.18243e-08,0.0028
0.1742,8.24306e-08,0.0029
0.1832,8.27567e-08,0.0029
0.1925,8.18545e-08,0.003
0.2024,8.28443e-08,0.003
0.2128,8.22803e-08,0.0031
0.2237,8.1603e-08,0.0033
0.2352,8.08569e-08,0.0031
0.2472,7.90547e-08,0.0031
0.2732,1.55386e-07,0.0023
0.2872,7.56448e-08,0.0033
0.2945,3.77335e-08,0.0047
0.2972,1.36401e-08,0.0087
0.2985,6.5277e-09,0.011
0.302,1.74976e-08,0.0082
0.3337,1.44638e-07,0.0024
0.3688,1.37601e-07,0.0025
0.3877,6.59556e-08,0.0036
0.4076,6.37098e-08,0.0037
0.4505,1.19794e-07,0.0027
0.4979,1.08407e-07,0.0028
0.5234,5.07676e-08,0.0042
0.5502,4.7266e-08,0.0042
0.5784,4.41336e-08,0.0045
0.6081,4.1539e-08,0.0048
0.6393,3.85543e-08,0.0047
0.6721,3.6116e-08,0.0051
0.7065,3.29136e-08,0.0052
0.7427,3.00282e-08,0.0056
0.7808,2.71341e-08,0.0057
0.8209,2.49003e-08,0.006
0.8629,2.21563e-08,0.0062
0.9072,1.97879e-08,0.0068
0.9617,2.03793e-08,0.0067
1.003,1.28068e-08,0.0095
1.108,2.51381e-08,0.0062
1.165,9.91746e-09,0.0098
1.225,8.18012e-09,0.0111
1.287,6.70308e-09,0.0118
1.353,5.41397e-09,0.0137
1.423,4.57298e-09,0.015
1.496,3.70858e-09,0.0168
1.572,3.2491e-09,0.0172
1.653,3.10183e-09,0.0215
1.738,2.59713e-09,0.0222
1.827,2.33187e-09,0.0216
1.921,2.10916e-09,0.0298
2.019,1.83518e-09,0.0223
2.122,1.74594e-09,0.0248
2.231,1.68734e-09,0.0299
2.307,1.09051e-09,0.0332
2.346,5.01722e-10,0.0408
2.365,2.24079e-10,0.0639
2.385,2.32096e-10,0.0713
2.466,8.83465e-10,0.0328
2.592,1.34511e-09,0.0267
2.725,1.29883e-09,0.0293
2.865,1.22733e-09,0.0284
3.012,1.2299e-09,0.0303
3.166,1.17223e-09,0.032
3.329,1.1573e-09,0.0273
3.679,2.23797e-09,0.0197
4.066,2.03673e-09,0.0213
4.493,2.11966e-09,0.0197
4.724,1.03124e-09,0.0272
4.966,1.0683e-09,0.0309
5.22,1.06923e-09,0.0341
5.488,1.08066e-09,0.0268
5.77,1.13862e-09,0.0255
6.065,1.19487e-09,0.0253
6.376,1.28647e-09,0.0257
6.592,8.39764e-10,0.0296
6.703,4.58591e-10,0.042
7.047,1.36246e-09,0.029
7.408,1.38194e-09,0.0238
7.788,1.41541e-09,0.0219
8.187,1.42241e-09,0.0222
8.607,1.46978e-09,0.0228
9.048,1.53065e-09,0.0239
9.512,1.72893e-09,0.0201
10.0,2.21347e-09,0.0179
10.51,3.75768e-09,0.0132
11.05,4.08814e-09,0.0127
11.62,4.41088e-09,0.0121
12.21,4.78148e-09,0.0117
12.52,2.59161e-09,0.0153
12.84,2.67367e-09,0.0151
13.5,5.70191e-09,0.0106
13.84,2.76173e-09,0.0145
14.19,7.26946e-10,0.027
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
