Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,1.2681652979742845e-12,1.0
5.043e-06,0.0,0.0
6.476e-06,1.3708372866363591e-12,1.0
8.315e-06,1.82713039639652e-12,1.0
1.068e-05,5.6833535199948614e-12,0.5146
1.371e-05,8.162075229372012e-12,0.4306
1.76e-05,2.8294445126460048e-11,0.3099
2.26e-05,5.993337257693059e-11,0.1927
2.902e-05,1.8119798499917944e-10,0.1485
3.727e-05,4.678392424170774e-10,0.0785
4.785e-05,1.3618565933303576e-09,0.0469
6.144e-05,2.6103967192965527e-09,0.034
7.889e-05,5.738391762843391e-09,0.0244
0.0001013,1.0501338594811608e-08,0.0195
0.0001301,1.6727921885854182e-08,0.0143
0.000167,2.5622968727615543e-08,0.0125
0.0002145,3.507639382764498e-08,0.012
0.0002754,4.30030471945447e-08,0.0116
0.0003536,4.6875723080568705e-08,0.0113
0.000454,4.8981945020780055e-08,0.0138
0.0005829,4.0341159768771654e-08,0.0121
0.0007485,2.8130308454354283e-08,0.0144
0.0009611,1.4117750135197299e-08,0.0239
0.001234,7.746289054146245e-09,0.022
0.001585,1.0688769508429732e-07,0.0076
0.002035,8.096268943169878e-08,0.0094
0.002249,5.142001703244467e-08,0.0155
0.002485,3.6161629126034156e-08,0.0171
0.002613,2.7739237238682146e-08,0.0445
0.002747,6.46557250038062e-08,0.0196
0.003035,7.705952397437744e-08,0.0112
0.003355,7.465457079084607e-08,0.0115
0.003707,5.153714081671884e-07,0.0043
0.004307,8.456480112370799e-07,0.0027
0.005531,1.2303108793346922e-06,0.0018
0.007102,1.7912960864240926e-06,0.0014
0.009119,2.428082170802491e-06,0.0012
0.01059,3.124660425847792e-06,0.0015
0.01171,3.634895353618149e-06,0.0016
0.01503,4.381281967133846e-06,0.001
0.0193,5.767887410030422e-06,0.001
0.02187,6.822533874595511e-06,0.0011
0.02358,7.32718618130777e-06,0.0014
0.02418,7.76019371229668e-06,0.0024
0.02479,7.884163568044788e-06,0.0025
0.02606,8.076202990493115e-06,0.0017
0.027,8.25304278443738e-06,0.002
0.0285,8.551114504088176e-06,0.0016
0.03183,9.079124036367534e-06,0.0011
0.03431,9.454412146126234e-06,0.0013
0.04087,9.752317412061601e-06,0.0009
0.04631,1.0080774965942943e-05,0.001
0.05248,1.0126067210700587e-05,0.0011
0.05656,1.0027223638639841e-05,0.0014
0.06738,9.535881634140285e-06,0.001
0.07202,8.709191353569025e-06,0.0017
0.0795,7.891397996553152e-06,0.0015
0.0825,7.223186134344904e-06,0.0027
0.08652,6.6636179101264425e-06,0.0024
0.09804,5.293145796491407e-06,0.0017
0.1111,2.8081133302994157e-06,0.0025
0.1168,2.3677869172347957e-06,0.0043
0.1228,2.1378831177739335e-06,0.0046
0.1291,1.96972305143345e-06,0.0046
0.1357,1.8170743743032619e-06,0.0048
0.1426,1.6998487822684137e-06,0.0056
0.15,1.5874019512923691e-06,0.0054
0.1576,1.472845156105061e-06,0.0056
0.1657,1.3734980243619775e-06,0.0057
0.1742,1.3026170445177387e-06,0.0059
0.1832,1.225438217107164e-06,0.0061
0.1925,1.1833303695331258e-06,0.0063
0.2024,1.1526610037352247e-06,0.0063
0.2128,1.1439301064809795e-06,0.0061
0.2237,1.1118606800726936e-06,0.0065
0.2352,1.0971318315488378e-06,0.0066
0.2472,1.0697484958091271e-06,0.007
0.2732,1.0449231028411553e-06,0.0047
0.2872,9.92423978420424e-07,0.0066
0.2945,9.853679884516175e-07,0.01
0.2972,9.73954450547589e-07,0.0158
0.2985,9.523257489599276e-07,0.0227
0.302,9.872537132526671e-07,0.0144
0.3337,9.718613633554227e-07,0.005
0.3688,9.502889587303232e-07,0.005
0.3877,9.288567164643577e-07,0.0082
0.4076,9.066165735781463e-07,0.0074
0.4505,8.684956311827869e-07,0.0051
0.4979,8.218126055127785e-07,0.0052
0.5234,7.690952949461145e-07,0.0077
0.5502,7.247557399361293e-07,0.0076
0.5784,7.00012491084396e-07,0.0079
0.6081,6.689902925566062e-07,0.0084
0.6393,6.268156771212949e-07,0.0083
0.6721,5.771534864582497e-07,0.0083
0.7065,5.440352921888621e-07,0.0087
0.7427,4.992796277551955e-07,0.0096
0.7808,4.372113012691448e-07,0.0102
0.8209,4.141805549015143e-07,0.0103
0.8629,3.6786605065315366e-07,0.0105
0.9072,3.278954841458413e-07,0.0108
0.9617,2.871084926562082e-07,0.0112
1.003,2.632333954723529e-07,0.0133
1.108,2.3314632738658863e-07,0.0092
1.165,1.9969102176004344e-07,0.0142
1.225,1.8481789953456497e-07,0.0157
1.287,1.6970379843483085e-07,0.0146
1.353,1.597513059917731e-07,0.015
1.423,1.4902710946761473e-07,0.0166
1.496,1.442824702195412e-07,0.0178
1.572,1.295575339788456e-07,0.0321
1.653,1.2124206088662197e-07,0.0191
1.738,1.1091332647726893e-07,0.0186
1.827,9.926502060240532e-08,0.0187
1.921,8.925006736301699e-08,0.0196
2.019,8.602461636743306e-08,0.0204
2.122,8.168548013958697e-08,0.0231
2.231,7.226885098954613e-08,0.0226
2.307,6.73203089414682e-08,0.0264
2.346,6.69729977427735e-08,0.0777
2.365,6.301064706328614e-08,0.0591
2.385,6.212381412475651e-08,0.0519
2.466,5.929766371715367e-08,0.0293
2.592,5.849811640016977e-08,0.0247
2.725,5.533202875656318e-08,0.0243
2.865,5.12208381754039e-08,0.0263
3.012,4.4921692524527903e-08,0.025
3.166,4.3155821495839646e-08,0.028
3.329,3.9525727810650085e-08,0.0274
3.679,3.573467148396168e-08,0.02
4.066,2.6158298174658287e-08,0.0231
4.493,1.9960962728591308e-08,0.0273
4.724,1.910192232900902e-08,0.0377
4.966,2.1162442613899897e-08,0.0355
5.22,2.1291142714980823e-08,0.0369
5.488,2.261872228852687e-08,0.0394
5.77,2.3907868108880238e-08,0.0331
6.065,2.43676295611206e-08,0.0353
6.376,2.5847292016060178e-08,0.0313
6.592,2.8479326450453085e-08,0.0382
6.703,2.827301704989948e-08,0.052
7.047,2.900464760713434e-08,0.029
7.408,2.956213479875033e-08,0.0291
7.788,3.1368200378871806e-08,0.0298
8.187,3.1432581690475804e-08,0.0291
8.607,3.348085300246284e-08,0.0281
9.048,3.573913512787411e-08,0.0283
9.512,3.833381079325145e-08,0.0251
10.0,5.134223599046094e-08,0.0214
10.51,8.96476169403907e-08,0.0161
11.05,9.876187041630257e-08,0.0154
11.62,1.0888511799947089e-07,0.0151
12.21,1.2173349215125034e-07,0.0144
12.52,1.2476548837423617e-07,0.0192
12.84,1.327113458312876e-07,0.018
13.5,1.418054244555805e-07,0.0129
13.84,1.290638777375327e-07,0.018
14.19,3.1554573938094905e-08,0.0347
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
