Energy,Value,Error
0.01,3.32523e-11,1.0
0.02,0.0,0.0
0.05,1.9154e-10,0.7275
0.1,1.18384e-09,0.1383
0.2,5.39326e-10,0.3515
0.3,2.93895e-09,0.1786
0.4,5.08113e-09,0.0811
0.6,2.84388e-08,0.0534
0.8,2.03456e-08,0.0843
1.0,1.99848e-08,0.0509
1.22,2.27181e-08,0.051
1.44,2.1523e-08,0.0616
1.66,2.1174e-08,0.0704
2.0,2.89455e-08,0.0786
2.5,2.98633e-08,0.0602
3.0,1.96896e-08,0.0662
4.0,2.10847e-08,0.0749
5.0,6.6958e-09,0.1426
6.5,1.58414e-09,0.1555
8.0,0.0,0.0
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
