Energy,Value,Error
0.01,0.0,0.0
0.02,0.0,0.0
0.05,1.08101e-10,0.596
0.1,3.9638999999999995e-09,0.1418
0.2,1.40943e-09,0.1698
0.3,3.6574900000000008e-09,0.0918
0.4,6.510159999999997e-09,0.056
0.6,1.3400450000000004e-08,0.0285
0.8,1.0571199999999997e-08,0.0299
1.0,9.509800000000001e-09,0.0327
1.22,9.036409090909092e-09,0.0317
1.44,8.592136363636365e-09,0.0354
1.66,7.905772727272727e-09,0.0342
2.0,7.163676470588233e-09,0.0337
2.5,5.60934e-09,0.0312
3.0,3.99716e-09,0.0362
4.0,2.33353e-09,0.0305
5.0,9.23038e-10,0.0418
6.5,2.7269e-10,0.075
8.0,7.722333333333334e-13,1.0
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
