Energy,Value,Error
0.01,3.5676200356762e-09,0.6882
0.02,0.0,0.0
0.05,3.1690266666666667e-10,0.5352
0.1,1.530976e-08,0.1476
0.2,4.97598e-09,0.2656
0.3,2.9469200000000005e-08,0.1228
0.4,4.945109999999998e-08,0.0786
0.6,1.0649850000000002e-07,0.053
0.8,8.108199999999997e-08,0.0478
1.0,8.606400000000001e-08,0.0554
1.22,6.950363636363637e-08,0.0443
1.44,6.537045454545456e-08,0.0469
1.66,7.035181818181818e-08,0.0955
2.0,5.530382352941175e-08,0.0481
2.5,4.02828e-08,0.0676
3.0,2.68546e-08,0.0543
4.0,1.35266e-08,0.0747
5.0,4.99887e-09,0.0811
6.5,6.215186666666667e-10,0.162
8.0,0.0,0.0
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
