Energy,Value,Error
0.01,8.74285e-12,0.6716
0.02,0.0,0.0
0.05,1.76925e-10,0.7014
0.1,5.46533e-10,0.1558
0.2,3.00302e-10,0.3005
0.3,2.29165e-09,0.1585
0.4,3.2777e-09,0.094
0.6,1.87451e-08,0.0716
0.8,1.16916e-08,0.0588
1.0,1.52162e-08,0.0761
1.22,1.49962e-08,0.059
1.44,1.54856e-08,0.0709
1.66,1.41563e-08,0.0885
2.0,2.02696e-08,0.0602
2.5,2.13572e-08,0.0635
3.0,1.41573e-08,0.0638
4.0,1.39687e-08,0.0669
5.0,3.50577e-09,0.1158
6.5,2.50775e-10,0.2872
8.0,0.0,0.0
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
