Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,0.0,0.0
0.0001013,0.0,0.0
0.0001301,3.94682e-13,1.0
0.000167,0.0,0.0
0.0002145,0.0,0.0
0.0002754,0.0,0.0
0.0003536,0.0,0.0
0.000454,0.0,0.0
0.0005829,0.0,0.0
0.0007485,0.0,0.0
0.0009611,0.0,0.0
0.001234,0.0,0.0
0.001585,0.0,0.0
0.002035,0.0,0.0
0.002249,0.0,0.0
0.002485,0.0,0.0
0.002613,3.05803e-13,1.0
0.002747,0.0,0.0
0.003035,0.0,0.0
0.003355,3.68933e-13,1.0
0.003707,2.90395e-13,1.0
0.004307,0.0,0.0
0.005531,0.0,0.0
0.007102,6.54486e-12,0.3045
0.009119,8.1659e-12,0.2581
0.01059,9.05722e-12,0.2671
0.01171,8.16794e-12,0.321
0.01503,3.41239e-11,0.129
0.0193,7.31108e-11,0.0986
0.02187,6.70844e-11,0.1216
0.02358,4.90061e-11,0.1208
0.02418,2.67508e-11,0.2891
0.02479,1.60492e-11,0.1889
0.02606,6.54499e-11,0.1827
0.027,4.04548e-11,0.1989
0.0285,6.9008e-11,0.1083
0.03183,1.60165e-10,0.0907
0.03431,1.2557e-10,0.0842
0.04087,4.13702e-10,0.0478
0.04631,3.97147e-10,0.046
0.05248,4.93111e-10,0.0402
0.05656,3.78516e-10,0.0523
0.06738,1.13516e-09,0.0294
0.07202,4.84595e-10,0.0399
0.0795,7.67827e-10,0.031
0.0825,3.17382e-10,0.0481
0.08652,4.14409e-10,0.0472
0.09804,1.15612e-09,0.0292
0.1111,1.28337e-09,0.0264
0.1168,5.37625e-10,0.0511
0.1228,5.43228e-10,0.0388
0.1291,5.372e-10,0.043
0.1357,5.05411e-10,0.0409
0.1426,5.10717e-10,0.041
0.15,5.70728e-10,0.0816
0.1576,5.57415e-10,0.051
0.1657,5.6586e-10,0.0429
0.1742,5.31473e-10,0.0572
0.1832,4.65896e-10,0.0429
0.1925,4.36279e-10,0.0444
0.2024,4.80636e-10,0.063
0.2128,4.30123e-10,0.057
0.2237,4.20069e-10,0.0581
0.2352,4.09035e-10,0.0514
0.2472,3.98466e-10,0.0475
0.2732,8.10191e-10,0.0418
0.2872,4.19171e-10,0.0492
0.2945,1.9666e-10,0.0849
0.2972,7.50787e-11,0.1114
0.2985,3.59707e-11,0.2456
0.302,9.79809e-11,0.0983
0.3337,8.27512e-10,0.0466
0.3688,8.01824e-10,0.0469
0.3877,3.77612e-10,0.0603
0.4076,3.41741e-10,0.0617
0.4505,6.53929e-10,0.0508
0.4979,6.16473e-10,0.0533
0.5234,2.79671e-10,0.0712
0.5502,2.84666e-10,0.0754
0.5784,2.3544e-10,0.0726
0.6081,2.26346e-10,0.0771
0.6393,2.28143e-10,0.0831
0.6721,2.2201e-10,0.0801
0.7065,1.65507e-10,0.0852
0.7427,1.72345e-10,0.0903
0.7808,1.6755e-10,0.0954
0.8209,1.49138e-10,0.1007
0.8629,1.37174e-10,0.157
0.9072,1.43202e-10,0.094
0.9617,1.71604e-10,0.1001
1.003,9.32179e-11,0.1111
1.108,2.42582e-10,0.0754
1.165,1.2222e-10,0.1187
1.225,1.0193e-10,0.1097
1.287,1.00012e-10,0.1315
1.353,9.44755e-11,0.1262
1.423,7.48241e-11,0.1371
1.496,9.24111e-11,0.1233
1.572,6.02728e-11,0.138
1.653,6.93322e-11,0.2167
1.738,6.27619e-11,0.1641
1.827,5.98756e-11,0.1521
1.921,5.8378e-11,0.1584
2.019,4.14733e-11,0.1876
2.122,5.86156e-11,0.1859
2.231,5.18287e-11,0.1901
2.307,3.27266e-11,0.2109
2.346,3.91098e-11,0.3971
2.365,1.19691e-11,0.5307
2.385,7.39577e-12,0.4126
2.466,2.51653e-11,0.2002
2.592,4.4663e-11,0.1802
2.725,3.22434e-11,0.2124
2.865,3.51559e-11,0.1751
3.012,3.08458e-11,0.202
3.166,3.12924e-11,0.1809
3.329,3.05566e-11,0.2365
3.679,7.61127e-11,0.1553
4.066,4.15194e-11,0.1701
4.493,3.37139e-11,0.1902
4.724,2.3532e-11,0.3001
4.966,2.54355e-11,0.2172
5.22,1.04057e-11,0.3047
5.488,2.06071e-11,0.2219
5.77,1.5696e-11,0.2584
6.065,2.53716e-11,0.2455
6.376,2.16849e-11,0.2246
6.592,2.21835e-11,0.2134
6.703,8.64973e-12,0.3713
7.047,2.3268e-11,0.2158
7.408,3.1139e-11,0.1898
7.788,2.68104e-11,0.1924
8.187,2.21657e-11,0.2048
8.607,2.84605e-11,0.1896
9.048,2.84857e-11,0.1887
9.512,4.9556e-11,0.1442
10.0,4.9275e-11,0.1487
10.51,1.007e-10,0.0977
11.05,1.16566e-10,0.0975
11.62,1.17547e-10,0.095
12.21,1.21437e-10,0.0918
12.52,8.16173e-11,0.1151
12.84,7.58266e-11,0.1158
13.5,1.72645e-10,0.0775
13.84,8.56751e-11,0.1038
14.19,2.69286e-11,0.1836
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
