Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,1.31375e-12,0.5096
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,8.35073e-13,0.5928
0.0001013,2.35875e-13,1.0
0.0001301,1.85816e-11,0.1584
0.000167,0.0,0.0
0.0002145,1.50926e-12,0.4588
0.0002754,1.97945e-12,0.3837
0.0003536,2.44654e-11,0.1554
0.000454,1.1189e-10,0.0605
0.0005829,4.99016e-10,0.0317
0.0007485,9.78577e-11,0.0648
0.0009611,7.67926e-10,0.0236
0.001234,3.81522e-10,0.0458
0.001585,4.52706e-09,0.0102
0.002035,1.43951e-09,0.0196
0.002249,1.93672e-09,0.0154
0.002485,3.45931e-10,0.0407
0.002613,7.45233e-10,0.0286
0.002747,3.68209e-10,0.0356
0.003035,1.65745e-09,0.0196
0.003355,1.00329e-08,0.0064
0.003707,1.54176e-10,0.0624
0.004307,3.55888e-10,0.0393
0.005531,7.69537e-10,0.0254
0.007102,7.94503e-10,0.0247
0.009119,8.31724e-10,0.0267
0.01059,8.20472e-10,0.0256
0.01171,8.547e-10,0.0274
0.01503,2.10687e-09,0.0184
0.0193,2.5029e-09,0.0155
0.02187,9.80628e-10,0.025
0.02358,5.61532e-10,0.0318
0.02418,2.54141e-10,0.0483
0.02479,1.55594e-10,0.0898
0.02606,4.00148e-10,0.0506
0.027,4.02214e-10,0.0367
0.0285,3.3121e-10,0.0394
0.03183,6.83047e-10,0.0308
0.03431,4.61358e-10,0.039
0.04087,1.30058e-09,0.0245
0.04631,1.21674e-09,0.0441
0.05248,1.31468e-09,0.023
0.05656,8.50482e-10,0.0276
0.06738,2.46437e-09,0.0181
0.07202,1.04336e-09,0.0256
0.0795,1.71283e-09,0.02
0.0825,6.81728e-10,0.0334
0.08652,1.00679e-09,0.0434
0.09804,2.70706e-09,0.0153
0.1111,3.23752e-09,0.0158
0.1168,1.50315e-09,0.0228
0.1228,1.58284e-09,0.0372
0.1291,1.61112e-09,0.0204
0.1357,1.72173e-09,0.0242
0.1426,1.83599e-09,0.0244
0.15,2.03865e-09,0.0209
0.1576,2.06197e-09,0.0207
0.1657,2.15475e-09,0.0174
0.1742,2.34151e-09,0.0188
0.1832,2.40006e-09,0.016
0.1925,2.59903e-09,0.0167
0.2024,2.71243e-09,0.0167
0.2128,2.88773e-09,0.0186
0.2237,2.92001e-09,0.0147
0.2352,3.12013e-09,0.0168
0.2472,3.16804e-09,0.0149
0.2732,6.40789e-09,0.01
0.2872,3.20379e-09,0.0146
0.2945,1.67183e-09,0.0199
0.2972,6.40759e-10,0.0617
0.2985,2.76278e-10,0.0473
0.302,7.98049e-10,0.0311
0.3337,6.3368e-09,0.011
0.3688,5.96256e-09,0.0113
0.3877,2.78158e-09,0.0162
0.4076,2.6794e-09,0.0165
0.4505,5.36764e-09,0.0126
0.4979,5.26935e-09,0.0121
0.5234,2.57167e-09,0.0187
0.5502,2.5304e-09,0.0174
0.5784,2.45052e-09,0.0177
0.6081,2.39683e-09,0.0182
0.6393,2.30216e-09,0.0184
0.6721,2.28157e-09,0.0199
0.7065,2.0777e-09,0.0195
0.7427,2.0998e-09,0.0193
0.7808,2.03181e-09,0.0195
0.8209,1.92491e-09,0.0195
0.8629,1.95009e-09,0.0212
0.9072,1.86546e-09,0.0388
0.9617,1.96083e-09,0.0204
1.003,1.36833e-09,0.0331
1.108,2.84895e-09,0.017
1.165,1.35118e-09,0.0273
1.225,1.20032e-09,0.0268
1.287,1.02986e-09,0.0266
1.353,9.78166e-10,0.0295
1.423,8.30661e-10,0.0312
1.496,7.47571e-10,0.0325
1.572,6.56709e-10,0.0369
1.653,5.80931e-10,0.0395
1.738,5.27758e-10,0.0406
1.827,4.46581e-10,0.0452
1.921,3.83778e-10,0.0475
2.019,2.90686e-10,0.059
2.122,2.52089e-10,0.0612
2.231,2.14369e-10,0.0794
2.307,1.43521e-10,0.1053
2.346,6.48398e-11,0.1461
2.365,2.69531e-11,0.233
2.385,3.51031e-11,0.1498
2.466,1.242e-10,0.0946
2.592,1.55876e-10,0.082
2.725,1.51018e-10,0.0799
2.865,1.51653e-10,0.0899
3.012,1.27204e-10,0.0935
3.166,1.10194e-10,0.0988
3.329,8.29058e-11,0.1102
3.679,1.49216e-10,0.0861
4.066,1.51722e-10,0.0917
4.493,1.28391e-10,0.0882
4.724,5.51017e-11,0.1332
4.966,5.79525e-11,0.1413
5.22,4.94289e-11,0.1674
5.488,5.07035e-11,0.1479
5.77,4.83426e-11,0.1359
6.065,6.09187e-11,0.152
6.376,6.70058e-11,0.1172
6.592,4.49914e-11,0.1367
6.703,2.76754e-11,0.186
7.047,7.43041e-11,0.114
7.408,9.24826e-11,0.1007
7.788,7.58085e-11,0.11
8.187,7.99728e-11,0.1115
8.607,8.43977e-11,0.1138
9.048,1.10887e-10,0.0909
9.512,1.1225e-10,0.1105
10.0,1.46325e-10,0.0829
10.51,1.89318e-10,0.0673
11.05,2.20144e-10,0.067
11.62,2.19322e-10,0.0631
12.21,3.06079e-10,0.0592
12.52,1.65611e-10,0.0749
12.84,1.49139e-10,0.0762
13.5,3.48054e-10,0.0482
13.84,1.45746e-10,0.0739
14.19,3.60071e-11,0.1411
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
