Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,3.121130476433892e-12,0.5985
1.855e-06,2.9173172154109915e-12,0.5975
2.382e-06,9.555828099578218e-12,0.2946
3.059e-06,9.446423049641141e-12,0.3109
3.928e-06,2.0127072460591754e-11,0.212
5.043e-06,5.298419227586901e-11,0.2343
6.476e-06,9.273540374958969e-11,0.1249
8.315e-06,1.5879382856299545e-10,0.0936
1.068e-05,2.835728177187474e-10,0.0686
1.371e-05,5.376999787602778e-10,0.064
1.76e-05,8.10830909665949e-10,0.0439
2.26e-05,1.4646731818644094e-09,0.0374
2.902e-05,2.3282988607039545e-09,0.0355
3.727e-05,3.5002232937774474e-09,0.0259
4.785e-05,5.421990408692135e-09,0.0206
6.144e-05,7.946158769997886e-09,0.0178
7.889e-05,1.202591804860889e-08,0.0179
0.0001013,1.619481133001598e-08,0.0139
0.0001301,2.161575974576884e-08,0.0126
0.000167,2.8810475793411798e-08,0.0113
0.0002145,3.801995403940435e-08,0.0104
0.0002754,4.803916253720029e-08,0.0096
0.0003536,5.9166587123817126e-08,0.0088
0.000454,7.239481940373694e-08,0.0079
0.0005829,8.446755432640046e-08,0.0076
0.0007485,9.237427118234685e-08,0.0071
0.0009611,9.262171101776497e-08,0.0094
0.001234,7.706199070559456e-08,0.0086
0.001585,4.6610888894457955e-08,0.0086
0.002035,2.679661548088129e-07,0.0032
0.002249,2.637567605430077e-07,0.007
0.002485,3.0410478402695187e-07,0.0065
0.002613,3.2729249748465745e-07,0.0094
0.002747,3.341343625585603e-07,0.0084
0.003035,3.3926996546980976e-07,0.0057
0.003355,3.440979745841807e-07,0.0061
0.003707,3.3315140451287374e-07,0.0061
0.004307,3.0360352072240365e-07,0.0053
0.005531,3.3423417569478703e-07,0.0035
0.007102,1.2133741256994889e-06,0.0015
0.009119,4.558856974325969e-07,0.0032
0.01059,2.2666330714385948e-06,0.0014
0.01171,1.6743454374977279e-07,0.0086
0.01503,1.437767522264461e-06,0.0014
0.0193,4.186447296117554e-06,0.0008
0.02187,7.742310856350182e-07,0.0034
0.02358,1.9691016700423374e-05,0.0006
0.02418,2.211732813921467e-06,0.005
0.02479,1.934977556645478e-05,0.0011
0.02606,1.0650419261767275e-05,0.0011
0.027,5.404921949773702e-07,0.0097
0.0285,1.0627696162293805e-06,0.0047
0.03183,1.8139063447195992e-06,0.0024
0.03431,3.7819274652440896e-06,0.0019
0.04087,1.0582681291906589e-05,0.0006
0.04631,4.006662112052256e-06,0.0014
0.05248,5.232077228405652e-06,0.0013
0.05656,3.57354667712092e-05,0.0005
0.06738,1.0684378323448803e-05,0.0007
0.07202,4.000323129818933e-05,0.0005
0.0795,1.892450291953108e-05,0.0006
0.0825,1.0843040256986527e-05,0.0015
0.08652,1.545642313250262e-05,0.001
0.09804,9.052163072300254e-06,0.0009
0.1111,1.1326523826332348e-05,0.0008
0.1168,1.3034280629529408e-05,0.0012
0.1228,1.4493927267610128e-05,0.0011
0.1291,1.611068268117456e-05,0.001
0.1357,1.6444063794709895e-05,0.001
0.1426,1.5393973548782138e-05,0.0011
0.15,1.3672436834176512e-05,0.0012
0.1576,1.371388163950512e-05,0.0012
0.1657,1.5943654773745192e-05,0.0011
0.1742,1.792274844714028e-05,0.001
0.1832,1.7987593282691444e-05,0.001
0.1925,1.7695429587250242e-05,0.0011
0.2024,1.8825604631142358e-05,0.001
0.2128,1.864281147735888e-05,0.001
0.2237,1.8129341323338163e-05,0.001
0.2352,1.8224689136308877e-05,0.001
0.2472,1.8720091256361914e-05,0.001
0.2732,1.9007283132236768e-05,0.0007
0.2872,1.8731894788156842e-05,0.0011
0.2945,1.811438225122209e-05,0.0015
0.2972,1.79431779602683e-05,0.0025
0.2985,1.786425855986706e-05,0.0035
0.302,1.793801865661893e-05,0.0022
0.3337,1.7313766687492456e-05,0.0008
0.3688,1.6024160127175426e-05,0.0008
0.3877,1.4144946813781432e-05,0.0012
0.4076,1.2590187605741709e-05,0.0013
0.4505,8.965784745254476e-06,0.0011
0.4979,4.7416275589986585e-06,0.0016
0.5234,3.851823235751298e-06,0.0025
0.5502,3.508020200961319e-06,0.0026
0.5784,3.2505717319702977e-06,0.0027
0.6081,3.0454926930095973e-06,0.0028
0.6393,2.867602177693234e-06,0.0029
0.6721,2.7097546962117323e-06,0.0029
0.7065,2.561720454979985e-06,0.003
0.7427,2.434509758759827e-06,0.0031
0.7808,2.3276105189524206e-06,0.0033
0.8209,2.1865624813145107e-06,0.0032
0.8629,2.0720071937135397e-06,0.0033
0.9072,1.912275565514926e-06,0.0033
0.9617,1.6889774413983817e-06,0.0033
1.003,1.3806619536622092e-06,0.0043
1.108,1.1506203101987065e-06,0.0032
1.165,9.60565763754665e-07,0.0047
1.225,8.227757855788994e-07,0.005
1.287,7.179802573562415e-07,0.0054
1.353,6.275072202832091e-07,0.0059
1.423,5.155386378265486e-07,0.0063
1.496,4.391779212249123e-07,0.0069
1.572,3.6528368601243913e-07,0.0073
1.653,3.058826466591672e-07,0.0082
1.738,2.6067538396976205e-07,0.009
1.827,2.1859121408465817e-07,0.0097
1.921,1.8842128250179127e-07,0.0111
2.019,1.5561136570729785e-07,0.0113
2.122,1.4047595357082467e-07,0.012
2.231,1.1715367259413185e-07,0.0132
2.307,1.0885106757716975e-07,0.018
2.346,1.0386505493781615e-07,0.0238
2.365,9.737137899432468e-08,0.0366
2.385,9.756881715990712e-08,0.0373
2.466,9.507016414606452e-08,0.0177
2.592,8.530318105067602e-08,0.0156
2.725,7.722730387303427e-08,0.0163
2.865,7.117056981316331e-08,0.0176
3.012,6.084544023812085e-08,0.0182
3.166,5.851499832022388e-08,0.019
3.329,5.452921451461159e-08,0.022
3.679,4.8576550215219214e-08,0.0141
4.066,4.2366460913506e-08,0.0153
4.493,3.8817589490198363e-08,0.0159
4.724,3.561804020273785e-08,0.0231
4.966,3.5898388348519865e-08,0.0228
5.22,3.3449462532325154e-08,0.0208
5.488,3.420471557550523e-08,0.021
5.77,3.602265411156454e-08,0.0216
6.065,3.84648075494031e-08,0.0206
6.376,4.106294468886457e-08,0.0209
6.592,4.467483044849234e-08,0.0218
6.703,4.576086567522005e-08,0.0311
7.047,4.5368528733581026e-08,0.0184
7.408,4.875126062222278e-08,0.0184
7.788,4.9746929233553244e-08,0.0403
8.187,4.9705541824810917e-08,0.0165
8.607,4.962031959019087e-08,0.0168
9.048,5.280908955041639e-08,0.0163
9.512,5.767777928789252e-08,0.0159
10.0,6.722540951396302e-08,0.0146
10.51,1.1843329815033762e-07,0.0108
11.05,1.285200239508163e-07,0.0103
11.62,1.4163059801114018e-07,0.01
12.21,1.531517718339584e-07,0.0094
12.52,1.6017380259362982e-07,0.0131
12.84,1.5925155460690832e-07,0.014
13.5,1.6316548609783708e-07,0.0086
13.84,1.642365826061587e-07,0.012
14.19,4.999130918475965e-08,0.0206
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
