Energy,Value,Error
0.01,0.0,0.0
0.02,5.42558e-11,0.5558
0.05,0.0,0.0
0.1,6.85527e-09,0.0539
0.2,1.23661e-09,0.163
0.3,1.87064e-08,0.0468
0.4,2.71084e-08,0.0316
0.6,1.57337e-07,0.0283
0.8,1.16016e-07,0.0171
1.0,2.41896e-07,0.0128
1.22,6.97102e-08,0.0203
1.44,7.17137e-08,0.0215
1.66,6.54835e-08,0.0212
2.0,8.57835e-08,0.0238
2.5,8.57015e-08,0.0186
3.0,5.64608e-08,0.0211
4.0,6.72459e-08,0.0217
5.0,2.70561e-08,0.0354
6.5,1.07238e-08,0.0532
8.0,7.44294e-10,0.1777
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
